display_unit_id,mall_id,impressions
49705831,45,3708
49759805,34,1310
49770980,54,20146
58445628,85,33696
175189058,4,10056
181248745,50,2537
288556610,63,22848
358867577,116,196
386841366,54,0
402980064,126,666
470981010,50,5074
553166147,80,904
601997503,41,1389
134163995,70,14888
146377276,66,20826
709721520,40,2150
713606572,25,0
844345232,25,4128
845766505,34,0
849216393,112,235
849221600,116,196
849221600,116,196
849221691,116,196
849221748,116,196
849221806,116,196
885976173,41,1389
827861523,76,1032
915742505,59,2030
915742505,59,2030
918581869,119,1389
918582308,41,25002
919031249,41,2778
922038332,135,2030
927807019,135,2030
937913662,137,924
955844873,140,5784
956837557,62,7390
958153114,141,482
976696480,5,0
976696762,5,0
976697691,57,0
976697753,57,0
976698579,16,840
976699643,25,2064
976699711,25,0
976701105,41,0
49519741,94,2855
127314259,65,4763
920136571,138,5833
963626869,15,5900
963626881,15,5900
963626915,15,5900
963626925,15,5900
963626936,15,2950
985111772,65,4763
985111781,65,4763
985111795,65,4763
985111817,66,24297
985111831,66,0
985114500,68,5774
985114516,68,5774
985114526,68,5774
985116570,70,0
985116579,70,0
985116714,71,0
985120439,85,2808
985122309,116,196
985122362,116,196
985122473,116,196
985124456,116,196
985127361,94,2855
985127373,94,2855
993214455,92,3176
