emotion,gender,age,isView,isImpression,dwellTime,mask,sessionTime,zoneId,direction,deviceId,timestamp,deviceName,attentionTime
NEUTRAL,MALE,28.5,1,2,3.1418731212615967,0,4.1192783713340759,,,d23ac55386b97,2023-08-08 00:00:00,ICPNA Lima Norte,3.1418731212615967
,,0,1,116,11.484067916870117,,5.3721978707431708,,,d23ac55386b97,2023-08-08 00:00:00,ICPNA Lima Norte,11.484067916870117
,,0,1,78,1.5986047983169556,,5.5411369871252605,,,dc60b0252e15d,2023-08-08 00:00:00,IPCNA Surco,1.5986047983169556
ANGRY,MALE,30,0,1,0.19919808208942413,0,3.4377803802490234,,,d23ac55386b97,2023-08-08 00:00:00,ICPNA Lima Norte,0.19919808208942413
NEUTRAL,MALE,29.277777777777771,37,72,5.8388321652856421,0,15.118897298971808,,,d23ac55386b97,2023-09-05 00:00:00,ICPNA Lima Norte,5.8388321652856421
DISGUST,MALE,23.5,0,2,0,0,2.9190098643302917,,,d23ac55386b97,2023-09-05 00:00:00,ICPNA Lima Norte,0
FEAR,FEMALE,26.916666666666668,3,12,2.3446008414030075,0,14.47101965546608,,,d23ac55386b97,2023-09-05 00:00:00,ICPNA Lima Norte,2.3446008414030075
SAD,MALE,27.457142857142856,59,140,3.6584843212629066,0,16.373885648591177,,,d23ac55386b97,2023-09-05 00:00:00,ICPNA Lima Norte,3.6584843212629066
NEUTRAL,FEMALE,28.387096774193548,17,31,4.39351727271622,0,9.2566243967702331,,,d23ac55386b97,2023-09-05 00:00:00,ICPNA Lima Norte,4.39351727271622
ANGRY,MALE,27.39473684210526,8,39,3.9604529946421589,0,12.249042327587418,,,d23ac55386b97,2023-09-05 00:00:00,ICPNA Lima Norte,3.9604529946421589
ANGRY,FEMALE,27.625,10,16,3.5912780463695522,0,11.810655109584333,,,d23ac55386b97,2023-09-05 00:00:00,ICPNA Lima Norte,3.5912780463695522
FEAR,MALE,28.323529411764714,5,34,0.58233519891897834,0,17.200758781503232,,,d23ac55386b97,2023-09-05 00:00:00,ICPNA Lima Norte,0.58233519891897834
SURPRISED,MALE,26.813953488372093,5,43,1.6866695647024446,0,12.760639993257302,,,d23ac55386b97,2023-09-05 00:00:00,ICPNA Lima Norte,1.6866695647024446
,,0,82,9600,1.3115321542016969,79,5.9817487831894818,,,d23ac55386b97,2023-09-05 00:00:00,ICPNA Lima Norte,1.3115321542016969
HAPPY,MALE,25.888888888888889,6,9,8.4985034929381484,0,15.726943267716301,,,d23ac55386b97,2023-09-05 00:00:00,ICPNA Lima Norte,8.4985034929381484
SAD,FEMALE,25.652777777777775,49,72,3.2287010591891083,0,13.455360372033383,,,d23ac55386b97,2023-09-05 00:00:00,ICPNA Lima Norte,3.2287010591891083
SURPRISED,FEMALE,29.375,3,16,3.3141239338687494,0,12.785030119121075,,,d23ac55386b97,2023-09-05 00:00:00,ICPNA Lima Norte,3.3141239338687494
HAPPY,FEMALE,27.375,6,8,1.4427705506483715,0,6.9890383481979361,,,d23ac55386b97,2023-09-05 00:00:00,ICPNA Lima Norte,1.4427705506483715
DISGUST,FEMALE,18.5,0,2,0,0,1.7603579759597778,,,d23ac55386b97,2023-09-05 00:00:00,ICPNA Lima Norte,0
FEAR,FEMALE,24.142857142857142,6,7,1.6733406409621236,0,4.2562994786671231,,,dc60b0252e15d,2023-09-06 00:00:00,IPCNA Surco,1.6733406409621236
SURPRISED,FEMALE,28.263157894736842,5,19,2.8800071161240339,0,7.6798900114862541,,,d23ac55386b97,2023-09-06 00:00:00,ICPNA Lima Norte,2.8800071161240339
ANGRY,FEMALE,25.222222222222221,5,9,2.2715483329125812,0,6.9252089129553909,,,dc60b0252e15d,2023-09-06 00:00:00,IPCNA Surco,2.2715483329125812
SURPRISED,MALE,28.81818181818182,2,11,1.0184350709120431,0,5.2358874624425713,,,dc60b0252e15d,2023-09-06 00:00:00,IPCNA Surco,1.0184350709120431
FEAR,MALE,28.23076923076923,8,13,0.88832719595386433,0,4.0502210442836475,,,dc60b0252e15d,2023-09-06 00:00:00,IPCNA Surco,0.88832719595386433
DISGUST,MALE,30.833333333333332,3,6,2.7698767203837633,0,11.490543842315674,,,d23ac55386b97,2023-09-06 00:00:00,ICPNA Lima Norte,2.7698767203837633
ANGRY,MALE,30.133333333333333,6,15,2.4579602691034479,0,6.88045844634374,,,dc60b0252e15d,2023-09-06 00:00:00,IPCNA Surco,2.4579602691034479
NEUTRAL,FEMALE,21.875,8,8,5.9206250160932541,0,10.217814221978188,,,dc60b0252e15d,2023-09-06 00:00:00,IPCNA Surco,5.9206250160932541
SAD,FEMALE,26.283870967741933,87,155,2.5033957066922641,0,8.0586889497695431,,,d23ac55386b97,2023-09-06 00:00:00,ICPNA Lima Norte,2.5033957066922641
DISGUST,FEMALE,29.2,3,5,2.4179141521453857,0,8.3303598880767815,,,d23ac55386b97,2023-09-06 00:00:00,ICPNA Lima Norte,2.4179141521453857
ANGRY,MALE,28.43809523809524,31,105,1.6498897662386298,0,9.45809511684236,,,d23ac55386b97,2023-09-06 00:00:00,ICPNA Lima Norte,1.6498897662386298
FEAR,MALE,30.5,16,62,1.047372948956387,0,7.7758813529245323,,,d23ac55386b97,2023-09-06 00:00:00,ICPNA Lima Norte,1.047372948956387
HAPPY,FEMALE,29.800000000000004,8,15,2.4555732206656389,0,9.2133785327275568,,,d23ac55386b97,2023-09-06 00:00:00,ICPNA Lima Norte,2.4555732206656389
HAPPY,MALE,31,4,5,2.3499530315399171,0,4.2557328701019284,,,dc60b0252e15d,2023-09-06 00:00:00,IPCNA Surco,2.3499530315399171
SAD,MALE,26.96,16,25,3.73278533471258,0,8.0738580274581917,,,dc60b0252e15d,2023-09-06 00:00:00,IPCNA Surco,3.73278533471258
SAD,FEMALE,21.428571428571427,19,21,3.0689142942428589,0,7.6081142993200395,,,dc60b0252e15d,2023-09-06 00:00:00,IPCNA Surco,3.0689142942428589
DISGUST,MALE,35.5,1,2,0.63706369698047638,0,5.4212870597839355,,,dc60b0252e15d,2023-09-06 00:00:00,IPCNA Surco,0.63706369698047638
SURPRISED,FEMALE,28.5,0,2,0,0,1.7665665447711945,,,dc60b0252e15d,2023-09-06 00:00:00,IPCNA Surco,0
,,0,216,38369,1.2625833027666455,170,7.0687398704644684,,,d23ac55386b97,2023-09-06 00:00:00,ICPNA Lima Norte,1.2625833027666455
SAD,MALE,28.470370370370379,107,270,2.6941394004480621,0,9.8653063158194243,,,d23ac55386b97,2023-09-06 00:00:00,ICPNA Lima Norte,2.6941394004480621
FEAR,FEMALE,27.147058823529417,7,34,1.0629494803336759,0,5.3249990431701439,,,d23ac55386b97,2023-09-06 00:00:00,ICPNA Lima Norte,1.0629494803336759
,,0,501,15091,3.2174849720217717,31,7.7651154575765355,,,dc60b0252e15d,2023-09-06 00:00:00,IPCNA Surco,3.2174849720217717
SURPRISED,MALE,26.94285714285714,10,70,2.2934779646495977,0,9.6790413873536263,,,d23ac55386b97,2023-09-06 00:00:00,ICPNA Lima Norte,2.2934779646495977
NEUTRAL,FEMALE,27.018181818181816,29,55,2.7661000552546708,0,7.0542244770310152,,,d23ac55386b97,2023-09-06 00:00:00,ICPNA Lima Norte,2.7661000552546708
HAPPY,MALE,28.708333333333336,12,24,1.6817965467926115,0,4.7351205100615816,,,d23ac55386b97,2023-09-06 00:00:00,ICPNA Lima Norte,1.6817965467926115
NEUTRAL,MALE,28.513513513513512,25,37,4.47224214140858,0,9.8930777005247172,,,dc60b0252e15d,2023-09-06 00:00:00,IPCNA Surco,4.47224214140858
ANGRY,FEMALE,29.625,12,32,1.7403231177013367,0,8.13417785614729,,,d23ac55386b97,2023-09-06 00:00:00,ICPNA Lima Norte,1.7403231177013367
NEUTRAL,MALE,28.928961748633888,91,183,2.9338308160697095,0,13.111579813266713,,,d23ac55386b97,2023-09-06 00:00:00,ICPNA Lima Norte,2.9338308160697095
HAPPY,FEMALE,22.4,5,5,1.6944361090660096,0,4.7692750930786136,,,dc60b0252e15d,2023-09-06 00:00:00,IPCNA Surco,1.6944361090660096
SAD,FEMALE,27.23076923076923,9,13,2.29160375893116,0,4.5942619030292215,,,dc60b0252e15d,2023-09-07 00:00:00,IPCNA Surco,2.29160375893116
FEAR,FEMALE,30,2,3,1.6325308283170066,0,3.7842438220977783,,,dc60b0252e15d,2023-09-07 00:00:00,IPCNA Surco,1.6325308283170066
ANGRY,MALE,28.486111111111107,17,72,1.3956470788855637,0,12.420625803371271,,,d23ac55386b97,2023-09-07 00:00:00,ICPNA Lima Norte,1.3956470788855637
FEAR,MALE,30.546875000000004,9,64,0.98551745105672761,0,17.041800978593525,,,d23ac55386b97,2023-09-07 00:00:00,ICPNA Lima Norte,0.98551745105672761
HAPPY,FEMALE,22.333333333333336,17,21,3.07532030627841,0,13.849142801193963,,,d23ac55386b97,2023-09-07 00:00:00,ICPNA Lima Norte,3.07532030627841
HAPPY,MALE,24.125,6,8,1.6710285586970193,0,13.674957752227785,,,d23ac55386b97,2023-09-07 00:00:00,ICPNA Lima Norte,1.6710285586970193
,,0,131,30693,2.0426193454403831,8,11.306176158629439,,,dc60b0252e15d,2023-09-07 00:00:00,IPCNA Surco,2.0426193454403831
FEAR,FEMALE,26.863636363636363,8,22,2.1629227574628134,0,14.945508057420904,,,d23ac55386b97,2023-09-07 00:00:00,ICPNA Lima Norte,2.1629227574628134
DISGUST,MALE,25.5,0,2,0,0,6.0315098762512207,,,d23ac55386b97,2023-09-07 00:00:00,ICPNA Lima Norte,0
DISGUST,FEMALE,28.5,1,2,0.68969160318374634,0,2.5946632623672485,,,d23ac55386b97,2023-09-07 00:00:00,ICPNA Lima Norte,0.68969160318374634
ANGRY,FEMALE,24.875,3,8,0.99816548228263846,0,2.7879126146435738,,,dc60b0252e15d,2023-09-07 00:00:00,IPCNA Surco,0.99816548228263846
HAPPY,FEMALE,28.5,2,2,1.6888170838356018,0,3.240677535533905,,,dc60b0252e15d,2023-09-07 00:00:00,IPCNA Surco,1.6888170838356018
SAD,FEMALE,26.219047619047618,70,106,2.8482156469580828,0,9.9335748165283562,,,d23ac55386b97,2023-09-07 00:00:00,ICPNA Lima Norte,2.8482156469580828
NEUTRAL,MALE,27.660714285714285,30,56,1.8589621874454774,0,16.854664513042991,,,d23ac55386b97,2023-09-07 00:00:00,ICPNA Lima Norte,1.8589621874454774
NEUTRAL,MALE,29.045454545454543,16,22,2.538497109304775,0,6.035213443365965,,,dc60b0252e15d,2023-09-07 00:00:00,IPCNA Surco,2.538497109304775
FEAR,MALE,30,8,16,1.1615672827299153,0,2.854226291179657,,,dc60b0252e15d,2023-09-07 00:00:00,IPCNA Surco,1.1615672827299153
SURPRISED,FEMALE,28.846153846153847,2,13,1.4332530498504639,0,20.328919268571415,,,d23ac55386b97,2023-09-07 00:00:00,ICPNA Lima Norte,1.4332530498504639
DISGUST,FEMALE,27,1,1,5.01710319519043,0,7.7048993110656738,,,dc60b0252e15d,2023-09-07 00:00:00,IPCNA Surco,5.01710319519043
NEUTRAL,FEMALE,26,6,10,1.212662553207742,0,2.7210973322391512,,,dc60b0252e15d,2023-09-07 00:00:00,IPCNA Surco,1.212662553207742
ANGRY,FEMALE,26,9,20,2.6758813129531016,0,13.68926483988762,,,d23ac55386b97,2023-09-07 00:00:00,ICPNA Lima Norte,2.6758813129531016
