emotion,gender,age,isView,isImpression,dwellTime,mask,sessionTime,zoneId,direction,deviceId,timestamp,deviceName,attentionTime
NEUTRAL,MALE,20,0,1,0,0,2.5083308219909668,,,d5ed0f392a414,2023-08-08 00:00:00,CERTUS Surco,0
,,0,0,47,0,,8.8356542701416831,,,d5ed0f392a414,2023-08-08 00:00:00,CERTUS Surco,0
SAD,FEMALE,24,0,1,0,0,0.69384336471557617,,,d5ed0f392a414,2023-08-08 00:00:00,CERTUS Surco,0
NEUTRAL,FEMALE,24.555555555555554,15,27,1.8127198203333783,0,5.5426701329372552,,,d5ed0f392a414,2023-09-06 00:00:00,CERTUS Surco,1.8127198203333783
ANGRY,FEMALE,25.615384615384617,3,13,1.2854647130394976,0,4.0120085156880894,,,d5ed0f392a414,2023-09-06 00:00:00,CERTUS Surco,1.2854647130394976
,,0,125,5610,1.959991551632994,39,7.2783087387601313,,,d5ed0f392a414,2023-09-06 00:00:00,CERTUS Surco,1.959991551632994
DISGUST,MALE,13,0,2,0,0,1.4493828415870667,,,d5ed0f392a414,2023-09-06 00:00:00,CERTUS Surco,0
NEUTRAL,MALE,25.462962962962962,19,54,1.8863045710783739,0,4.4765954348776082,,,d5ed0f392a414,2023-09-06 00:00:00,CERTUS Surco,1.8863045710783739
HAPPY,MALE,26.454545454545453,13,33,1.9014410187179844,0,6.230230376575931,,,d5ed0f392a414,2023-09-06 00:00:00,CERTUS Surco,1.9014410187179844
FEAR,FEMALE,23.636363636363637,2,11,1.0916621088981628,0,9.7387892766432334,,,d5ed0f392a414,2023-09-06 00:00:00,CERTUS Surco,1.0916621088981628
ANGRY,MALE,25.622950819672131,16,61,1.2534340062343021,0,4.9846619484854529,,,d5ed0f392a414,2023-09-06 00:00:00,CERTUS Surco,1.2534340062343021
SURPRISED,FEMALE,26,1,6,0.69543873767058062,0,5.1853975752989454,,,d5ed0f392a414,2023-09-06 00:00:00,CERTUS Surco,0.69543873767058062
SAD,MALE,25.705882352941178,23,68,2.9236582323908804,0,5.7915813344366409,,,d5ed0f392a414,2023-09-06 00:00:00,CERTUS Surco,2.9236582323908804
SAD,FEMALE,23.422222222222224,25,45,4.1239517088378639,0,9.9412992199261989,,,d5ed0f392a414,2023-09-06 00:00:00,CERTUS Surco,4.1239517088378639
FEAR,MALE,27.2,4,15,1.4169904571026564,0,2.9954937140146893,,,d5ed0f392a414,2023-09-06 00:00:00,CERTUS Surco,1.4169904571026564
HAPPY,FEMALE,24.875,10,16,1.84485073586305,0,7.46262688562274,,,d5ed0f392a414,2023-09-06 00:00:00,CERTUS Surco,1.84485073586305
SURPRISED,MALE,25.714285714285715,0,7,0.23478564868370694,0,2.3580766745976041,,,d5ed0f392a414,2023-09-06 00:00:00,CERTUS Surco,0.23478564868370694
DISGUST,FEMALE,24,1,2,1.2414127588272095,0,2.6518672108650208,,,d5ed0f392a414,2023-09-06 00:00:00,CERTUS Surco,1.2414127588272095
ANGRY,FEMALE,27.773333333333333,27,75,2.9463566932337066,0,8.2037164592742915,,,d5ed0f392a414,2023-09-07 00:00:00,CERTUS Surco,2.9463566932337066
SURPRISED,FEMALE,26.8,3,15,2.083235377179725,0,5.292877507209778,,,d5ed0f392a414,2023-09-07 00:00:00,CERTUS Surco,2.083235377179725
DISGUST,FEMALE,29.2,3,5,2.4013994634151459,0,6.6572980642318722,,,d5ed0f392a414,2023-09-07 00:00:00,CERTUS Surco,2.4013994634151459
SAD,MALE,27.316883116883108,164,385,2.9466781463236242,0,5.2276452230168617,,,d5ed0f392a414,2023-09-07 00:00:00,CERTUS Surco,2.9466781463236242
ANGRY,MALE,27.708474576271186,129,295,3.3564387210723705,0,8.460184428651452,,,d5ed0f392a414,2023-09-07 00:00:00,CERTUS Surco,3.3564387210723705
SAD,FEMALE,25.982608695652168,116,230,2.507409457659179,0,5.3770217672638259,,,d5ed0f392a414,2023-09-07 00:00:00,CERTUS Surco,2.507409457659179
HAPPY,FEMALE,27.374999999999996,31,56,3.2016183869706261,0,5.8656247588140626,,,d5ed0f392a414,2023-09-07 00:00:00,CERTUS Surco,3.2016183869706261
DISGUST,MALE,27.785714285714288,3,14,1.5620047476142644,0,4.1607808683599741,,,d5ed0f392a414,2023-09-07 00:00:00,CERTUS Surco,1.5620047476142644
FEAR,FEMALE,27.104166666666664,18,48,1.652429900930396,0,5.3608820637067165,,,d5ed0f392a414,2023-09-07 00:00:00,CERTUS Surco,1.652429900930396
SURPRISED,MALE,27.492063492063494,12,63,1.3514955334054928,0,5.5920523111782368,,,d5ed0f392a414,2023-09-07 00:00:00,CERTUS Surco,1.3514955334054928
NEUTRAL,FEMALE,27.5,74,124,3.901126534202473,0,7.9940268988570846,,,d5ed0f392a414,2023-09-07 00:00:00,CERTUS Surco,3.901126534202473
NEUTRAL,MALE,27.412307692307696,196,325,4.0470233502919264,0,9.6586642401035014,,,d5ed0f392a414,2023-09-07 00:00:00,CERTUS Surco,4.0470233502919264
FEAR,MALE,26.989473684210527,26,95,1.0168766486644745,0,4.9400549405499516,,,d5ed0f392a414,2023-09-07 00:00:00,CERTUS Surco,1.0168766486644745
HAPPY,MALE,28.594594594594593,58,111,3.4448221198272426,0,6.2843278345760991,,,d5ed0f392a414,2023-09-07 00:00:00,CERTUS Surco,3.4448221198272426
,,0,765,18450,2.119055122713037,272,5.76021083646068,,,d5ed0f392a414,2023-09-07 00:00:00,CERTUS Surco,2.119055122713037
DISGUST,FEMALE,25.5,4,4,3.4604631364345551,0,16.626318097114563,,,d5ed0f392a414,2023-09-08 00:00:00,CERTUS Surco,3.4604631364345551
SURPRISED,FEMALE,24.4,4,10,0.97874840199947355,0,4.9166174054145815,,,d5ed0f392a414,2023-09-08 00:00:00,CERTUS Surco,0.97874840199947355
SAD,MALE,28.100917431192663,72,218,1.9979180935939602,0,5.40376896021563,,,d5ed0f392a414,2023-09-08 00:00:00,CERTUS Surco,1.9979180935939602
HAPPY,MALE,28.986111111111114,37,72,1.6515684969284954,0,5.5390120918552084,,,d5ed0f392a414,2023-09-08 00:00:00,CERTUS Surco,1.6515684969284954
ANGRY,MALE,28.133333333333336,33,105,1.9706961599596102,0,6.24664527404876,,,d5ed0f392a414,2023-09-08 00:00:00,CERTUS Surco,1.9706961599596102
HAPPY,FEMALE,26.595238095238095,23,42,1.5994769657651584,0,4.3170791069666548,,,d5ed0f392a414,2023-09-08 00:00:00,CERTUS Surco,1.5994769657651584
NEUTRAL,MALE,28.621739130434786,101,230,3.0200043112964807,0,7.5412003232085194,,,d5ed0f392a414,2023-09-08 00:00:00,CERTUS Surco,3.0200043112964807
,,0,288,17977,2.037247326721491,151,6.9396808898891713,,,d5ed0f392a414,2023-09-08 00:00:00,CERTUS Surco,2.037247326721491
NEUTRAL,FEMALE,26.164179104477611,37,67,2.8494288763031363,0,6.5845420209329522,,,d5ed0f392a414,2023-09-08 00:00:00,CERTUS Surco,2.8494288763031363
FEAR,MALE,31.117647058823533,12,51,3.6693300576880574,0,6.9322365019835681,,,d5ed0f392a414,2023-09-08 00:00:00,CERTUS Surco,3.6693300576880574
ANGRY,FEMALE,26.875,18,48,2.2258997582472286,0,5.2845730359355612,,,d5ed0f392a414,2023-09-08 00:00:00,CERTUS Surco,2.2258997582472286
DISGUST,MALE,28.9,2,10,2.3980930298566818,0,4.8763538062572476,,,d5ed0f392a414,2023-09-08 00:00:00,CERTUS Surco,2.3980930298566818
SAD,FEMALE,26.289473684210531,64,114,4.41851394101121,0,10.739499270915985,,,d5ed0f392a414,2023-09-08 00:00:00,CERTUS Surco,4.41851394101121
FEAR,FEMALE,29.5,5,28,2.4658834714856415,0,6.9992184532540183,,,d5ed0f392a414,2023-09-08 00:00:00,CERTUS Surco,2.4658834714856415
SURPRISED,MALE,29.909090909090907,9,44,1.3575824308726523,0,2.6541706757111987,,,d5ed0f392a414,2023-09-08 00:00:00,CERTUS Surco,1.3575824308726523
SURPRISED,MALE,28.823529411764703,4,17,4.53804159257561,0,6.7224171897944274,,,d5ed0f392a414,2023-09-09 00:00:00,CERTUS Surco,4.53804159257561
DISGUST,MALE,25,0,2,0,0,1.8694134652614594,,,d5ed0f392a414,2023-09-09 00:00:00,CERTUS Surco,0
ANGRY,MALE,29.280373831775705,51,107,3.11359622369592,0,8.0619988742275766,,,d5ed0f392a414,2023-09-09 00:00:00,CERTUS Surco,3.11359622369592
HAPPY,FEMALE,24.545454545454547,5,11,1.6836893670260906,0,3.791610213843259,,,d5ed0f392a414,2023-09-09 00:00:00,CERTUS Surco,1.6836893670260906
SAD,FEMALE,24.611111111111107,36,72,3.5858474852686579,0,8.2430235743522626,,,d5ed0f392a414,2023-09-09 00:00:00,CERTUS Surco,3.5858474852686579
FEAR,FEMALE,28.133333333333333,7,15,2.8640073968304529,0,6.6158176740010584,,,d5ed0f392a414,2023-09-09 00:00:00,CERTUS Surco,2.8640073968304529
,,0,261,12270,3.0378830513820563,67,9.9181102042645648,,,d5ed0f392a414,2023-09-09 00:00:00,CERTUS Surco,3.0378830513820563
ANGRY,FEMALE,25.433333333333334,11,30,2.9207033259684545,0,5.17840882341067,,,d5ed0f392a414,2023-09-09 00:00:00,CERTUS Surco,2.9207033259684545
HAPPY,MALE,28.235294117647054,18,34,2.2938707540077821,0,8.6987794357187624,,,d5ed0f392a414,2023-09-09 00:00:00,CERTUS Surco,2.2938707540077821
SURPRISED,FEMALE,24,2,10,2.4029893825451532,0,4.7439899682998661,,,d5ed0f392a414,2023-09-09 00:00:00,CERTUS Surco,2.4029893825451532
NEUTRAL,FEMALE,25.758620689655174,17,29,1.27879698574543,0,3.5444421644868518,,,d5ed0f392a414,2023-09-09 00:00:00,CERTUS Surco,1.27879698574543
NEUTRAL,MALE,29.123076923076923,68,130,4.4670014805372125,0,11.144091928922213,,,d5ed0f392a414,2023-09-09 00:00:00,CERTUS Surco,4.4670014805372125
SAD,MALE,28.358778625954198,62,131,4.4639628164183636,0,8.6190519464834967,,,d5ed0f392a414,2023-09-09 00:00:00,CERTUS Surco,4.4639628164183636
DISGUST,FEMALE,27,0,1,0,0,1.4450740814208984,,,d5ed0f392a414,2023-09-09 00:00:00,CERTUS Surco,0
FEAR,MALE,30.413793103448274,13,29,2.7163035806049312,0,5.3932564320235414,,,d5ed0f392a414,2023-09-09 00:00:00,CERTUS Surco,2.7163035806049312
NEUTRAL,MALE,41,1,1,0.96800690889358521,0,3.6489238739013672,,,d5ed0f392a414,2023-09-10 00:00:00,CERTUS Surco,0.96800690889358521
,,0,0,7258,0.052395503968000412,1,9.9792310092367327,,,d5ed0f392a414,2023-09-10 00:00:00,CERTUS Surco,0.052395503968000412
ANGRY,MALE,34,0,2,0,0,0.82416412234306335,,,d5ed0f392a414,2023-09-10 00:00:00,CERTUS Surco,0
HAPPY,FEMALE,27.222222222222221,23,36,3.9115317517684565,0,11.940758466720583,,,d5ed0f392a414,2023-09-11 00:00:00,CERTUS Surco,3.9115317517684565
FEAR,FEMALE,26,7,19,1.1954375786276963,0,6.8978612517055709,,,d5ed0f392a414,2023-09-11 00:00:00,CERTUS Surco,1.1954375786276963
SURPRISED,MALE,26.421052631578949,4,19,6.4440682594265262,0,8.23763832920476,,,d5ed0f392a414,2023-09-11 00:00:00,CERTUS Surco,6.4440682594265262
FEAR,MALE,28,12,39,4.5841127271205186,0,10.98463160258073,,,d5ed0f392a414,2023-09-11 00:00:00,CERTUS Surco,4.5841127271205186
SURPRISED,FEMALE,24.333333333333332,2,6,8.3369046250979117,0,12.573548008998234,,,d5ed0f392a414,2023-09-11 00:00:00,CERTUS Surco,8.3369046250979117
NEUTRAL,MALE,26.546666666666674,121,225,4.4653558266527993,0,15.181042278872594,,,d5ed0f392a414,2023-09-11 00:00:00,CERTUS Surco,4.4653558266527993
ANGRY,MALE,27.443396226415089,44,106,4.2695498486497891,0,13.965491884721901,,,d5ed0f392a414,2023-09-11 00:00:00,CERTUS Surco,4.2695498486497891
DISGUST,FEMALE,30,0,2,0.46886920928955078,0,11.340346097946167,,,d5ed0f392a414,2023-09-11 00:00:00,CERTUS Surco,0.46886920928955078
SAD,MALE,26.284263959390866,90,197,3.6362343899607659,0,15.410980178619997,,,d5ed0f392a414,2023-09-11 00:00:00,CERTUS Surco,3.6362343899607659
ANGRY,FEMALE,26.969696969696972,13,33,5.1228260355484156,0,11.454828710267037,,,d5ed0f392a414,2023-09-11 00:00:00,CERTUS Surco,5.1228260355484156
,,0,423,11403,3.1248188334529039,144,11.002527665048586,,,d5ed0f392a414,2023-09-11 00:00:00,CERTUS Surco,3.1248188334529039
HAPPY,MALE,27.037974683544309,51,79,3.0856138132221531,0,11.333546045460279,,,d5ed0f392a414,2023-09-11 00:00:00,CERTUS Surco,3.0856138132221531
NEUTRAL,FEMALE,25.849315068493159,39,73,3.7831986672332825,0,13.774189994759757,,,d5ed0f392a414,2023-09-11 00:00:00,CERTUS Surco,3.7831986672332825
SAD,FEMALE,24.486238532110093,46,109,4.2970340058536216,0,15.457598984788318,,,d5ed0f392a414,2023-09-11 00:00:00,CERTUS Surco,4.2970340058536216
DISGUST,MALE,16.5,0,2,0,0,1.1327458620071411,,,d5ed0f392a414,2023-09-11 00:00:00,CERTUS Surco,0
SAD,MALE,27.183544303797465,76,158,5.36779810644078,0,10.118788109927239,,,d5ed0f392a414,2023-09-12 00:00:00,CERTUS Surco,5.36779810644078
NEUTRAL,FEMALE,27.787234042553191,28,47,2.6026598759091053,0,6.5807202851518669,,,d5ed0f392a414,2023-09-12 00:00:00,CERTUS Surco,2.6026598759091053
FEAR,FEMALE,27.1875,17,32,4.7095511389726941,0,9.0866752695292217,,,d5ed0f392a414,2023-09-12 00:00:00,CERTUS Surco,4.7095511389726941
HAPPY,FEMALE,25.821428571428573,18,28,2.6541340419131774,0,6.9396486665521344,,,d5ed0f392a414,2023-09-12 00:00:00,CERTUS Surco,2.6541340419131774
SURPRISED,FEMALE,25.416666666666668,2,12,4.6203438001019626,0,8.4106575598319377,,,d5ed0f392a414,2023-09-12 00:00:00,CERTUS Surco,4.6203438001019626
,,0,412,13602,3.6959358716705522,122,10.646131607852992,,,d5ed0f392a414,2023-09-12 00:00:00,CERTUS Surco,3.6959358716705522
ANGRY,MALE,27.94736842105263,40,114,3.1621613881240287,0,10.283066471940593,,,d5ed0f392a414,2023-09-12 00:00:00,CERTUS Surco,3.1621613881240287
DISGUST,MALE,29.25,0,4,0.03987701702862978,0,5.96753004193306,,,d5ed0f392a414,2023-09-12 00:00:00,CERTUS Surco,0.03987701702862978
SAD,FEMALE,23.887999999999995,68,125,3.632285579549845,0,8.6332217378616356,,,d5ed0f392a414,2023-09-12 00:00:00,CERTUS Surco,3.632285579549845
FEAR,MALE,26.658536585365859,16,41,4.7482425064814322,0,7.6660548841081013,,,d5ed0f392a414,2023-09-12 00:00:00,CERTUS Surco,4.7482425064814322
