emotion,gender,age,isView,isImpression,dwellTime,mask,sessionTime,zoneId,direction,deviceId,timestamp,deviceName,attentionTime
ANGRY,MALE,27,0,1,0.24573102593421936,0,24.631320953369141,,,df8852d1f3dad,2023-08-08 00:00:00,UPN Comas,0.24573102593421936
,,0,2,141,1.2698805257678032,,2.336972173171262,,,df8852d1f3dad,2023-08-08 00:00:00,UPN Comas,1.2698805257678032
,,0,0,213,0.33253538608551025,,2.8546985518624513,,,dc202c46a4fa8,2023-08-08 00:00:00,UPN los olivos,0.33253538608551025
SAD,MALE,34,1,1,1.3873224258422852,0,3.573223352432251,,,dc202c46a4fa8,2023-08-08 00:00:00,UPN los olivos,1.3873224258422852
HAPPY,FEMALE,34,1,1,1.0105336904525757,0,4.66179895401001,,,dc202c46a4fa8,2023-08-08 00:00:00,UPN los olivos,1.0105336904525757
SURPRISED,MALE,23.5,1,2,0.980658084154129,0,7.5100727081298828,,,df8852d1f3dad,2023-08-08 00:00:00,UPN Comas,0.980658084154129
ANGRY,MALE,13,0,1,0,0,1.665055513381958,,,dc202c46a4fa8,2023-08-08 00:00:00,UPN los olivos,0
NEUTRAL,FEMALE,27,0,1,0.33141416311264038,0,1.3486948013305664,,,dc202c46a4fa8,2023-08-08 00:00:00,UPN los olivos,0.33141416311264038
NEUTRAL,MALE,27,0,1,0,0,1.5968016386032104,,,dc202c46a4fa8,2023-08-08 00:00:00,UPN los olivos,0
HAPPY,FEMALE,30,1,1,4.3955659866333008,0,6.5817947387695312,,,dc202c46a4fa8,2023-09-05 00:00:00,UPN los olivos,4.3955659866333008
HAPPY,FEMALE,26.533333333333335,13,30,1.5117321653025491,0,5.3549182494481409,,,df8852d1f3dad,2023-09-05 00:00:00,UPN Comas,1.5117321653025491
DISGUST,MALE,24,0,1,0,0,15.168793678283691,,,dc202c46a4fa8,2023-09-05 00:00:00,UPN los olivos,0
NEUTRAL,MALE,27.571428571428573,18,21,7.5858438212424515,0,15.721193024090363,,,dc202c46a4fa8,2023-09-05 00:00:00,UPN los olivos,7.5858438212424515
SURPRISED,MALE,26.2,2,5,3.0276438693205514,0,13.381219816207885,,,dc202c46a4fa8,2023-09-05 00:00:00,UPN los olivos,3.0276438693205514
FEAR,MALE,21.4,3,5,1.5300886616110803,0,5.1000144004821779,,,dc202c46a4fa8,2023-09-05 00:00:00,UPN los olivos,1.5300886616110803
ANGRY,FEMALE,27.999999999999996,24,58,1.6309884086164625,0,3.7863465352305044,,,df8852d1f3dad,2023-09-05 00:00:00,UPN Comas,1.6309884086164625
SAD,MALE,27.428571428571431,6,7,4.0231142012136321,0,13.040444884981428,,,dc202c46a4fa8,2023-09-05 00:00:00,UPN los olivos,4.0231142012136321
SAD,MALE,27.219512195121951,65,164,1.4104061656183116,0,5.25213984527239,,,df8852d1f3dad,2023-09-05 00:00:00,UPN Comas,1.4104061656183116
ANGRY,FEMALE,13,1,1,0.788798451423645,0,7.01228141784668,,,dc202c46a4fa8,2023-09-05 00:00:00,UPN los olivos,0.788798451423645
