uuid;name;id;pop_14_18;pop_18_25;pop_25_30;pop_30_50;pop_50_70;pop_70_90
091b8fd0-a5b1-4c59-acb2-40759e131801;Albacenter;3;8.31;3.72;12.02;36.16;22.68;17.1
69dda3aa-efa6-4149-9481-3e1260141dc2;Alegra - Parque Comercial y de Ocio;5;4.96;3.46;13.57;44.74;20.8;12.46
91e8cf7c-ece3-4e27-9eed-4a146790bbb7;Almazara Plaza;6;10.5;5.12;11.4;32.17;20.64;20.17
4916aafd-1c0b-4e27-b2b0-61f7755fb4f3;Arena Multiespacio;9;11.6;2.99;11.13;35.58;22.07;16.63
c61e2cc5-ff63-4fe8-aa4a-abf1b1d7be16;As Termas;10;9.72;2.62;11.22;30.72;27.06;18.66
f066cf28-e91c-4ce3-a0e9-e87370fd0445;Castellana 200;11;10.45;9.2;8.37;32.63;24.71;14.64
135cd769-31c8-4240-a5af-adf6a132aaec;Conquistadores;13;8.7;4.6;10.89;33.84;27.22;14.75
0c2639f4-bec1-428e-abad-c95a3a78de58;Coruña The Style Outlets;50;6.93;1.88;11.76;38.27;23.43;17.73
b3c672c8-277c-4dd2-8450-802c3daca800;El Arcángel;95;9.31;3.9;10.65;32.08;27.13;16.92
db21a149-6720-4f2d-8cd5-e40df385d04b;El Deleite;57;13.96;3.26;9.98;34.84;16.42;21.53
cbb1f955-6ce2-4dd7-8c26-4bb8d4085418;El Encinar;67;7.1;4.04;12.91;42.2;22.02;11.72
d6e10447-60ed-4a71-a658-ec05fbe6b017;El Parque de Ciudad Real;16;10.96;3.15;11.61;28.45;27.86;17.98
14d4d04b-c417-4149-8146-d791064f5a8f;El Paseo;17;5.55;3.98;10.98;37.84;21.21;20.44
c494f3fd-545f-43dd-90ac-f15444c92879;El Restón;44;1.98;3.6;12.0;49.87;18.52;14.02
7ff3cca7-ed09-4cf6-b3ab-66d27f30939c;El Rosal;18;10.6;3.23;8.93;22.68;34.98;19.58
51cdbe4b-9a08-41e3-9dff-4dce61719a8f;Espacio Coruña;19;8.14;1.89;11.55;35.58;23.28;19.56
1ae1ee31-2236-4b08-ac6d-da75d590ced2;Espacio León;20;7.46;2.6;11.15;29.59;28.33;20.86
44dfcbc9-7df0-4da0-9882-0b07e36ef9d4;FINESTRELLES SHOPPING CENTRE;58;12.66;5.02;12.07;36.54;18.72;15.0
6723e314-b093-4de2-bafa-1775196d1234;Getafe The Style Outlets;45;7.84;4.23;14.58;39.34;20.71;13.3
