uuid;name;id;p_f_tot;p_m_tot
091b8fd0-a5b1-4c59-acb2-40759e131801;Albacenter;3;54.13;45.87
69dda3aa-efa6-4149-9481-3e1260141dc2;Alegra - Parque Comercial y de Ocio;5;55.65;44.35
91e8cf7c-ece3-4e27-9eed-4a146790bbb7;Almazara Plaza;6;49.33;50.67
4916aafd-1c0b-4e27-b2b0-61f7755fb4f3;Arena Multiespacio;9;54.87;45.13
c61e2cc5-ff63-4fe8-aa4a-abf1b1d7be16;As Termas;10;55.02;44.98
f066cf28-e91c-4ce3-a0e9-e87370fd0445;Castellana 200;11;58.03;41.97
135cd769-31c8-4240-a5af-adf6a132aaec;Conquistadores;13;53.18;46.82
0c2639f4-bec1-428e-abad-c95a3a78de58;Coruña The Style Outlets;50;55.61;44.39
b3c672c8-277c-4dd2-8450-802c3daca800;El Arcángel;95;54.62;45.38
db21a149-6720-4f2d-8cd5-e40df385d04b;El Deleite;57;55.11;44.89
cbb1f955-6ce2-4dd7-8c26-4bb8d4085418;El Encinar;67;54.78;45.22
d6e10447-60ed-4a71-a658-ec05fbe6b017;El Parque de Ciudad Real;16;53.19;46.81
14d4d04b-c417-4149-8146-d791064f5a8f;El Paseo;17;51.34;48.66
c494f3fd-545f-43dd-90ac-f15444c92879;El Restón;44;52.71;47.29
7ff3cca7-ed09-4cf6-b3ab-66d27f30939c;El Rosal;18;52.98;47.02
51cdbe4b-9a08-41e3-9dff-4dce61719a8f;Espacio Coruña;19;52.54;47.46
1ae1ee31-2236-4b08-ac6d-da75d590ced2;Espacio León;20;55.62;44.38
44dfcbc9-7df0-4da0-9882-0b07e36ef9d4;FINESTRELLES SHOPPING CENTRE;58;57.8;42.2
6723e314-b093-4de2-bafa-1775196d1234;Getafe The Style Outlets;45;53.32;46.68
a9652ebd-80a7-4e3c-9c82-da5a33132fa2;Gran Plaza 2;25;56.98;43.02
4f86178d-a155-40d0-977b-657954882fed;Gran Vía 2;26;55.54;44.46
d44960b0-d717-4fa8-a81c-4d6285b8f6b4;Gran Vía de Vigo;27;56.84;43.16
b345570b-20c8-4b90-b0ed-9ddaabdec93e;GranCasa;24;50.96;49.04
bf207f85-1735-4979-85d2-289f183bf178;L'Illa Diagonal;2;58.92;41.08
b2fd26f7-6048-4f10-8eba-5f90879f470e;La Farga;29;57.36;42.64
b33e9212-926d-45da-9f83-683b27a904b6;Las Rozas The Style Outlets;46;55.4;44.6
27630773-db74-4220-a055-00237a25da71;Los Alcores;4;51.68;48.32
67c19fe9-6b90-440c-954c-d6f652cd122a;Luz de Castilla;31;40.25;59.75
9a893048-055e-43ae-b7ef-1c1165f64320;Madrid Sur;32;56.16;43.84
ae7e12dd-92d3-4d52-b6c2-fe9184bd8c34;Manoteras;33;51.31;48.69
39f7933c-5cbc-4d42-908e-6bd88c55c50c;Max Center;34;53.24;46.76
dcf50bbc-4e24-4495-b240-80a3497e99a4;Moda Shopping;35;59.53;40.47
d00339ba-c6d2-4830-acd1-b9cbe9b6be22;Nassica - Parque Comercial y de Ocio;60;53.58;46.42
e2aef294-794c-4674-9509-6c15225543af;Parque Corredor;101;54.75;45.25
2560337e-ad93-46bc-a944-73428173bc69;Plaza Loranca 2;63;52.78;47.22
fe152407-9e68-4ccb-8dcc-0032f6d68c1a;Plaza Mayor;40;54.11;45.89
a8d2120d-8649-4d03-97dc-e384b935406c;Plaza Moraleja;96;55.43;44.57
907fe0e5-f500-493f-92bd-3dfc70929688;Plaza Norte 2;41;57.7;42.3
a292aa57-8504-407d-96f2-783b80fdc527;Plaza Río 2;42;56.91;43.09
d96a47c5-f5e7-4a23-8d55-f9ff344613f6;Plaza de Aluche;38;56.09;43.91
ae2b6114-0ded-4bef-b0cb-3c94c6571797;Portal de la Marina;43;55.56;44.44
4173c481-8f24-413a-a53d-1432d966dddc;San Sebastián de los Reyes The Style Outlets;48;56.36;43.64
1ae5e620-424c-4dbe-8ec3-6dbd72584b9b;Valle Real;51;58.77;41.23
c42f0753-e80d-4354-abe3-9e7fe5dd7600;Zubiarte;54;57.92;42.08
d04597e6-51fd-457d-a302-12e381a71361;Ànecblau;7;54.22;45.78
c52d5f56-1f93-40dd-a167-d60d9a103807;Área Sur;55;55.12;44.88
