uuid;name;id;p_income_0;p_income_1;p_income_2;p_income_3
091b8fd0-a5b1-4c59-acb2-40759e131801;Albacenter;3;36.28;62.96;0.58;0.18
69dda3aa-efa6-4149-9481-3e1260141dc2;Alegra - Parque Comercial y de Ocio;5;64.86;20.74;11.7;2.69
91e8cf7c-ece3-4e27-9eed-4a146790bbb7;Almazara Plaza;6;94.1;5.58;0.26;0.06
4916aafd-1c0b-4e27-b2b0-61f7755fb4f3;Arena Multiespacio;9;71.44;25.45;2.92;0.19
c61e2cc5-ff63-4fe8-aa4a-abf1b1d7be16;As Termas;10;80.28;19.32;0.28;0.13
f066cf28-e91c-4ce3-a0e9-e87370fd0445;Castellana 200;11;24.42;46.1;10.03;19.45
135cd769-31c8-4240-a5af-adf6a132aaec;Conquistadores;13;61.86;37.79;0.26;0.1
0c2639f4-bec1-428e-abad-c95a3a78de58;Coruña The Style Outlets;50;33.31;62.93;2.43;1.33
b3c672c8-277c-4dd2-8450-802c3daca800;El Arcángel;95;83.69;15.44;0.64;0.24
db21a149-6720-4f2d-8cd5-e40df385d04b;El Deleite;57;77.25;21.22;1.12;0.41
cbb1f955-6ce2-4dd7-8c26-4bb8d4085418;El Encinar;67;23.83;25.94;20.16;30.06
d6e10447-60ed-4a71-a658-ec05fbe6b017;El Parque de Ciudad Real;16;49.94;48.83;0.99;0.25
14d4d04b-c417-4149-8146-d791064f5a8f;El Paseo;17;89.72;9.95;0.2;0.12
c494f3fd-545f-43dd-90ac-f15444c92879;El Restón;44;29.59;68.61;1.38;0.42
7ff3cca7-ed09-4cf6-b3ab-66d27f30939c;El Rosal;18;52.4;47.01;0.42;0.17
51cdbe4b-9a08-41e3-9dff-4dce61719a8f;Espacio Coruña;19;26.25;66.5;3.94;3.31
1ae1ee31-2236-4b08-ac6d-da75d590ced2;Espacio León;20;63.78;35.76;0.37;0.08
44dfcbc9-7df0-4da0-9882-0b07e36ef9d4;FINESTRELLES SHOPPING CENTRE;58;38.7;45.42;8.0;7.88
6723e314-b093-4de2-bafa-1775196d1234;Getafe The Style Outlets;45;65.91;29.19;3.66;1.24
a9652ebd-80a7-4e3c-9c82-da5a33132fa2;Gran Plaza 2;25;20.84;44.44;33.67;1.05
4f86178d-a155-40d0-977b-657954882fed;Gran Vía 2;26;22.31;53.75;21.09;2.86
d44960b0-d717-4fa8-a81c-4d6285b8f6b4;Gran Vía de Vigo;27;53.04;46.63;0.23;0.1
b345570b-20c8-4b90-b0ed-9ddaabdec93e;GranCasa;24;69.44;30.21;0.24;0.11
bf207f85-1735-4979-85d2-289f183bf178;L'Illa Diagonal;2;17.03;42.34;24.24;16.38
b2fd26f7-6048-4f10-8eba-5f90879f470e;La Farga;29;35.04;58.5;4.74;1.72
b33e9212-926d-45da-9f83-683b27a904b6;Las Rozas The Style Outlets;46;23.71;40.09;33.93;2.27
27630773-db74-4220-a055-00237a25da71;Los Alcores;4;90.92;8.81;0.22;0.05
67c19fe9-6b90-440c-954c-d6f652cd122a;Luz de Castilla;31;61.57;33.98;3.22;1.23
9a893048-055e-43ae-b7ef-1c1165f64320;Madrid Sur;32;85.4;10.55;3.18;0.87
ae7e12dd-92d3-4d52-b6c2-fe9184bd8c34;Manoteras;33;18.96;38.38;6.66;36.0
39f7933c-5cbc-4d42-908e-6bd88c55c50c;Max Center;34;14.93;80.1;0.68;4.28
dcf50bbc-4e24-4495-b240-80a3497e99a4;Moda Shopping;35;25.6;48.27;13.64;12.49
d00339ba-c6d2-4830-acd1-b9cbe9b6be22;Nassica - Parque Comercial y de Ocio;60;65.89;29.63;3.38;1.1
e2aef294-794c-4674-9509-6c15225543af;Parque Corredor;101;71.6;23.88;3.25;1.27
2560337e-ad93-46bc-a944-73428173bc69;Plaza Loranca 2;63;70.64;27.16;1.75;0.45
fe152407-9e68-4ccb-8dcc-0032f6d68c1a;Plaza Mayor;40;87.05;12.22;0.58;0.15
a8d2120d-8649-4d03-97dc-e384b935406c;Plaza Moraleja;96;30.51;31.88;26.48;11.12
907fe0e5-f500-493f-92bd-3dfc70929688;Plaza Norte 2;41;42.97;26.26;25.89;4.88
a292aa57-8504-407d-96f2-783b80fdc527;Plaza Río 2;42;59.0;34.57;4.9;1.53
d96a47c5-f5e7-4a23-8d55-f9ff344613f6;Plaza de Aluche;38;81.75;12.07;5.27;0.91
ae2b6114-0ded-4bef-b0cb-3c94c6571797;Portal de la Marina;43;85.77;12.23;1.75;0.25
4173c481-8f24-413a-a53d-1432d966dddc;San Sebastián de los Reyes The Style Outlets;48;59.24;25.6;11.97;3.19
1ae5e620-424c-4dbe-8ec3-6dbd72584b9b;Valle Real;51;66.16;30.31;3.29;0.23
c42f0753-e80d-4354-abe3-9e7fe5dd7600;Zubiarte;54;9.22;71.44;0.94;18.4
d04597e6-51fd-457d-a302-12e381a71361;Ànecblau;7;38.03;39.98;14.22;7.77
c52d5f56-1f93-40dd-a167-d60d9a103807;Área Sur;55;88.88;10.86;0.2;0.06
