uuid;id;name;day;start_hour;end_hour;visits
091b8fd0-a5b1-4c59-acb2-40759e131801;3;Albacenter;2023-03-20;10:00:00;11:00:00;1034
091b8fd0-a5b1-4c59-acb2-40759e131801;3;Albacenter;2023-03-20;11:00:00;12:00:00;1279
091b8fd0-a5b1-4c59-acb2-40759e131801;3;Albacenter;2023-03-20;12:00:00;13:00:00;1496
091b8fd0-a5b1-4c59-acb2-40759e131801;3;Albacenter;2023-03-20;13:00:00;14:00:00;1451
091b8fd0-a5b1-4c59-acb2-40759e131801;3;Albacenter;2023-03-20;14:00:00;15:00:00;1371
091b8fd0-a5b1-4c59-acb2-40759e131801;3;Albacenter;2023-03-20;15:00:00;16:00:00;1246
091b8fd0-a5b1-4c59-acb2-40759e131801;3;Albacenter;2023-03-20;16:00:00;17:00:00;1272
091b8fd0-a5b1-4c59-acb2-40759e131801;3;Albacenter;2023-03-20;17:00:00;18:00:00;1350
091b8fd0-a5b1-4c59-acb2-40759e131801;3;Albacenter;2023-03-20;18:00:00;19:00:00;1324
091b8fd0-a5b1-4c59-acb2-40759e131801;3;Albacenter;2023-03-20;19:00:00;20:00:00;1351
091b8fd0-a5b1-4c59-acb2-40759e131801;3;Albacenter;2023-03-20;20:00:00;21:00:00;1477
091b8fd0-a5b1-4c59-acb2-40759e131801;3;Albacenter;2023-03-20;21:00:00;22:00:00;1218
091b8fd0-a5b1-4c59-acb2-40759e131801;3;Albacenter;2023-03-21;10:00:00;11:00:00;1162
091b8fd0-a5b1-4c59-acb2-40759e131801;3;Albacenter;2023-03-21;11:00:00;12:00:00;1215
091b8fd0-a5b1-4c59-acb2-40759e131801;3;Albacenter;2023-03-21;12:00:00;13:00:00;1254
091b8fd0-a5b1-4c59-acb2-40759e131801;3;Albacenter;2023-03-21;13:00:00;14:00:00;1243
091b8fd0-a5b1-4c59-acb2-40759e131801;3;Albacenter;2023-03-21;14:00:00;15:00:00;1377
091b8fd0-a5b1-4c59-acb2-40759e131801;3;Albacenter;2023-03-21;15:00:00;16:00:00;1290
091b8fd0-a5b1-4c59-acb2-40759e131801;3;Albacenter;2023-03-21;16:00:00;17:00:00;1223
091b8fd0-a5b1-4c59-acb2-40759e131801;3;Albacenter;2023-03-21;17:00:00;18:00:00;1356
091b8fd0-a5b1-4c59-acb2-40759e131801;3;Albacenter;2023-03-21;18:00:00;19:00:00;1359
091b8fd0-a5b1-4c59-acb2-40759e131801;3;Albacenter;2023-03-21;19:00:00;20:00:00;1431
091b8fd0-a5b1-4c59-acb2-40759e131801;3;Albacenter;2023-03-21;20:00:00;21:00:00;1432
091b8fd0-a5b1-4c59-acb2-40759e131801;3;Albacenter;2023-03-21;21:00:00;22:00:00;1244
091b8fd0-a5b1-4c59-acb2-40759e131801;3;Albacenter;2023-03-22;10:00:00;11:00:00;1256
091b8fd0-a5b1-4c59-acb2-40759e131801;3;Albacenter;2023-03-22;11:00:00;12:00:00;1460
091b8fd0-a5b1-4c59-acb2-40759e131801;3;Albacenter;2023-03-22;12:00:00;13:00:00;1632
091b8fd0-a5b1-4c59-acb2-40759e131801;3;Albacenter;2023-03-22;13:00:00;14:00:00;1805
091b8fd0-a5b1-4c59-acb2-40759e131801;3;Albacenter;2023-03-22;14:00:00;15:00:00;1804
091b8fd0-a5b1-4c59-acb2-40759e131801;3;Albacenter;2023-03-22;15:00:00;16:00:00;1681
091b8fd0-a5b1-4c59-acb2-40759e131801;3;Albacenter;2023-03-22;16:00:00;17:00:00;1586
091b8fd0-a5b1-4c59-acb2-40759e131801;3;Albacenter;2023-03-22;17:00:00;18:00:00;1557
091b8fd0-a5b1-4c59-acb2-40759e131801;3;Albacenter;2023-03-22;18:00:00;19:00:00;1754
091b8fd0-a5b1-4c59-acb2-40759e131801;3;Albacenter;2023-03-22;19:00:00;20:00:00;1685
091b8fd0-a5b1-4c59-acb2-40759e131801;3;Albacenter;2023-03-22;20:00:00;21:00:00;1761
091b8fd0-a5b1-4c59-acb2-40759e131801;3;Albacenter;2023-03-22;21:00:00;22:00:00;1576
091b8fd0-a5b1-4c59-acb2-40759e131801;3;Albacenter;2023-03-23;10:00:00;11:00:00;1336
091b8fd0-a5b1-4c59-acb2-40759e131801;3;Albacenter;2023-03-23;11:00:00;12:00:00;1380
091b8fd0-a5b1-4c59-acb2-40759e131801;3;Albacenter;2023-03-23;12:00:00;13:00:00;1491
091b8fd0-a5b1-4c59-acb2-40759e131801;3;Albacenter;2023-03-23;13:00:00;14:00:00;1558
091b8fd0-a5b1-4c59-acb2-40759e131801;3;Albacenter;2023-03-23;14:00:00;15:00:00;1571
091b8fd0-a5b1-4c59-acb2-40759e131801;3;Albacenter;2023-03-23;15:00:00;16:00:00;1376
091b8fd0-a5b1-4c59-acb2-40759e131801;3;Albacenter;2023-03-23;16:00:00;17:00:00;1467
091b8fd0-a5b1-4c59-acb2-40759e131801;3;Albacenter;2023-03-23;17:00:00;18:00:00;1482
091b8fd0-a5b1-4c59-acb2-40759e131801;3;Albacenter;2023-03-23;18:00:00;19:00:00;1561
091b8fd0-a5b1-4c59-acb2-40759e131801;3;Albacenter;2023-03-23;19:00:00;20:00:00;1754
091b8fd0-a5b1-4c59-acb2-40759e131801;3;Albacenter;2023-03-23;20:00:00;21:00:00;1739
091b8fd0-a5b1-4c59-acb2-40759e131801;3;Albacenter;2023-03-23;21:00:00;22:00:00;1426
091b8fd0-a5b1-4c59-acb2-40759e131801;3;Albacenter;2023-03-24;10:00:00;11:00:00;1058
091b8fd0-a5b1-4c59-acb2-40759e131801;3;Albacenter;2023-03-24;11:00:00;12:00:00;1155
091b8fd0-a5b1-4c59-acb2-40759e131801;3;Albacenter;2023-03-24;12:00:00;13:00:00;1191
091b8fd0-a5b1-4c59-acb2-40759e131801;3;Albacenter;2023-03-24;13:00:00;14:00:00;1134
091b8fd0-a5b1-4c59-acb2-40759e131801;3;Albacenter;2023-03-24;14:00:00;15:00:00;1092
091b8fd0-a5b1-4c59-acb2-40759e131801;3;Albacenter;2023-03-24;15:00:00;16:00:00;1039
091b8fd0-a5b1-4c59-acb2-40759e131801;3;Albacenter;2023-03-24;16:00:00;17:00:00;1137
091b8fd0-a5b1-4c59-acb2-40759e131801;3;Albacenter;2023-03-24;17:00:00;18:00:00;1177
091b8fd0-a5b1-4c59-acb2-40759e131801;3;Albacenter;2023-03-24;18:00:00;19:00:00;1176
091b8fd0-a5b1-4c59-acb2-40759e131801;3;Albacenter;2023-03-24;19:00:00;20:00:00;1355
