uuid;name;id;pop_14_18;pop_18_25;pop_25_30;pop_30_50;pop_50_70;pop_70_90
091b8fd0-a5b1-4c59-acb2-40759e131801;Albacenter;3;4.24;2.03;8.0;27.71;36.42;21.6
69dda3aa-efa6-4149-9481-3e1260141dc2;Alegra - Parque Comercial y de Ocio;5;1.79;2.29;9.78;35.76;34.33;16.04
91e8cf7c-ece3-4e27-9eed-4a146790bbb7;Almazara Plaza;6;4.7;3.21;7.96;35.85;35.07;13.21
4916aafd-1c0b-4e27-b2b0-61f7755fb4f3;Arena Multiespacio;9;2.15;2.09;5.97;25.62;37.69;26.47
c61e2cc5-ff63-4fe8-aa4a-abf1b1d7be16;As Termas;10;5.78;6.14;6.41;22.89;40.13;18.64
f066cf28-e91c-4ce3-a0e9-e87370fd0445;Castellana 200;11;4.8;7.3;5.95;29.51;35.63;16.82
135cd769-31c8-4240-a5af-adf6a132aaec;Conquistadores;13;6.89;4.34;4.53;24.53;40.47;19.24
0c2639f4-bec1-428e-abad-c95a3a78de58;Coruña The Style Outlets;50;3.13;4.02;7.58;24.27;37.48;23.52
db21a149-6720-4f2d-8cd5-e40df385d04b;El Deleite;57;2.58;1.67;7.58;31.41;36.7;20.06
cbb1f955-6ce2-4dd7-8c26-4bb8d4085418;El Encinar;67;1.24;3.36;10.46;37.47;36.16;11.3
d6e10447-60ed-4a71-a658-ec05fbe6b017;El Parque de Ciudad Real;16;4.5;1.66;8.83;26.34;36.53;22.15
14d4d04b-c417-4149-8146-d791064f5a8f;El Paseo;17;1.42;1.26;6.23;28.78;37.34;24.96
c494f3fd-545f-43dd-90ac-f15444c92879;El Restón;44;1.11;1.69;7.16;35.15;36.5;18.39
7ff3cca7-ed09-4cf6-b3ab-66d27f30939c;El Rosal;18;3.85;1.18;6.06;24.13;38.55;26.23
51cdbe4b-9a08-41e3-9dff-4dce61719a8f;Espacio Coruña;19;2.13;1.54;7.58;24.46;41.64;22.65
1ae1ee31-2236-4b08-ac6d-da75d590ced2;Espacio León;20;5.96;1.47;5.85;21.62;40.03;25.06
44dfcbc9-7df0-4da0-9882-0b07e36ef9d4;FINESTRELLES SHOPPING CENTRE;58;6.94;4.76;8.46;33.31;32.9;13.63
6723e314-b093-4de2-bafa-1775196d1234;Getafe The Style Outlets;45;2.67;4.13;9.81;34.47;34.58;14.34
a9652ebd-80a7-4e3c-9c82-da5a33132fa2;Gran Plaza 2;25;2.66;4.15;8.71;33.66;37.29;13.52
4f86178d-a155-40d0-977b-657954882fed;Gran Vía 2;26;4.21;4.07;10.95;34.92;31.81;14.04
d44960b0-d717-4fa8-a81c-4d6285b8f6b4;Gran Vía de Vigo;27;4.51;3.45;7.74;25.67;39.82;18.82
b345570b-20c8-4b90-b0ed-9ddaabdec93e;GranCasa;24;1.38;2.54;3.48;18.35;38.42;35.83
bf207f85-1735-4979-85d2-289f183bf178;L'Illa Diagonal;2;5.53;4.01;9.57;32.38;35.1;13.41
b2fd26f7-6048-4f10-8eba-5f90879f470e;La Farga;29;2.44;8.7;8.12;29.83;33.57;17.34
b33e9212-926d-45da-9f83-683b27a904b6;Las Rozas The Style Outlets;46;2.49;3.28;7.55;30.68;38.12;17.89
27630773-db74-4220-a055-00237a25da71;Los Alcores;4;4.64;2.76;5.25;31.53;36.7;19.12
67c19fe9-6b90-440c-954c-d6f652cd122a;Luz de Castilla;31;4.36;2.36;7.76;24.0;38.43;23.08
9a893048-055e-43ae-b7ef-1c1165f64320;Madrid Sur;32;5.15;5.69;5.1;30.67;32.93;20.46
ae7e12dd-92d3-4d52-b6c2-fe9184bd8c34;Manoteras;33;1.45;3.8;7.66;28.5;38.04;20.55
39f7933c-5cbc-4d42-908e-6bd88c55c50c;Max Center;34;3.2;1.43;6.55;24.07;40.44;24.31
dcf50bbc-4e24-4495-b240-80a3497e99a4;Moda Shopping;35;4.4;7.31;6.54;30.11;36.09;15.53
e2aef294-794c-4674-9509-6c15225543af;Parque Corredor;101;2.93;4.6;9.63;33.53;33.3;16.01
2560337e-ad93-46bc-a944-73428173bc69;Plaza Loranca 2;63;4.31;2.0;7.7;34.05;34.52;17.42
fe152407-9e68-4ccb-8dcc-0032f6d68c1a;Plaza Mayor;40;3.25;3.55;8.38;31.28;36.88;16.67
a8d2120d-8649-4d03-97dc-e384b935406c;Plaza Moraleja;96;1.72;3.38;10.08;35.01;36.06;13.75
907fe0e5-f500-493f-92bd-3dfc70929688;Plaza Norte 2;41;1.73;2.99;12.17;36.3;33.84;12.96
a292aa57-8504-407d-96f2-783b80fdc527;Plaza Río 2;42;3.68;6.04;9.3;29.87;33.0;18.12
d96a47c5-f5e7-4a23-8d55-f9ff344613f6;Plaza de Aluche;38;3.69;3.68;6.25;27.1;34.15;25.13
ae2b6114-0ded-4bef-b0cb-3c94c6571797;Portal de la Marina;43;8.93;1.9;7.36;23.7;39.27;18.84
4173c481-8f24-413a-a53d-1432d966dddc;San Sebastián de los Reyes The Style Outlets;48;2.12;2.6;9.5;35.25;34.77;15.77
1ae5e620-424c-4dbe-8ec3-6dbd72584b9b;Valle Real;51;4.57;4.55;5.46;24.52;39.74;21.16
c42f0753-e80d-4354-abe3-9e7fe5dd7600;Zubiarte;54;4.08;2.97;6.65;22.41;38.91;24.98
d04597e6-51fd-457d-a302-12e381a71361;Ànecblau;7;3.28;1.52;8.6;31.99;34.88;19.72
c52d5f56-1f93-40dd-a167-d60d9a103807;Área Sur;55;2.74;1.86;7.3;27.55;38.36;22.2
