uuid;name;id;low;medium_low;medium;medium_high;high
091b8fd0-a5b1-4c59-acb2-40759e131801;Albacenter;3;0.29;2.94;39.61;56.16;1.01
69dda3aa-efa6-4149-9481-3e1260141dc2;Alegra - Parque Comercial y de Ocio;5;0.05;1.87;65.41;14.48;18.19
91e8cf7c-ece3-4e27-9eed-4a146790bbb7;Almazara Plaza;6;2.55;53.35;40.31;2.61;1.18
4916aafd-1c0b-4e27-b2b0-61f7755fb4f3;Arena Multiespacio;9;31.21;1.04;45.32;18.59;3.84
c61e2cc5-ff63-4fe8-aa4a-abf1b1d7be16;As Termas;10;0.02;0.18;84.77;2.22;12.81
f066cf28-e91c-4ce3-a0e9-e87370fd0445;Castellana 200;11;0.1;3.31;23.33;39.4;33.86
135cd769-31c8-4240-a5af-adf6a132aaec;Conquistadores;13;3.83;33.35;42.33;16.66;3.82
0c2639f4-bec1-428e-abad-c95a3a78de58;Coruña The Style Outlets;50;0.04;0.12;35.9;56.4;7.54
b3c672c8-277c-4dd2-8450-802c3daca800;El Arcángel;95;10.57;7.52;74.06;5.36;2.49
db21a149-6720-4f2d-8cd5-e40df385d04b;El Deleite;57;0.17;2.8;87.03;7.02;2.98
cbb1f955-6ce2-4dd7-8c26-4bb8d4085418;El Encinar;67;0.07;2.29;22.61;16.49;58.53
d6e10447-60ed-4a71-a658-ec05fbe6b017;El Parque de Ciudad Real;16;0.26;6.15;48.61;34.03;10.95
14d4d04b-c417-4149-8146-d791064f5a8f;El Paseo;17;0.94;63.8;24.71;3.34;7.21
c494f3fd-545f-43dd-90ac-f15444c92879;El Restón;44;0.06;1.74;91.13;4.33;2.75
7ff3cca7-ed09-4cf6-b3ab-66d27f30939c;El Rosal;18;0.01;0.3;57.38;41.13;1.17
51cdbe4b-9a08-41e3-9dff-4dce61719a8f;Espacio Coruña;19;0.02;0.16;36.03;51.43;12.36
1ae1ee31-2236-4b08-ac6d-da75d590ced2;Espacio León;20;0.01;0.23;82.2;14.39;3.17
44dfcbc9-7df0-4da0-9882-0b07e36ef9d4;FINESTRELLES SHOPPING CENTRE;58;0.04;0.49;46.66;30.97;21.84
6723e314-b093-4de2-bafa-1775196d1234;Getafe The Style Outlets;45;0.21;5.76;71.06;15.46;7.51
a9652ebd-80a7-4e3c-9c82-da5a33132fa2;Gran Plaza 2;25;0.06;2.71;26.73;20.24;50.26
4f86178d-a155-40d0-977b-657954882fed;Gran Vía 2;26;0.04;0.48;27.33;44.6;27.56
d44960b0-d717-4fa8-a81c-4d6285b8f6b4;Gran Vía de Vigo;27;0.01;0.18;60.73;28.23;10.86
b345570b-20c8-4b90-b0ed-9ddaabdec93e;GranCasa;24;0.03;0.3;76.64;15.29;7.73
bf207f85-1735-4979-85d2-289f183bf178;L'Illa Diagonal;2;0.05;0.48;21.52;31.84;46.1
b2fd26f7-6048-4f10-8eba-5f90879f470e;La Farga;29;0.04;0.39;40.34;50.07;9.15
b33e9212-926d-45da-9f83-683b27a904b6;Las Rozas The Style Outlets;46;0.1;2.52;32.72;21.29;43.37
27630773-db74-4220-a055-00237a25da71;Los Alcores;4;1.61;13.73;79.05;3.85;1.76
67c19fe9-6b90-440c-954c-d6f652cd122a;Luz de Castilla;31;0.09;1.16;68.39;21.53;8.83
9a893048-055e-43ae-b7ef-1c1165f64320;Madrid Sur;32;0.08;63.53;23.69;7.27;5.43
ae7e12dd-92d3-4d52-b6c2-fe9184bd8c34;Manoteras;33;0.11;2.51;17.96;32.73;46.68
39f7933c-5cbc-4d42-908e-6bd88c55c50c;Max Center;34;0.05;0.23;31.74;59.88;8.1
dcf50bbc-4e24-4495-b240-80a3497e99a4;Moda Shopping;35;0.11;3.64;24.31;40.1;31.85
d00339ba-c6d2-4830-acd1-b9cbe9b6be22;Nassica - Parque Comercial y de Ocio;60;0.18;5.43;72.5;15.04;6.86
e2aef294-794c-4674-9509-6c15225543af;Parque Corredor;101;0.06;4.05;73.75;12.81;9.33
2560337e-ad93-46bc-a944-73428173bc69;Plaza Loranca 2;63;0.07;4.27;65.39;26.42;3.85
fe152407-9e68-4ccb-8dcc-0032f6d68c1a;Plaza Mayor;40;0.57;12.15;76.45;3.1;7.73
a8d2120d-8649-4d03-97dc-e384b935406c;Plaza Moraleja;96;0.09;3.3;29.82;25.45;41.33
907fe0e5-f500-493f-92bd-3dfc70929688;Plaza Norte 2;41;0.08;2.02;43.27;18.44;36.19
a292aa57-8504-407d-96f2-783b80fdc527;Plaza Río 2;42;0.08;5.22;54.18;29.97;10.54
d96a47c5-f5e7-4a23-8d55-f9ff344613f6;Plaza de Aluche;38;0.06;3.42;79.77;8.29;8.46
ae2b6114-0ded-4bef-b0cb-3c94c6571797;Portal de la Marina;43;0.84;6.25;83.73;6.45;2.73
4173c481-8f24-413a-a53d-1432d966dddc;San Sebastián de los Reyes The Style Outlets;48;0.08;2.29;60.19;18.05;19.4
1ae5e620-424c-4dbe-8ec3-6dbd72584b9b;Valle Real;51;0.03;0.23;77.28;18.28;4.19
c42f0753-e80d-4354-abe3-9e7fe5dd7600;Zubiarte;54;0.02;0.27;19.97;59.69;20.05
d04597e6-51fd-457d-a302-12e381a71361;Ànecblau;7;0.08;0.57;53.72;14.36;31.27
c52d5f56-1f93-40dd-a167-d60d9a103807;Área Sur;55;3.73;42.56;43.49;3.43;6.8
