uuid;name;id;pop_14_18;pop_18_25;pop_25_30;pop_30_50;pop_50_70;pop_70_90
091b8fd0-a5b1-4c59-acb2-40759e131801;Albacenter;3;16.32;1.44;14.75;31.37;20.23;15.9
69dda3aa-efa6-4149-9481-3e1260141dc2;Alegra - Parque Comercial y de Ocio;5;10.42;1.53;17.56;40.41;17.43;12.66
91e8cf7c-ece3-4e27-9eed-4a146790bbb7;Almazara Plaza;6;20.26;2.09;13.44;26.59;19.01;18.6
4916aafd-1c0b-4e27-b2b0-61f7755fb4f3;Arena Multiespacio;9;20.85;0.72;14.26;30.14;18.16;15.86
c61e2cc5-ff63-4fe8-aa4a-abf1b1d7be16;As Termas;10;16.84;1.34;13.0;27.91;23.46;17.45
f066cf28-e91c-4ce3-a0e9-e87370fd0445;Castellana 200;11;17.76;8.7;8.83;29.65;20.05;15.02
135cd769-31c8-4240-a5af-adf6a132aaec;Conquistadores;13;21.51;2.16;12.47;29.92;21.15;12.8
0c2639f4-bec1-428e-abad-c95a3a78de58;Coruña The Style Outlets;50;13.57;0.3;13.25;37.11;18.55;17.22
b3c672c8-277c-4dd2-8450-802c3daca800;El Arcángel;95;16.88;1.22;13.57;27.69;24.48;16.16
db21a149-6720-4f2d-8cd5-e40df385d04b;El Deleite;57;18.69;1.08;10.25;32.52;14.39;23.07
cbb1f955-6ce2-4dd7-8c26-4bb8d4085418;El Encinar;67;13.13;1.92;17.74;38.64;18.39;10.18
d6e10447-60ed-4a71-a658-ec05fbe6b017;El Parque de Ciudad Real;16;16.03;2.38;14.37;23.93;25.19;18.09
14d4d04b-c417-4149-8146-d791064f5a8f;El Paseo;17;13.95;1.09;15.61;35.08;18.82;15.45
c494f3fd-545f-43dd-90ac-f15444c92879;El Restón;44;4.16;1.02;16.61;49.21;15.0;14.0
7ff3cca7-ed09-4cf6-b3ab-66d27f30939c;El Rosal;18;17.1;1.91;11.03;18.47;32.9;18.59
51cdbe4b-9a08-41e3-9dff-4dce61719a8f;Espacio Coruña;19;15.5;0.43;14.04;32.28;19.67;18.07
1ae1ee31-2236-4b08-ac6d-da75d590ced2;Espacio León;20;13.08;0.79;12.84;26.5;26.78;20.0
44dfcbc9-7df0-4da0-9882-0b07e36ef9d4;FINESTRELLES SHOPPING CENTRE;58;20.94;2.66;14.68;31.86;15.53;14.33
6723e314-b093-4de2-bafa-1775196d1234;Getafe The Style Outlets;45;12.91;2.12;17.46;36.13;18.43;12.96
a9652ebd-80a7-4e3c-9c82-da5a33132fa2;Gran Plaza 2;25;15.66;1.4;14.57;38.25;17.85;12.27
4f86178d-a155-40d0-977b-657954882fed;Gran Vía 2;26;21.69;2.92;15.52;31.1;15.12;13.65
d44960b0-d717-4fa8-a81c-4d6285b8f6b4;Gran Vía de Vigo;27;17.24;0.25;12.39;30.96;20.72;18.44
b345570b-20c8-4b90-b0ed-9ddaabdec93e;GranCasa;24;17.41;1.45;9.8;29.82;23.74;17.78
bf207f85-1735-4979-85d2-289f183bf178;L'Illa Diagonal;2;20.88;5.44;12.89;28.73;17.61;14.45
b2fd26f7-6048-4f10-8eba-5f90879f470e;La Farga;29;22.02;1.52;14.94;30.02;14.45;17.04
b33e9212-926d-45da-9f83-683b27a904b6;Las Rozas The Style Outlets;46;14.15;1.89;13.94;35.59;20.37;14.06
27630773-db74-4220-a055-00237a25da71;Los Alcores;4;13.68;0.92;15.45;37.05;17.85;15.07
67c19fe9-6b90-440c-954c-d6f652cd122a;Luz de Castilla;31;12.82;2.43;13.19;22.87;23.56;25.14
9a893048-055e-43ae-b7ef-1c1165f64320;Madrid Sur;32;20.89;10.47;5.22;26.34;22.43;14.65
ae7e12dd-92d3-4d52-b6c2-fe9184bd8c34;Manoteras;33;10.9;2.44;14.59;35.09;19.75;17.22
39f7933c-5cbc-4d42-908e-6bd88c55c50c;Max Center;34;12.38;0.76;13.49;26.2;27.97;19.2
dcf50bbc-4e24-4495-b240-80a3497e99a4;Moda Shopping;35;19.04;9.85;9.15;28.9;19.19;13.88
d00339ba-c6d2-4830-acd1-b9cbe9b6be22;Nassica - Parque Comercial y de Ocio;60;12.86;2.06;18.0;36.73;17.87;12.48
e2aef294-794c-4674-9509-6c15225543af;Parque Corredor;101;19.32;1.11;16.51;34.73;16.46;11.87
2560337e-ad93-46bc-a944-73428173bc69;Plaza Loranca 2;63;19.56;0.6;15.23;32.2;21.75;10.66
fe152407-9e68-4ccb-8dcc-0032f6d68c1a;Plaza Mayor;40;17.09;1.22;16.4;33.11;19.87;12.3
a8d2120d-8649-4d03-97dc-e384b935406c;Plaza Moraleja;96;16.21;2.81;15.88;35.59;17.66;11.85
907fe0e5-f500-493f-92bd-3dfc70929688;Plaza Norte 2;41;16.88;1.8;17.62;36.52;15.87;11.32
a292aa57-8504-407d-96f2-783b80fdc527;Plaza Río 2;42;20.54;2.55;14.68;29.5;18.2;14.53
d96a47c5-f5e7-4a23-8d55-f9ff344613f6;Plaza de Aluche;38;18.1;1.35;13.8;28.97;17.01;20.78
