uuid;name;id;pop_14_18;pop_18_25;pop_25_30;pop_30_50;pop_50_70;pop_70_90
091b8fd0-a5b1-4c59-acb2-40759e131801;Albacenter;3;7.26;1.41;13.83;33.61;22.92;20.97
69dda3aa-efa6-4149-9481-3e1260141dc2;Alegra - Parque Comercial y de Ocio;5;4.91;1.38;14.71;42.82;21.26;14.91
91e8cf7c-ece3-4e27-9eed-4a146790bbb7;Almazara Plaza;6;10.62;1.65;11.8;28.56;21.1;26.27
4916aafd-1c0b-4e27-b2b0-61f7755fb4f3;Arena Multiespacio;9;10.5;0.71;12.05;33.42;22.53;20.8
c61e2cc5-ff63-4fe8-aa4a-abf1b1d7be16;As Termas;10;9.31;1.24;11.31;28.87;27.48;21.79
f066cf28-e91c-4ce3-a0e9-e87370fd0445;Castellana 200;11;9.47;7.42;8.84;31.61;25.04;17.62
135cd769-31c8-4240-a5af-adf6a132aaec;Conquistadores;13;8.99;2.0;11.85;31.95;27.39;17.82
0c2639f4-bec1-428e-abad-c95a3a78de58;Coruña The Style Outlets;50;6.63;0.28;10.17;38.29;23.43;21.21
b3c672c8-277c-4dd2-8450-802c3daca800;El Arcángel;95;8.84;0.95;11.34;29.32;28.79;20.76
db21a149-6720-4f2d-8cd5-e40df385d04b;El Deleite;57;14.41;1.29;10.45;33.0;15.45;25.4
cbb1f955-6ce2-4dd7-8c26-4bb8d4085418;El Encinar;67;6.2;1.92;15.4;41.98;21.48;13.02
d6e10447-60ed-4a71-a658-ec05fbe6b017;El Parque de Ciudad Real;16;8.22;1.83;11.38;24.51;30.13;23.92
14d4d04b-c417-4149-8146-d791064f5a8f;El Paseo;17;4.49;0.65;10.99;32.43;20.17;31.27
c494f3fd-545f-43dd-90ac-f15444c92879;El Restón;44;2.0;0.99;12.73;47.69;18.23;18.36
7ff3cca7-ed09-4cf6-b3ab-66d27f30939c;El Rosal;18;10.22;1.23;9.34;18.46;38.22;22.55
51cdbe4b-9a08-41e3-9dff-4dce61719a8f;Espacio Coruña;19;7.01;0.35;11.75;34.92;23.37;22.6
1ae1ee31-2236-4b08-ac6d-da75d590ced2;Espacio León;20;6.95;0.45;10.41;26.36;31.03;24.79
44dfcbc9-7df0-4da0-9882-0b07e36ef9d4;FINESTRELLES SHOPPING CENTRE;58;12.59;2.52;13.27;34.94;18.61;18.08
6723e314-b093-4de2-bafa-1775196d1234;Getafe The Style Outlets;45;6.77;1.83;15.13;38.01;21.85;16.41
a9652ebd-80a7-4e3c-9c82-da5a33132fa2;Gran Plaza 2;25;7.14;1.52;12.83;41.43;22.18;14.9
4f86178d-a155-40d0-977b-657954882fed;Gran Vía 2;26;12.44;3.14;13.95;34.86;18.67;16.94
d44960b0-d717-4fa8-a81c-4d6285b8f6b4;Gran Vía de Vigo;27;8.62;0.94;10.46;34.11;24.65;21.22
b345570b-20c8-4b90-b0ed-9ddaabdec93e;GranCasa;24;9.3;1.32;8.94;33.13;25.35;21.95
bf207f85-1735-4979-85d2-289f183bf178;L'Illa Diagonal;2;10.82;4.73;11.77;31.68;22.34;18.66
b2fd26f7-6048-4f10-8eba-5f90879f470e;La Farga;29;12.79;1.89;13.46;34.03;17.48;20.36
b33e9212-926d-45da-9f83-683b27a904b6;Las Rozas The Style Outlets;46;7.17;1.88;12.62;37.41;23.39;17.54
27630773-db74-4220-a055-00237a25da71;Los Alcores;4;6.17;0.78;12.54;37.43;21.34;21.74
67c19fe9-6b90-440c-954c-d6f652cd122a;Luz de Castilla;31;6.79;2.19;8.67;21.48;23.5;37.38
9a893048-055e-43ae-b7ef-1c1165f64320;Madrid Sur;32;12.3;9.51;5.39;29.43;26.27;17.09
ae7e12dd-92d3-4d52-b6c2-fe9184bd8c34;Manoteras;33;5.4;2.16;13.14;35.61;24.16;19.53
39f7933c-5cbc-4d42-908e-6bd88c55c50c;Max Center;34;5.06;0.8;11.18;25.96;33.32;23.67
dcf50bbc-4e24-4495-b240-80a3497e99a4;Moda Shopping;35;9.94;8.55;9.84;31.01;24.07;16.59
