uuid;name;id;p_income_0;p_income_1;p_income_2;p_income_3
091b8fd0-a5b1-4c59-acb2-40759e131801;Albacenter;3;39.48;59.79;0.58;0.14
69dda3aa-efa6-4149-9481-3e1260141dc2;Alegra - Parque Comercial y de Ocio;5;63.77;21.63;11.75;2.85
91e8cf7c-ece3-4e27-9eed-4a146790bbb7;Almazara Plaza;6;94.94;4.89;0.14;0.03
4916aafd-1c0b-4e27-b2b0-61f7755fb4f3;Arena Multiespacio;9;72.3;24.71;2.9;0.09
c61e2cc5-ff63-4fe8-aa4a-abf1b1d7be16;As Termas;10;80.71;18.93;0.27;0.09
f066cf28-e91c-4ce3-a0e9-e87370fd0445;Castellana 200;11;27.96;45.62;9.31;17.11
135cd769-31c8-4240-a5af-adf6a132aaec;Conquistadores;13;64.72;34.94;0.27;0.07
0c2639f4-bec1-428e-abad-c95a3a78de58;Coruña The Style Outlets;50;32.7;64.02;2.09;1.19
b3c672c8-277c-4dd2-8450-802c3daca800;El Arcángel;95;84.82;14.57;0.4;0.2
db21a149-6720-4f2d-8cd5-e40df385d04b;El Deleite;57;77.28;21.48;0.89;0.35
cbb1f955-6ce2-4dd7-8c26-4bb8d4085418;El Encinar;67;28.24;25.8;18.23;27.73
d6e10447-60ed-4a71-a658-ec05fbe6b017;El Parque de Ciudad Real;16;51.37;47.6;0.78;0.25
14d4d04b-c417-4149-8146-d791064f5a8f;El Paseo;17;90.46;9.26;0.23;0.06
c494f3fd-545f-43dd-90ac-f15444c92879;El Restón;44;35.05;63.37;1.22;0.36
7ff3cca7-ed09-4cf6-b3ab-66d27f30939c;El Rosal;18;51.99;47.56;0.34;0.11
51cdbe4b-9a08-41e3-9dff-4dce61719a8f;Espacio Coruña;19;29.82;64.01;3.39;2.78
1ae1ee31-2236-4b08-ac6d-da75d590ced2;Espacio León;20;63.91;35.71;0.29;0.09
44dfcbc9-7df0-4da0-9882-0b07e36ef9d4;FINESTRELLES SHOPPING CENTRE;58;39.76;45.63;7.58;7.03
6723e314-b093-4de2-bafa-1775196d1234;Getafe The Style Outlets;45;67.86;27.79;3.19;1.16
a9652ebd-80a7-4e3c-9c82-da5a33132fa2;Gran Plaza 2;25;25.3;41.12;32.6;0.99
4f86178d-a155-40d0-977b-657954882fed;Gran Vía 2;26;24.19;52.83;20.33;2.64
d44960b0-d717-4fa8-a81c-4d6285b8f6b4;Gran Vía de Vigo;27;55.09;44.62;0.18;0.12
b345570b-20c8-4b90-b0ed-9ddaabdec93e;GranCasa;24;70.02;29.49;0.39;0.1
bf207f85-1735-4979-85d2-289f183bf178;L'Illa Diagonal;2;18.95;43.69;22.47;14.9
b2fd26f7-6048-4f10-8eba-5f90879f470e;La Farga;29;37.74;56.19;4.48;1.59
b33e9212-926d-45da-9f83-683b27a904b6;Las Rozas The Style Outlets;46;29.38;38.52;30.5;1.6
27630773-db74-4220-a055-00237a25da71;Los Alcores;4;90.25;9.51;0.19;0.05
67c19fe9-6b90-440c-954c-d6f652cd122a;Luz de Castilla;31;63.41;33.26;2.48;0.85
9a893048-055e-43ae-b7ef-1c1165f64320;Madrid Sur;32;85.82;10.26;3.15;0.77
ae7e12dd-92d3-4d52-b6c2-fe9184bd8c34;Manoteras;33;22.31;38.22;6.12;33.36
39f7933c-5cbc-4d42-908e-6bd88c55c50c;Max Center;34;16.16;79.11;0.53;4.21
dcf50bbc-4e24-4495-b240-80a3497e99a4;Moda Shopping;35;29.36;47.66;11.94;11.04
d00339ba-c6d2-4830-acd1-b9cbe9b6be22;Nassica - Parque Comercial y de Ocio;60;67.74;28.23;2.97;1.06
e2aef294-794c-4674-9509-6c15225543af;Parque Corredor;101;73.42;22.59;2.86;1.13
2560337e-ad93-46bc-a944-73428173bc69;Plaza Loranca 2;63;71.34;26.93;1.4;0.34
fe152407-9e68-4ccb-8dcc-0032f6d68c1a;Plaza Mayor;40;87.3;12.0;0.53;0.17
a8d2120d-8649-4d03-97dc-e384b935406c;Plaza Moraleja;96;34.72;34.53;19.72;11.02
907fe0e5-f500-493f-92bd-3dfc70929688;Plaza Norte 2;41;43.66;26.29;25.05;5.0
a292aa57-8504-407d-96f2-783b80fdc527;Plaza Río 2;42;59.7;34.28;4.65;1.38
d96a47c5-f5e7-4a23-8d55-f9ff344613f6;Plaza de Aluche;38;81.76;12.61;4.83;0.8
ae2b6114-0ded-4bef-b0cb-3c94c6571797;Portal de la Marina;43;86.81;11.75;1.3;0.14
4173c481-8f24-413a-a53d-1432d966dddc;San Sebastián de los Reyes The Style Outlets;48;58.37;26.32;11.95;3.37
1ae5e620-424c-4dbe-8ec3-6dbd72584b9b;Valle Real;51;65.7;30.82;3.23;0.25
c42f0753-e80d-4354-abe3-9e7fe5dd7600;Zubiarte;54;10.74;71.4;0.88;16.99
d04597e6-51fd-457d-a302-12e381a71361;Ànecblau;7;37.37;41.25;14.37;7.01
c52d5f56-1f93-40dd-a167-d60d9a103807;Área Sur;55;89.4;10.37;0.18;0.04
