uuid;name;id;low;medium_low;medium;medium_high;high
091b8fd0-a5b1-4c59-acb2-40759e131801;Albacenter;3;0.48;3.67;42.7;51.53;1.61
69dda3aa-efa6-4149-9481-3e1260141dc2;Alegra - Parque Comercial y de Ocio;5;0.14;3.04;64.54;15.27;17.0
91e8cf7c-ece3-4e27-9eed-4a146790bbb7;Almazara Plaza;6;2.51;51.66;41.45;2.96;1.41
4916aafd-1c0b-4e27-b2b0-61f7755fb4f3;Arena Multiespacio;9;31.14;1.37;44.66;19.04;3.79
c61e2cc5-ff63-4fe8-aa4a-abf1b1d7be16;As Termas;10;0.02;0.72;81.95;3.42;13.89
f066cf28-e91c-4ce3-a0e9-e87370fd0445;Castellana 200;11;0.2;3.8;26.39;37.43;32.18
135cd769-31c8-4240-a5af-adf6a132aaec;Conquistadores;13;5.04;33.99;42.19;15.38;3.39
0c2639f4-bec1-428e-abad-c95a3a78de58;Coruña The Style Outlets;50;0.03;0.5;38.27;52.78;8.42
b3c672c8-277c-4dd2-8450-802c3daca800;El Arcángel;95;11.67;7.59;75.54;3.95;1.24
db21a149-6720-4f2d-8cd5-e40df385d04b;El Deleite;57;0.34;4.98;81.99;8.67;4.02
cbb1f955-6ce2-4dd7-8c26-4bb8d4085418;El Encinar;67;0.11;3.69;28.3;17.35;50.56
d6e10447-60ed-4a71-a658-ec05fbe6b017;El Parque de Ciudad Real;16;0.28;6.33;47.42;35.46;10.51
14d4d04b-c417-4149-8146-d791064f5a8f;El Paseo;17;0.76;60.9;26.54;3.93;7.88
c494f3fd-545f-43dd-90ac-f15444c92879;El Restón;44;0.07;3.6;88.52;5.07;2.74
7ff3cca7-ed09-4cf6-b3ab-66d27f30939c;El Rosal;18;0.06;0.63;54.91;42.36;2.03
51cdbe4b-9a08-41e3-9dff-4dce61719a8f;Espacio Coruña;19;0.04;0.3;38.22;50.31;11.12
1ae1ee31-2236-4b08-ac6d-da75d590ced2;Espacio León;20;0.03;0.48;80.47;15.43;3.58
44dfcbc9-7df0-4da0-9882-0b07e36ef9d4;FINESTRELLES SHOPPING CENTRE;58;0.06;0.84;48.69;30.62;19.77
6723e314-b093-4de2-bafa-1775196d1234;Getafe The Style Outlets;45;0.35;6.65;70.78;15.4;6.82
a9652ebd-80a7-4e3c-9c82-da5a33132fa2;Gran Plaza 2;25;0.13;3.18;32.24;19.86;44.6
4f86178d-a155-40d0-977b-657954882fed;Gran Vía 2;26;0.06;0.84;29.04;44.05;26.0
d44960b0-d717-4fa8-a81c-4d6285b8f6b4;Gran Vía de Vigo;27;0.02;0.45;62.13;27.01;10.39
b345570b-20c8-4b90-b0ed-9ddaabdec93e;GranCasa;24;0.1;0.48;77.46;15.39;6.57
bf207f85-1735-4979-85d2-289f183bf178;L'Illa Diagonal;2;0.06;0.83;23.15;31.43;44.53
b2fd26f7-6048-4f10-8eba-5f90879f470e;La Farga;29;0.05;0.93;39.32;51.7;8.0
96ebc324-97d7-4c0c-9122-c873141fc16a;La Villa 2;61;0.16;17.59;73.97;7.32;0.96
b33e9212-926d-45da-9f83-683b27a904b6;Las Rozas The Style Outlets;46;0.2;3.34;37.87;20.97;37.63
27630773-db74-4220-a055-00237a25da71;Los Alcores;4;1.53;14.74;78.05;4.09;1.59
67c19fe9-6b90-440c-954c-d6f652cd122a;Luz de Castilla;31;0.14;1.56;67.92;22.04;8.33
9a893048-055e-43ae-b7ef-1c1165f64320;Madrid Sur;32;0.11;60.79;25.96;7.61;5.52
ae7e12dd-92d3-4d52-b6c2-fe9184bd8c34;Manoteras;33;0.13;3.14;22.45;31.44;42.85
39f7933c-5cbc-4d42-908e-6bd88c55c50c;Max Center;34;0.06;0.65;32.7;58.46;8.13
d00339ba-c6d2-4830-acd1-b9cbe9b6be22;Nassica - Parque Comercial y de Ocio;60;0.32;6.34;72.11;15.09;6.14
e2aef294-794c-4674-9509-6c15225543af;Parque Corredor;101;0.14;4.02;74.41;13.19;8.24
2560337e-ad93-46bc-a944-73428173bc69;Plaza Loranca 2;63;0.12;4.64;68.01;23.85;3.38
fe152407-9e68-4ccb-8dcc-0032f6d68c1a;Plaza Mayor;40;0.66;12.39;74.48;4.25;8.22
a8d2120d-8649-4d03-97dc-e384b935406c;Plaza Moraleja;96;0.12;4.02;33.83;24.35;37.68
907fe0e5-f500-493f-92bd-3dfc70929688;Plaza Norte 2;41;0.11;2.92;45.41;18.57;32.99
a292aa57-8504-407d-96f2-783b80fdc527;Plaza Río 2;42;0.13;5.51;56.53;28.84;8.99
d96a47c5-f5e7-4a23-8d55-f9ff344613f6;Plaza de Aluche;38;0.14;4.01;79.89;8.42;7.53
ae2b6114-0ded-4bef-b0cb-3c94c6571797;Portal de la Marina;43;1.04;6.5;79.62;8.59;4.25
4173c481-8f24-413a-a53d-1432d966dddc;San Sebastián de los Reyes The Style Outlets;48;0.14;3.33;60.04;18.42;18.07
1ae5e620-424c-4dbe-8ec3-6dbd72584b9b;Valle Real;51;0.1;0.69;75.68;18.6;4.93
c42f0753-e80d-4354-abe3-9e7fe5dd7600;Zubiarte;54;0.06;0.85;22.64;56.25;20.21
d04597e6-51fd-457d-a302-12e381a71361;Ànecblau;7;0.13;0.94;52.5;15.67;30.75
c52d5f56-1f93-40dd-a167-d60d9a103807;Área Sur;55;2.78;42.52;44.13;4.52;6.05
