uuid;id;name;day;start_hour;end_hour;visits
091b8fd0-a5b1-4c59-acb2-40759e131801;3;Albacenter;2023-10-16;10:00:00;11:00:00;856
091b8fd0-a5b1-4c59-acb2-40759e131801;3;Albacenter;2023-10-16;11:00:00;12:00:00;1011
091b8fd0-a5b1-4c59-acb2-40759e131801;3;Albacenter;2023-10-16;12:00:00;13:00:00;1040
091b8fd0-a5b1-4c59-acb2-40759e131801;3;Albacenter;2023-10-16;13:00:00;14:00:00;1054
091b8fd0-a5b1-4c59-acb2-40759e131801;3;Albacenter;2023-10-16;14:00:00;15:00:00;1177
091b8fd0-a5b1-4c59-acb2-40759e131801;3;Albacenter;2023-10-16;15:00:00;16:00:00;1084
091b8fd0-a5b1-4c59-acb2-40759e131801;3;Albacenter;2023-10-16;16:00:00;17:00:00;999
091b8fd0-a5b1-4c59-acb2-40759e131801;3;Albacenter;2023-10-16;17:00:00;18:00:00;1079
091b8fd0-a5b1-4c59-acb2-40759e131801;3;Albacenter;2023-10-16;18:00:00;19:00:00;1094
091b8fd0-a5b1-4c59-acb2-40759e131801;3;Albacenter;2023-10-16;19:00:00;20:00:00;1170
091b8fd0-a5b1-4c59-acb2-40759e131801;3;Albacenter;2023-10-16;20:00:00;21:00:00;1341
091b8fd0-a5b1-4c59-acb2-40759e131801;3;Albacenter;2023-10-16;21:00:00;22:00:00;1007
091b8fd0-a5b1-4c59-acb2-40759e131801;3;Albacenter;2023-10-17;10:00:00;11:00:00;921
091b8fd0-a5b1-4c59-acb2-40759e131801;3;Albacenter;2023-10-17;11:00:00;12:00:00;1147
091b8fd0-a5b1-4c59-acb2-40759e131801;3;Albacenter;2023-10-17;12:00:00;13:00:00;1276
091b8fd0-a5b1-4c59-acb2-40759e131801;3;Albacenter;2023-10-17;13:00:00;14:00:00;1293
091b8fd0-a5b1-4c59-acb2-40759e131801;3;Albacenter;2023-10-17;14:00:00;15:00:00;1227
091b8fd0-a5b1-4c59-acb2-40759e131801;3;Albacenter;2023-10-17;15:00:00;16:00:00;1253
091b8fd0-a5b1-4c59-acb2-40759e131801;3;Albacenter;2023-10-17;16:00:00;17:00:00;1027
091b8fd0-a5b1-4c59-acb2-40759e131801;3;Albacenter;2023-10-17;17:00:00;18:00:00;1093
091b8fd0-a5b1-4c59-acb2-40759e131801;3;Albacenter;2023-10-17;18:00:00;19:00:00;1267
091b8fd0-a5b1-4c59-acb2-40759e131801;3;Albacenter;2023-10-17;19:00:00;20:00:00;1294
091b8fd0-a5b1-4c59-acb2-40759e131801;3;Albacenter;2023-10-17;20:00:00;21:00:00;1170
091b8fd0-a5b1-4c59-acb2-40759e131801;3;Albacenter;2023-10-17;21:00:00;22:00:00;1095
091b8fd0-a5b1-4c59-acb2-40759e131801;3;Albacenter;2023-10-18;10:00:00;11:00:00;815
091b8fd0-a5b1-4c59-acb2-40759e131801;3;Albacenter;2023-10-18;11:00:00;12:00:00;908
091b8fd0-a5b1-4c59-acb2-40759e131801;3;Albacenter;2023-10-18;12:00:00;13:00:00;1004
091b8fd0-a5b1-4c59-acb2-40759e131801;3;Albacenter;2023-10-18;13:00:00;14:00:00;950
091b8fd0-a5b1-4c59-acb2-40759e131801;3;Albacenter;2023-10-18;14:00:00;15:00:00;901
091b8fd0-a5b1-4c59-acb2-40759e131801;3;Albacenter;2023-10-18;15:00:00;16:00:00;1015
091b8fd0-a5b1-4c59-acb2-40759e131801;3;Albacenter;2023-10-18;16:00:00;17:00:00;975
091b8fd0-a5b1-4c59-acb2-40759e131801;3;Albacenter;2023-10-18;17:00:00;18:00:00;1039
091b8fd0-a5b1-4c59-acb2-40759e131801;3;Albacenter;2023-10-18;18:00:00;19:00:00;1034
091b8fd0-a5b1-4c59-acb2-40759e131801;3;Albacenter;2023-10-18;19:00:00;20:00:00;1302
091b8fd0-a5b1-4c59-acb2-40759e131801;3;Albacenter;2023-10-18;20:00:00;21:00:00;1310
091b8fd0-a5b1-4c59-acb2-40759e131801;3;Albacenter;2023-10-18;21:00:00;22:00:00;1333
091b8fd0-a5b1-4c59-acb2-40759e131801;3;Albacenter;2023-10-19;10:00:00;11:00:00;894
091b8fd0-a5b1-4c59-acb2-40759e131801;3;Albacenter;2023-10-19;11:00:00;12:00:00;967
091b8fd0-a5b1-4c59-acb2-40759e131801;3;Albacenter;2023-10-19;12:00:00;13:00:00;1112
