uuid;name;day;start_hour;end_hour;visits
091b8fd0-a5b1-4c59-acb2-40759e131801;Albacenter;2022-11-07;10:00:00;11:00:00;745.0
091b8fd0-a5b1-4c59-acb2-40759e131801;Albacenter;2022-11-07;11:00:00;12:00:00;870.0
091b8fd0-a5b1-4c59-acb2-40759e131801;Albacenter;2022-11-07;12:00:00;13:00:00;970.0
091b8fd0-a5b1-4c59-acb2-40759e131801;Albacenter;2022-11-07;13:00:00;14:00:00;894.0
091b8fd0-a5b1-4c59-acb2-40759e131801;Albacenter;2022-11-07;14:00:00;15:00:00;920.0
091b8fd0-a5b1-4c59-acb2-40759e131801;Albacenter;2022-11-07;15:00:00;16:00:00;787.0
091b8fd0-a5b1-4c59-acb2-40759e131801;Albacenter;2022-11-07;16:00:00;17:00:00;803.0
091b8fd0-a5b1-4c59-acb2-40759e131801;Albacenter;2022-11-07;17:00:00;18:00:00;909.0
091b8fd0-a5b1-4c59-acb2-40759e131801;Albacenter;2022-11-07;18:00:00;19:00:00;1034.0
091b8fd0-a5b1-4c59-acb2-40759e131801;Albacenter;2022-11-07;19:00:00;20:00:00;1023.0
091b8fd0-a5b1-4c59-acb2-40759e131801;Albacenter;2022-11-07;20:00:00;21:00:00;950.0
091b8fd0-a5b1-4c59-acb2-40759e131801;Albacenter;2022-11-07;21:00:00;22:00:00;810.0
091b8fd0-a5b1-4c59-acb2-40759e131801;Albacenter;2022-11-08;10:00:00;11:00:00;680.0
091b8fd0-a5b1-4c59-acb2-40759e131801;Albacenter;2022-11-08;11:00:00;12:00:00;812.0
091b8fd0-a5b1-4c59-acb2-40759e131801;Albacenter;2022-11-08;12:00:00;13:00:00;902.0
091b8fd0-a5b1-4c59-acb2-40759e131801;Albacenter;2022-11-08;13:00:00;14:00:00;894.0
091b8fd0-a5b1-4c59-acb2-40759e131801;Albacenter;2022-11-08;14:00:00;15:00:00;946.0
091b8fd0-a5b1-4c59-acb2-40759e131801;Albacenter;2022-11-08;15:00:00;16:00:00;862.0
091b8fd0-a5b1-4c59-acb2-40759e131801;Albacenter;2022-11-08;16:00:00;17:00:00;879.0
091b8fd0-a5b1-4c59-acb2-40759e131801;Albacenter;2022-11-08;17:00:00;18:00:00;990.0
091b8fd0-a5b1-4c59-acb2-40759e131801;Albacenter;2022-11-08;18:00:00;19:00:00;1089.0
091b8fd0-a5b1-4c59-acb2-40759e131801;Albacenter;2022-11-08;19:00:00;20:00:00;1074.0
091b8fd0-a5b1-4c59-acb2-40759e131801;Albacenter;2022-11-08;20:00:00;21:00:00;1006.0
091b8fd0-a5b1-4c59-acb2-40759e131801;Albacenter;2022-11-08;21:00:00;22:00:00;891.0
091b8fd0-a5b1-4c59-acb2-40759e131801;Albacenter;2022-11-09;10:00:00;11:00:00;767.0
091b8fd0-a5b1-4c59-acb2-40759e131801;Albacenter;2022-11-09;11:00:00;12:00:00;893.0
091b8fd0-a5b1-4c59-acb2-40759e131801;Albacenter;2022-11-09;12:00:00;13:00:00;906.0
091b8fd0-a5b1-4c59-acb2-40759e131801;Albacenter;2022-11-09;13:00:00;14:00:00;917.0
091b8fd0-a5b1-4c59-acb2-40759e131801;Albacenter;2022-11-09;14:00:00;15:00:00;969.0
