uuid;name;id;pop_14_18;pop_18_25;pop_25_30;pop_30_50;pop_50_70;pop_70_90
091b8fd0-a5b1-4c59-acb2-40759e131801;Albacenter;3;4.65;2.25;7.91;26.32;37.07;21.8
69dda3aa-efa6-4149-9481-3e1260141dc2;Alegra - Parque Comercial y de Ocio;5;2.0;2.92;10.21;33.66;35.96;15.25
91e8cf7c-ece3-4e27-9eed-4a146790bbb7;Almazara Plaza;6;5.22;3.43;7.71;33.11;37.01;13.52
4916aafd-1c0b-4e27-b2b0-61f7755fb4f3;Arena Multiespacio;9;3.29;1.86;6.58;25.16;38.25;24.86
c61e2cc5-ff63-4fe8-aa4a-abf1b1d7be16;As Termas;10;5.39;4.83;6.08;23.09;40.72;19.88
f066cf28-e91c-4ce3-a0e9-e87370fd0445;Castellana 200;11;5.38;7.97;6.77;28.61;35.1;16.18
135cd769-31c8-4240-a5af-adf6a132aaec;Conquistadores;13;7.17;4.36;3.62;24.48;39.73;20.64
0c2639f4-bec1-428e-abad-c95a3a78de58;Coruña The Style Outlets;50;5.13;2.32;7.8;22.99;38.92;22.86
db21a149-6720-4f2d-8cd5-e40df385d04b;El Deleite;57;3.18;1.79;7.79;30.44;35.71;21.09
cbb1f955-6ce2-4dd7-8c26-4bb8d4085418;El Encinar;67;1.79;3.43;10.6;35.99;35.59;12.59
d6e10447-60ed-4a71-a658-ec05fbe6b017;El Parque de Ciudad Real;16;4.87;1.44;8.53;24.07;37.49;23.6
14d4d04b-c417-4149-8146-d791064f5a8f;El Paseo;17;1.34;1.11;6.89;27.01;38.59;25.06
c494f3fd-545f-43dd-90ac-f15444c92879;El Restón;44;1.52;1.54;7.05;32.4;37.02;20.46
7ff3cca7-ed09-4cf6-b3ab-66d27f30939c;El Rosal;18;4.27;1.4;7.77;21.62;37.82;27.12
51cdbe4b-9a08-41e3-9dff-4dce61719a8f;Espacio Coruña;19;2.02;1.54;8.09;24.58;41.75;22.02
1ae1ee31-2236-4b08-ac6d-da75d590ced2;Espacio León;20;8.08;1.66;6.29;19.88;39.15;24.94
44dfcbc9-7df0-4da0-9882-0b07e36ef9d4;FINESTRELLES SHOPPING CENTRE;58;8.9;4.35;9.0;32.67;31.06;14.03
6723e314-b093-4de2-bafa-1775196d1234;Getafe The Style Outlets;45;3.46;4.01;10.34;32.8;34.99;14.4
a9652ebd-80a7-4e3c-9c82-da5a33132fa2;Gran Plaza 2;25;2.68;2.49;9.2;31.87;38.55;15.21
4f86178d-a155-40d0-977b-657954882fed;Gran Vía 2;26;4.45;3.95;11.88;33.73;31.16;14.83
d44960b0-d717-4fa8-a81c-4d6285b8f6b4;Gran Vía de Vigo;27;4.18;3.39;7.26;27.0;40.07;18.11
b345570b-20c8-4b90-b0ed-9ddaabdec93e;GranCasa;24;1.64;2.63;3.62;17.8;39.42;34.9
bf207f85-1735-4979-85d2-289f183bf178;L'Illa Diagonal;2;7.49;4.51;11.76;30.65;33.31;12.29
b2fd26f7-6048-4f10-8eba-5f90879f470e;La Farga;29;3.98;2.77;10.37;29.55;33.19;20.13
b33e9212-926d-45da-9f83-683b27a904b6;Las Rozas The Style Outlets;46;2.86;2.87;7.51;29.48;37.6;19.68
27630773-db74-4220-a055-00237a25da71;Los Alcores;4;4.77;3.12;5.75;29.33;37.27;19.76
67c19fe9-6b90-440c-954c-d6f652cd122a;Luz de Castilla;31;5.4;2.29;7.73;23.52;39.82;21.24
9a893048-055e-43ae-b7ef-1c1165f64320;Madrid Sur;32;5.92;5.95;5.67;30.03;33.26;19.17
ae7e12dd-92d3-4d52-b6c2-fe9184bd8c34;Manoteras;33;1.74;4.57;8.58;29.14;37.44;18.54
39f7933c-5cbc-4d42-908e-6bd88c55c50c;Max Center;34;3.43;2.02;6.99;24.9;40.66;22.01
dcf50bbc-4e24-4495-b240-80a3497e99a4;Moda Shopping;35;5.14;8.78;7.52;29.56;34.75;14.25
e2aef294-794c-4674-9509-6c15225543af;Parque Corredor;101;2.98;3.02;9.34;32.56;34.83;17.27
2560337e-ad93-46bc-a944-73428173bc69;Plaza Loranca 2;63;4.41;2.06;7.97;33.28;34.68;17.6
fe152407-9e68-4ccb-8dcc-0032f6d68c1a;Plaza Mayor;40;3.48;3.77;9.48;28.73;37.7;16.84
a8d2120d-8649-4d03-97dc-e384b935406c;Plaza Moraleja;96;2.13;3.71;10.28;33.77;36.32;13.78
907fe0e5-f500-493f-92bd-3dfc70929688;Plaza Norte 2;41;1.87;3.83;12.22;34.46;34.76;12.86
a292aa57-8504-407d-96f2-783b80fdc527;Plaza Río 2;42;4.52;4.88;10.26;29.5;32.73;18.11
d96a47c5-f5e7-4a23-8d55-f9ff344613f6;Plaza de Aluche;38;4.58;3.29;7.15;26.94;33.44;24.6
ae2b6114-0ded-4bef-b0cb-3c94c6571797;Portal de la Marina;43;8.15;1.76;8.19;22.25;39.02;20.62
4173c481-8f24-413a-a53d-1432d966dddc;San Sebastián de los Reyes The Style Outlets;48;2.31;3.08;10.08;33.33;36.18;15.02
1ae5e620-424c-4dbe-8ec3-6dbd72584b9b;Valle Real;51;4.91;4.66;5.28;22.78;40.5;21.87
c42f0753-e80d-4354-abe3-9e7fe5dd7600;Zubiarte;54;4.67;3.37;7.09;22.78;40.69;21.39
d04597e6-51fd-457d-a302-12e381a71361;Ànecblau;7;3.48;1.83;9.17;31.91;35.49;18.11
c52d5f56-1f93-40dd-a167-d60d9a103807;Área Sur;55;4.15;2.49;8.96;24.5;37.42;22.48
