uuid;id;name;day;start_hour;end_hour;visits
091b8fd0-a5b1-4c59-acb2-40759e131801;3;Albacenter;2022-10-31;10:00:00;11:00:00;771.0
091b8fd0-a5b1-4c59-acb2-40759e131801;3;Albacenter;2022-10-31;11:00:00;12:00:00;957.0
091b8fd0-a5b1-4c59-acb2-40759e131801;3;Albacenter;2022-10-31;12:00:00;13:00:00;1059.0
091b8fd0-a5b1-4c59-acb2-40759e131801;3;Albacenter;2022-10-31;13:00:00;14:00:00;959.0
091b8fd0-a5b1-4c59-acb2-40759e131801;3;Albacenter;2022-10-31;14:00:00;15:00:00;908.0
091b8fd0-a5b1-4c59-acb2-40759e131801;3;Albacenter;2022-10-31;15:00:00;16:00:00;799.0
091b8fd0-a5b1-4c59-acb2-40759e131801;3;Albacenter;2022-10-31;16:00:00;17:00:00;849.0
091b8fd0-a5b1-4c59-acb2-40759e131801;3;Albacenter;2022-10-31;17:00:00;18:00:00;910.0
091b8fd0-a5b1-4c59-acb2-40759e131801;3;Albacenter;2022-10-31;18:00:00;19:00:00;967.0
091b8fd0-a5b1-4c59-acb2-40759e131801;3;Albacenter;2022-10-31;19:00:00;20:00:00;899.0
091b8fd0-a5b1-4c59-acb2-40759e131801;3;Albacenter;2022-10-31;20:00:00;21:00:00;904.0
091b8fd0-a5b1-4c59-acb2-40759e131801;3;Albacenter;2022-10-31;21:00:00;22:00:00;720.0
091b8fd0-a5b1-4c59-acb2-40759e131801;3;Albacenter;2022-11-01;10:00:00;11:00:00;1192.0
091b8fd0-a5b1-4c59-acb2-40759e131801;3;Albacenter;2022-11-01;11:00:00;12:00:00;1166.0
091b8fd0-a5b1-4c59-acb2-40759e131801;3;Albacenter;2022-11-01;12:00:00;13:00:00;1292.0
091b8fd0-a5b1-4c59-acb2-40759e131801;3;Albacenter;2022-11-01;13:00:00;14:00:00;1328.0
091b8fd0-a5b1-4c59-acb2-40759e131801;3;Albacenter;2022-11-01;14:00:00;15:00:00;1416.0
091b8fd0-a5b1-4c59-acb2-40759e131801;3;Albacenter;2022-11-01;15:00:00;16:00:00;1320.0
091b8fd0-a5b1-4c59-acb2-40759e131801;3;Albacenter;2022-11-01;16:00:00;17:00:00;1297.0
091b8fd0-a5b1-4c59-acb2-40759e131801;3;Albacenter;2022-11-01;17:00:00;18:00:00;1393.0
091b8fd0-a5b1-4c59-acb2-40759e131801;3;Albacenter;2022-11-01;18:00:00;19:00:00;1492.0
091b8fd0-a5b1-4c59-acb2-40759e131801;3;Albacenter;2022-11-01;19:00:00;20:00:00;1524.0
091b8fd0-a5b1-4c59-acb2-40759e131801;3;Albacenter;2022-11-01;20:00:00;21:00:00;1499.0
091b8fd0-a5b1-4c59-acb2-40759e131801;3;Albacenter;2022-11-01;21:00:00;22:00:00;1522.0
091b8fd0-a5b1-4c59-acb2-40759e131801;3;Albacenter;2022-11-02;10:00:00;11:00:00;754.0
091b8fd0-a5b1-4c59-acb2-40759e131801;3;Albacenter;2022-11-02;11:00:00;12:00:00;863.0
091b8fd0-a5b1-4c59-acb2-40759e131801;3;Albacenter;2022-11-02;12:00:00;13:00:00;870.0
091b8fd0-a5b1-4c59-acb2-40759e131801;3;Albacenter;2022-11-02;13:00:00;14:00:00;856.0
091b8fd0-a5b1-4c59-acb2-40759e131801;3;Albacenter;2022-11-02;14:00:00;15:00:00;897.0
091b8fd0-a5b1-4c59-acb2-40759e131801;3;Albacenter;2022-11-02;15:00:00;16:00:00;784.0
091b8fd0-a5b1-4c59-acb2-40759e131801;3;Albacenter;2022-11-02;16:00:00;17:00:00;771.0
091b8fd0-a5b1-4c59-acb2-40759e131801;3;Albacenter;2022-11-02;17:00:00;18:00:00;830.0
091b8fd0-a5b1-4c59-acb2-40759e131801;3;Albacenter;2022-11-02;18:00:00;19:00:00;914.0
091b8fd0-a5b1-4c59-acb2-40759e131801;3;Albacenter;2022-11-02;19:00:00;20:00:00;931.0
091b8fd0-a5b1-4c59-acb2-40759e131801;3;Albacenter;2022-11-02;20:00:00;21:00:00;892.0
091b8fd0-a5b1-4c59-acb2-40759e131801;3;Albacenter;2022-11-02;21:00:00;22:00:00;730.0
091b8fd0-a5b1-4c59-acb2-40759e131801;3;Albacenter;2022-11-03;10:00:00;11:00:00;729.0
091b8fd0-a5b1-4c59-acb2-40759e131801;3;Albacenter;2022-11-03;11:00:00;12:00:00;799.0
091b8fd0-a5b1-4c59-acb2-40759e131801;3;Albacenter;2022-11-03;12:00:00;13:00:00;916.0
091b8fd0-a5b1-4c59-acb2-40759e131801;3;Albacenter;2022-11-03;13:00:00;14:00:00;883.0
091b8fd0-a5b1-4c59-acb2-40759e131801;3;Albacenter;2022-11-03;14:00:00;15:00:00;894.0
091b8fd0-a5b1-4c59-acb2-40759e131801;3;Albacenter;2022-11-03;15:00:00;16:00:00;794.0
091b8fd0-a5b1-4c59-acb2-40759e131801;3;Albacenter;2022-11-03;16:00:00;17:00:00;792.0
091b8fd0-a5b1-4c59-acb2-40759e131801;3;Albacenter;2022-11-03;17:00:00;18:00:00;846.0
091b8fd0-a5b1-4c59-acb2-40759e131801;3;Albacenter;2022-11-03;18:00:00;19:00:00;1006.0
091b8fd0-a5b1-4c59-acb2-40759e131801;3;Albacenter;2022-11-03;19:00:00;20:00:00;951.0
091b8fd0-a5b1-4c59-acb2-40759e131801;3;Albacenter;2022-11-03;20:00:00;21:00:00;871.0
091b8fd0-a5b1-4c59-acb2-40759e131801;3;Albacenter;2022-11-03;21:00:00;22:00:00;741.0
091b8fd0-a5b1-4c59-acb2-40759e131801;3;Albacenter;2022-11-04;10:00:00;11:00:00;673.0
091b8fd0-a5b1-4c59-acb2-40759e131801;3;Albacenter;2022-11-04;11:00:00;12:00:00;785.0
091b8fd0-a5b1-4c59-acb2-40759e131801;3;Albacenter;2022-11-04;12:00:00;13:00:00;813.0
091b8fd0-a5b1-4c59-acb2-40759e131801;3;Albacenter;2022-11-04;13:00:00;14:00:00;835.0
091b8fd0-a5b1-4c59-acb2-40759e131801;3;Albacenter;2022-11-04;14:00:00;15:00:00;912.0
091b8fd0-a5b1-4c59-acb2-40759e131801;3;Albacenter;2022-11-04;15:00:00;16:00:00;795.0
091b8fd0-a5b1-4c59-acb2-40759e131801;3;Albacenter;2022-11-04;16:00:00;17:00:00;794.0
