uuid;name;id;p_income_0;p_income_1;p_income_2;p_income_3
091b8fd0-a5b1-4c59-acb2-40759e131801;Albacenter;3;37.4;61.87;0.58;0.14
69dda3aa-efa6-4149-9481-3e1260141dc2;Alegra - Parque Comercial y de Ocio;5;65.42;20.47;11.29;2.83
91e8cf7c-ece3-4e27-9eed-4a146790bbb7;Almazara Plaza;6;95.28;4.54;0.12;0.06
4916aafd-1c0b-4e27-b2b0-61f7755fb4f3;Arena Multiespacio;9;71.66;25.25;3.01;0.08
c61e2cc5-ff63-4fe8-aa4a-abf1b1d7be16;As Termas;10;80.7;18.89;0.29;0.13
f066cf28-e91c-4ce3-a0e9-e87370fd0445;Castellana 200;11;24.84;46.1;9.41;19.65
135cd769-31c8-4240-a5af-adf6a132aaec;Conquistadores;13;63.15;36.57;0.18;0.1
0c2639f4-bec1-428e-abad-c95a3a78de58;Coruña The Style Outlets;50;31.91;64.51;2.28;1.3
b3c672c8-277c-4dd2-8450-802c3daca800;El Arcángel;95;84.63;14.79;0.44;0.14
db21a149-6720-4f2d-8cd5-e40df385d04b;El Deleite;57;77.52;21.11;1.01;0.36
cbb1f955-6ce2-4dd7-8c26-4bb8d4085418;El Encinar;67;24.16;25.52;18.87;31.44
d6e10447-60ed-4a71-a658-ec05fbe6b017;El Parque de Ciudad Real;16;48.84;49.85;0.99;0.31
14d4d04b-c417-4149-8146-d791064f5a8f;El Paseo;17;89.7;10.02;0.17;0.11
c494f3fd-545f-43dd-90ac-f15444c92879;El Restón;44;30.43;67.86;1.26;0.45
7ff3cca7-ed09-4cf6-b3ab-66d27f30939c;El Rosal;18;53.98;45.55;0.37;0.1
51cdbe4b-9a08-41e3-9dff-4dce61719a8f;Espacio Coruña;19;27.6;65.91;3.49;3.01
1ae1ee31-2236-4b08-ac6d-da75d590ced2;Espacio León;20;64.09;35.57;0.25;0.09
44dfcbc9-7df0-4da0-9882-0b07e36ef9d4;FINESTRELLES SHOPPING CENTRE;58;38.8;45.44;8.08;7.67
6723e314-b093-4de2-bafa-1775196d1234;Getafe The Style Outlets;45;66.49;28.86;3.45;1.19
a9652ebd-80a7-4e3c-9c82-da5a33132fa2;Gran Plaza 2;25;20.99;43.2;34.72;1.08
4f86178d-a155-40d0-977b-657954882fed;Gran Vía 2;26;23.05;53.04;21.24;2.67
d44960b0-d717-4fa8-a81c-4d6285b8f6b4;Gran Vía de Vigo;27;55.0;44.74;0.17;0.09
b345570b-20c8-4b90-b0ed-9ddaabdec93e;GranCasa;24;69.07;30.61;0.25;0.07
bf207f85-1735-4979-85d2-289f183bf178;L'Illa Diagonal;2;17.75;42.22;23.88;16.16
b2fd26f7-6048-4f10-8eba-5f90879f470e;La Farga;29;36.14;57.54;4.68;1.65
b33e9212-926d-45da-9f83-683b27a904b6;Las Rozas The Style Outlets;46;23.84;39.77;34.27;2.12
27630773-db74-4220-a055-00237a25da71;Los Alcores;4;90.7;9.04;0.22;0.05
67c19fe9-6b90-440c-954c-d6f652cd122a;Luz de Castilla;31;61.0;34.65;3.13;1.22
9a893048-055e-43ae-b7ef-1c1165f64320;Madrid Sur;32;85.58;10.29;3.28;0.86
ae7e12dd-92d3-4d52-b6c2-fe9184bd8c34;Manoteras;33;19.23;38.32;6.49;35.96
39f7933c-5cbc-4d42-908e-6bd88c55c50c;Max Center;34;15.44;79.89;0.53;4.14
dcf50bbc-4e24-4495-b240-80a3497e99a4;Moda Shopping;35;26.91;47.82;12.96;12.32
d00339ba-c6d2-4830-acd1-b9cbe9b6be22;Nassica - Parque Comercial y de Ocio;60;66.58;29.27;3.09;1.06
e2aef294-794c-4674-9509-6c15225543af;Parque Corredor;101;73.12;22.82;2.87;1.19
2560337e-ad93-46bc-a944-73428173bc69;Plaza Loranca 2;63;70.6;27.37;1.62;0.41
fe152407-9e68-4ccb-8dcc-0032f6d68c1a;Plaza Mayor;40;87.66;11.72;0.48;0.14
a8d2120d-8649-4d03-97dc-e384b935406c;Plaza Moraleja;96;30.76;32.46;25.34;11.44
907fe0e5-f500-493f-92bd-3dfc70929688;Plaza Norte 2;41;42.69;26.33;25.72;5.26
a292aa57-8504-407d-96f2-783b80fdc527;Plaza Río 2;42;59.09;34.47;4.99;1.45
d96a47c5-f5e7-4a23-8d55-f9ff344613f6;Plaza de Aluche;38;81.66;12.27;5.08;0.98
ae2b6114-0ded-4bef-b0cb-3c94c6571797;Portal de la Marina;43;86.49;11.92;1.41;0.17
4173c481-8f24-413a-a53d-1432d966dddc;San Sebastián de los Reyes The Style Outlets;48;59.68;25.44;11.51;3.38
1ae5e620-424c-4dbe-8ec3-6dbd72584b9b;Valle Real;51;66.41;30.09;3.31;0.18
c42f0753-e80d-4354-abe3-9e7fe5dd7600;Zubiarte;54;9.62;71.41;0.96;18.02
d04597e6-51fd-457d-a302-12e381a71361;Ànecblau;7;37.97;40.66;13.83;7.55
c52d5f56-1f93-40dd-a167-d60d9a103807;Área Sur;55;89.03;10.69;0.21;0.07
