uuid;name;id;pop_14_18;pop_18_25;pop_25_30;pop_30_50;pop_50_70;pop_70_90
091b8fd0-a5b1-4c59-acb2-40759e131801;Albacenter;3;4.73;1.82;7.67;25.71;36.66;23.41
69dda3aa-efa6-4149-9481-3e1260141dc2;Alegra - Parque Comercial y de Ocio;5;1.75;2.58;10.84;34.95;34.76;15.12
91e8cf7c-ece3-4e27-9eed-4a146790bbb7;Almazara Plaza;6;5.47;3.43;8.8;36.41;32.94;12.95
4916aafd-1c0b-4e27-b2b0-61f7755fb4f3;Arena Multiespacio;9;2.92;1.98;6.6;26.12;37.87;24.5
c61e2cc5-ff63-4fe8-aa4a-abf1b1d7be16;As Termas;10;5.29;4.59;5.73;22.62;39.73;22.05
f066cf28-e91c-4ce3-a0e9-e87370fd0445;Castellana 200;11;5.7;7.66;7.63;29.83;33.54;15.64
135cd769-31c8-4240-a5af-adf6a132aaec;Conquistadores;13;7.66;4.6;4.09;24.15;40.98;18.52
0c2639f4-bec1-428e-abad-c95a3a78de58;Coruña The Style Outlets;50;2.95;3.48;6.68;22.8;41.73;22.36
db21a149-6720-4f2d-8cd5-e40df385d04b;El Deleite;57;3.71;1.63;7.92;30.44;35.77;20.53
cbb1f955-6ce2-4dd7-8c26-4bb8d4085418;El Encinar;67;1.32;3.69;11.79;37.73;33.57;11.9
d6e10447-60ed-4a71-a658-ec05fbe6b017;El Parque de Ciudad Real;16;4.76;1.55;8.16;23.73;39.43;22.37
14d4d04b-c417-4149-8146-d791064f5a8f;El Paseo;17;1.5;1.19;7.04;26.64;37.43;26.2
c494f3fd-545f-43dd-90ac-f15444c92879;El Restón;44;1.73;1.3;7.99;33.94;35.29;19.75
7ff3cca7-ed09-4cf6-b3ab-66d27f30939c;El Rosal;18;4.46;1.55;7.19;21.05;37.95;27.79
51cdbe4b-9a08-41e3-9dff-4dce61719a8f;Espacio Coruña;19;3.19;1.63;7.68;23.51;41.65;22.33
1ae1ee31-2236-4b08-ac6d-da75d590ced2;Espacio León;20;6.86;1.28;5.76;19.96;39.8;26.34
44dfcbc9-7df0-4da0-9882-0b07e36ef9d4;FINESTRELLES SHOPPING CENTRE;58;7.94;6.19;9.53;32.64;30.84;12.87
6723e314-b093-4de2-bafa-1775196d1234;Getafe The Style Outlets;45;3.86;3.79;10.28;33.46;34.03;14.58
a9652ebd-80a7-4e3c-9c82-da5a33132fa2;Gran Plaza 2;25;3.01;2.51;9.05;32.38;37.23;15.81
4f86178d-a155-40d0-977b-657954882fed;Gran Vía 2;26;4.51;4.05;11.74;33.96;31.36;14.38
d44960b0-d717-4fa8-a81c-4d6285b8f6b4;Gran Vía de Vigo;27;3.99;3.99;7.24;26.57;39.22;19.0
b345570b-20c8-4b90-b0ed-9ddaabdec93e;GranCasa;24;1.28;3.28;3.59;18.37;37.83;35.65
bf207f85-1735-4979-85d2-289f183bf178;L'Illa Diagonal;2;6.72;4.59;11.91;30.99;33.29;12.5
b2fd26f7-6048-4f10-8eba-5f90879f470e;La Farga;29;3.31;3.39;10.77;29.68;32.1;20.76
b33e9212-926d-45da-9f83-683b27a904b6;Las Rozas The Style Outlets;46;2.81;2.94;8.83;29.12;37.28;19.01
27630773-db74-4220-a055-00237a25da71;Los Alcores;4;4.14;4.0;5.26;29.45;36.37;20.78
67c19fe9-6b90-440c-954c-d6f652cd122a;Luz de Castilla;31;5.84;2.72;7.15;23.08;38.78;22.42
9a893048-055e-43ae-b7ef-1c1165f64320;Madrid Sur;32;5.42;6.06;6.04;31.18;32.31;18.99
ae7e12dd-92d3-4d52-b6c2-fe9184bd8c34;Manoteras;33;1.58;4.07;9.25;29.72;36.44;18.94
39f7933c-5cbc-4d42-908e-6bd88c55c50c;Max Center;34;3.54;1.74;6.88;24.02;39.96;23.85
dcf50bbc-4e24-4495-b240-80a3497e99a4;Moda Shopping;35;5.92;8.38;7.85;30.31;33.51;14.02
e2aef294-794c-4674-9509-6c15225543af;Parque Corredor;101;4.15;3.28;9.17;33.06;33.99;16.35
2560337e-ad93-46bc-a944-73428173bc69;Plaza Loranca 2;63;4.36;2.56;8.75;33.66;34.06;16.62
fe152407-9e68-4ccb-8dcc-0032f6d68c1a;Plaza Mayor;40;3.49;3.7;9.25;29.35;37.09;17.13
a8d2120d-8649-4d03-97dc-e384b935406c;Plaza Moraleja;96;2.91;3.82;11.14;32.85;35.89;13.4
907fe0e5-f500-493f-92bd-3dfc70929688;Plaza Norte 2;41;2.29;3.58;12.25;35.09;33.37;13.42
a292aa57-8504-407d-96f2-783b80fdc527;Plaza Río 2;42;4.59;5.18;10.45;30.11;32.18;17.49
d96a47c5-f5e7-4a23-8d55-f9ff344613f6;Plaza de Aluche;38;4.66;3.76;7.26;26.81;32.51;25.0
ae2b6114-0ded-4bef-b0cb-3c94c6571797;Portal de la Marina;43;8.65;1.73;7.7;23.07;37.77;21.08
4173c481-8f24-413a-a53d-1432d966dddc;San Sebastián de los Reyes The Style Outlets;48;2.17;2.77;10.74;34.39;35.0;14.93
1ae5e620-424c-4dbe-8ec3-6dbd72584b9b;Valle Real;51;4.52;3.33;5.32;23.26;40.19;23.39
c42f0753-e80d-4354-abe3-9e7fe5dd7600;Zubiarte;54;4.67;3.09;7.17;23.24;39.35;22.47
d04597e6-51fd-457d-a302-12e381a71361;Ànecblau;7;5.09;1.72;9.71;30.69;34.34;18.45
c52d5f56-1f93-40dd-a167-d60d9a103807;Área Sur;55;3.75;2.16;9.76;24.74;36.42;23.17
