uuid;name;id;p_income_0;p_income_1;p_income_2;p_income_3
091b8fd0-a5b1-4c59-acb2-40759e131801;Albacenter;3;40.44;58.54;0.81;0.21
69dda3aa-efa6-4149-9481-3e1260141dc2;Alegra - Parque Comercial y de Ocio;5;62.85;22.92;10.96;3.27
91e8cf7c-ece3-4e27-9eed-4a146790bbb7;Almazara Plaza;6;93.15;6.24;0.48;0.13
4916aafd-1c0b-4e27-b2b0-61f7755fb4f3;Arena Multiespacio;9;72.29;24.85;2.7;0.15
c61e2cc5-ff63-4fe8-aa4a-abf1b1d7be16;As Termas;10;80.53;19.03;0.3;0.14
f066cf28-e91c-4ce3-a0e9-e87370fd0445;Castellana 200;11;24.84;47.11;7.81;20.24
135cd769-31c8-4240-a5af-adf6a132aaec;Conquistadores;13;62.95;36.43;0.51;0.11
0c2639f4-bec1-428e-abad-c95a3a78de58;Coruña The Style Outlets;50;33.34;62.77;2.41;1.47
b3c672c8-277c-4dd2-8450-802c3daca800;El Arcángel;95;85.49;13.63;0.65;0.24
db21a149-6720-4f2d-8cd5-e40df385d04b;El Deleite;57;81.83;16.7;1.09;0.38
cbb1f955-6ce2-4dd7-8c26-4bb8d4085418;El Encinar;67;23.69;24.63;18.12;33.56
d6e10447-60ed-4a71-a658-ec05fbe6b017;El Parque de Ciudad Real;16;50.77;47.79;1.09;0.35
14d4d04b-c417-4149-8146-d791064f5a8f;El Paseo;17;89.37;9.99;0.5;0.15
c494f3fd-545f-43dd-90ac-f15444c92879;El Restón;44;32.35;66.3;1.1;0.25
7ff3cca7-ed09-4cf6-b3ab-66d27f30939c;El Rosal;18;53.39;45.61;0.75;0.25
51cdbe4b-9a08-41e3-9dff-4dce61719a8f;Espacio Coruña;19;26.75;67.85;3.06;2.34
1ae1ee31-2236-4b08-ac6d-da75d590ced2;Espacio León;20;64.55;34.73;0.53;0.19
44dfcbc9-7df0-4da0-9882-0b07e36ef9d4;FINESTRELLES SHOPPING CENTRE;58;42.91;43.53;6.96;6.6
6723e314-b093-4de2-bafa-1775196d1234;Getafe The Style Outlets;45;68.55;27.32;3.04;1.1
a9652ebd-80a7-4e3c-9c82-da5a33132fa2;Gran Plaza 2;25;24.74;43.82;30.53;0.91
4f86178d-a155-40d0-977b-657954882fed;Gran Vía 2;26;24.68;52.47;20.76;2.1
d44960b0-d717-4fa8-a81c-4d6285b8f6b4;Gran Vía de Vigo;27;56.31;42.97;0.48;0.24
b345570b-20c8-4b90-b0ed-9ddaabdec93e;GranCasa;24;71.01;28.48;0.36;0.14
bf207f85-1735-4979-85d2-289f183bf178;L'Illa Diagonal;2;17.62;42.56;23.79;16.03
b2fd26f7-6048-4f10-8eba-5f90879f470e;La Farga;29;41.48;53.24;3.95;1.34
b33e9212-926d-45da-9f83-683b27a904b6;Las Rozas The Style Outlets;46;29.76;39.18;29.37;1.69
27630773-db74-4220-a055-00237a25da71;Los Alcores;4;91.28;8.41;0.27;0.05
67c19fe9-6b90-440c-954c-d6f652cd122a;Luz de Castilla;31;61.64;33.75;3.42;1.19
9a893048-055e-43ae-b7ef-1c1165f64320;Madrid Sur;32;87.4;9.46;2.5;0.64
ae7e12dd-92d3-4d52-b6c2-fe9184bd8c34;Manoteras;33;18.56;36.55;5.15;39.74
39f7933c-5cbc-4d42-908e-6bd88c55c50c;Max Center;34;17.11;78.63;0.74;3.52
dcf50bbc-4e24-4495-b240-80a3497e99a4;Moda Shopping;35;26.27;50.36;10.63;12.74
e2aef294-794c-4674-9509-6c15225543af;Parque Corredor;101;71.35;25.1;2.59;0.96
2560337e-ad93-46bc-a944-73428173bc69;Plaza Loranca 2;63;69.94;28.62;1.16;0.29
fe152407-9e68-4ccb-8dcc-0032f6d68c1a;Plaza Mayor;40;87.2;11.96;0.66;0.18
a8d2120d-8649-4d03-97dc-e384b935406c;Plaza Moraleja;96;32.37;31.93;23.9;11.79
907fe0e5-f500-493f-92bd-3dfc70929688;Plaza Norte 2;41;43.37;29.09;22.11;5.43
a292aa57-8504-407d-96f2-783b80fdc527;Plaza Río 2;42;59.66;34.58;4.43;1.32
d96a47c5-f5e7-4a23-8d55-f9ff344613f6;Plaza de Aluche;38;83.76;11.13;4.43;0.69
ae2b6114-0ded-4bef-b0cb-3c94c6571797;Portal de la Marina;43;86.05;12.33;1.43;0.19
4173c481-8f24-413a-a53d-1432d966dddc;San Sebastián de los Reyes The Style Outlets;48;56.61;28.02;11.4;3.97
1ae5e620-424c-4dbe-8ec3-6dbd72584b9b;Valle Real;51;64.26;32.23;3.18;0.32
c42f0753-e80d-4354-abe3-9e7fe5dd7600;Zubiarte;54;10.54;71.7;0.99;16.77
d04597e6-51fd-457d-a302-12e381a71361;Ànecblau;7;40.73;38.57;14.2;6.5
c52d5f56-1f93-40dd-a167-d60d9a103807;Área Sur;55;88.46;10.98;0.46;0.1
