uuid;name;id;pop_14_18;pop_18_25;pop_25_30;pop_30_50;pop_50_70;pop_70_90
091b8fd0-a5b1-4c59-acb2-40759e131801;Albacenter;3;11.21;1.19;13.32;33.73;21.82;18.72
69dda3aa-efa6-4149-9481-3e1260141dc2;Alegra - Parque Comercial y de Ocio;5;6.76;1.33;15.3;43.15;19.5;13.96
91e8cf7c-ece3-4e27-9eed-4a146790bbb7;Almazara Plaza;6;14.74;1.64;11.39;26.88;20.23;25.12
4916aafd-1c0b-4e27-b2b0-61f7755fb4f3;Arena Multiespacio;9;15.83;0.71;11.75;33.74;19.8;18.17
c61e2cc5-ff63-4fe8-aa4a-abf1b1d7be16;As Termas;10;10.91;1.04;12.87;30.32;24.99;19.88
f066cf28-e91c-4ce3-a0e9-e87370fd0445;Castellana 200;11;14.24;8.09;8.34;31.95;21.54;15.84
135cd769-31c8-4240-a5af-adf6a132aaec;Conquistadores;13;15.38;1.95;11.76;31.83;24.54;14.53
0c2639f4-bec1-428e-abad-c95a3a78de58;Coruña The Style Outlets;50;10.81;0.28;11.56;38.17;21.2;17.97
b3c672c8-277c-4dd2-8450-802c3daca800;El Arcángel;95;11.18;0.96;11.17;31.63;27.33;17.73
db21a149-6720-4f2d-8cd5-e40df385d04b;El Deleite;57;17.22;1.41;9.87;33.08;15.03;23.38
cbb1f955-6ce2-4dd7-8c26-4bb8d4085418;El Encinar;67;7.82;1.44;15.98;43.55;19.42;11.78
d6e10447-60ed-4a71-a658-ec05fbe6b017;El Parque de Ciudad Real;16;12.82;1.97;11.95;25.79;26.46;21.02
14d4d04b-c417-4149-8146-d791064f5a8f;El Paseo;17;8.86;0.84;11.88;37.21;20.64;20.57
c494f3fd-545f-43dd-90ac-f15444c92879;El Restón;44;2.96;0.73;13.85;50.42;17.33;14.71
7ff3cca7-ed09-4cf6-b3ab-66d27f30939c;El Rosal;18;13.57;1.48;9.87;19.61;35.67;19.8
51cdbe4b-9a08-41e3-9dff-4dce61719a8f;Espacio Coruña;19;11.54;0.25;12.36;34.96;21.78;19.1
1ae1ee31-2236-4b08-ac6d-da75d590ced2;Espacio León;20;10.26;0.69;11.66;28.06;28.73;20.61
44dfcbc9-7df0-4da0-9882-0b07e36ef9d4;FINESTRELLES SHOPPING CENTRE;58;16.52;2.25;12.63;35.68;17.07;15.85
6723e314-b093-4de2-bafa-1775196d1234;Getafe The Style Outlets;45;9.66;1.89;15.34;38.66;19.85;14.6
a9652ebd-80a7-4e3c-9c82-da5a33132fa2;Gran Plaza 2;25;11.24;1.34;12.72;41.46;19.31;13.92
4f86178d-a155-40d0-977b-657954882fed;Gran Vía 2;26;18.13;2.95;14.27;34.12;16.26;14.27
d44960b0-d717-4fa8-a81c-4d6285b8f6b4;Gran Vía de Vigo;27;11.63;0.22;10.89;33.98;23.28;20.0
b345570b-20c8-4b90-b0ed-9ddaabdec93e;GranCasa;24;12.98;1.18;8.66;34.04;23.88;19.26
bf207f85-1735-4979-85d2-289f183bf178;L'Illa Diagonal;2;16.47;4.73;11.18;32.16;19.44;16.02
b2fd26f7-6048-4f10-8eba-5f90879f470e;La Farga;29;18.39;1.34;13.79;33.73;15.35;17.39
b33e9212-926d-45da-9f83-683b27a904b6;Las Rozas The Style Outlets;46;10.36;1.7;11.99;38.81;21.31;15.82
27630773-db74-4220-a055-00237a25da71;Los Alcores;4;9.21;0.71;12.69;39.8;20.15;17.44
67c19fe9-6b90-440c-954c-d6f652cd122a;Luz de Castilla;31;9.45;1.92;8.81;22.71;24.18;32.92
