uuid;name;id;pop_14_18;pop_18_25;pop_25_30;pop_30_50;pop_50_70;pop_70_90
091b8fd0-a5b1-4c59-acb2-40759e131801;Albacenter;3;9.48;3.77;12.29;36.33;22.69;15.45
69dda3aa-efa6-4149-9481-3e1260141dc2;Alegra - Parque Comercial y de Ocio;5;5.74;3.83;13.98;43.47;20.45;12.53
91e8cf7c-ece3-4e27-9eed-4a146790bbb7;Almazara Plaza;6;13.9;4.86;10.55;30.6;20.05;20.03
4916aafd-1c0b-4e27-b2b0-61f7755fb4f3;Arena Multiespacio;9;13.42;3.18;11.99;35.47;20.76;15.18
c61e2cc5-ff63-4fe8-aa4a-abf1b1d7be16;As Termas;10;11.38;2.72;11.95;30.56;24.67;18.71
f066cf28-e91c-4ce3-a0e9-e87370fd0445;Castellana 200;11;12.16;10.35;8.7;32.96;22.33;13.51
135cd769-31c8-4240-a5af-adf6a132aaec;Conquistadores;13;12.79;4.31;11.26;32.93;25.61;13.1
0c2639f4-bec1-428e-abad-c95a3a78de58;Coruña The Style Outlets;50;9.5;1.85;11.37;38.53;20.64;18.11
b3c672c8-277c-4dd2-8450-802c3daca800;El Arcángel;95;11.78;3.74;11.15;31.91;26.09;15.33
db21a149-6720-4f2d-8cd5-e40df385d04b;El Deleite;57;11.2;4.42;10.53;35.7;18.52;19.63
cbb1f955-6ce2-4dd7-8c26-4bb8d4085418;El Encinar;67;7.83;4.26;14.96;41.13;21.28;10.54
d6e10447-60ed-4a71-a658-ec05fbe6b017;El Parque de Ciudad Real;16;12.22;4.15;10.26;29.94;26.33;17.1
14d4d04b-c417-4149-8146-d791064f5a8f;El Paseo;17;6.48;3.69;11.6;37.5;21.13;19.6
c494f3fd-545f-43dd-90ac-f15444c92879;El Restón;44;2.32;3.77;12.47;51.01;17.96;12.47
7ff3cca7-ed09-4cf6-b3ab-66d27f30939c;El Rosal;18;12.69;3.4;9.48;23.98;30.76;19.69
51cdbe4b-9a08-41e3-9dff-4dce61719a8f;Espacio Coruña;19;10.61;1.85;11.86;34.82;22.18;18.69
1ae1ee31-2236-4b08-ac6d-da75d590ced2;Espacio León;20;9.89;2.76;11.21;29.46;27.86;18.82
44dfcbc9-7df0-4da0-9882-0b07e36ef9d4;FINESTRELLES SHOPPING CENTRE;58;13.82;5.48;12.22;35.87;18.6;13.99
6723e314-b093-4de2-bafa-1775196d1234;Getafe The Style Outlets;45;8.53;4.24;14.71;39.69;20.11;12.72
a9652ebd-80a7-4e3c-9c82-da5a33132fa2;Gran Plaza 2;25;9.18;4.04;12.82;41.41;20.3;12.25
4f86178d-a155-40d0-977b-657954882fed;Gran Vía 2;26;14.68;5.78;13.49;35.31;17.62;13.12
d44960b0-d717-4fa8-a81c-4d6285b8f6b4;Gran Vía de Vigo;27;11.98;2.2;10.37;34.75;22.9;17.8
b345570b-20c8-4b90-b0ed-9ddaabdec93e;GranCasa;24;10.79;3.72;9.25;34.02;26.0;16.21
bf207f85-1735-4979-85d2-289f183bf178;L'Illa Diagonal;2;13.15;7.54;10.9;33.43;20.75;14.22
b2fd26f7-6048-4f10-8eba-5f90879f470e;La Farga;29;15.04;4.78;12.18;33.95;17.72;16.34
96ebc324-97d7-4c0c-9122-c873141fc16a;La Villa 2;61;13.09;3.83;11.29;36.37;22.21;13.22
b33e9212-926d-45da-9f83-683b27a904b6;Las Rozas The Style Outlets;46;8.44;3.81;11.99;39.01;22.13;14.63
27630773-db74-4220-a055-00237a25da71;Los Alcores;4;7.11;3.72;12.92;41.1;19.79;15.36
67c19fe9-6b90-440c-954c-d6f652cd122a;Luz de Castilla;31;9.1;4.24;8.51;26.19;24.49;27.48
9a893048-055e-43ae-b7ef-1c1165f64320;Madrid Sur;32;13.32;11.67;6.31;31.35;24.41;12.94
ae7e12dd-92d3-4d52-b6c2-fe9184bd8c34;Manoteras;33;7.11;4.5;12.35;37.09;22.88;16.06
39f7933c-5cbc-4d42-908e-6bd88c55c50c;Max Center;34;7.63;2.21;11.35;29.79;30.12;18.89
d00339ba-c6d2-4830-acd1-b9cbe9b6be22;Nassica - Parque Comercial y de Ocio;60;7.96;4.56;14.68;40.51;20.0;12.29
e2aef294-794c-4674-9509-6c15225543af;Parque Corredor;101;13.51;3.88;14.26;39.25;18.0;11.1
2560337e-ad93-46bc-a944-73428173bc69;Plaza Loranca 2;63;13.29;3.19;13.05;36.38;24.29;9.8
fe152407-9e68-4ccb-8dcc-0032f6d68c1a;Plaza Mayor;40;10.76;3.99;13.36;38.04;21.86;12.0
a8d2120d-8649-4d03-97dc-e384b935406c;Plaza Moraleja;96;9.47;5.04;13.52;39.46;20.83;11.68
907fe0e5-f500-493f-92bd-3dfc70929688;Plaza Norte 2;41;10.65;4.2;14.78;40.38;18.87;11.12
a292aa57-8504-407d-96f2-783b80fdc527;Plaza Río 2;42;15.07;5.27;13.87;33.06;19.74;12.99
d96a47c5-f5e7-4a23-8d55-f9ff344613f6;Plaza de Aluche;38;13.38;4.31;11.71;33.32;19.44;17.83
ae2b6114-0ded-4bef-b0cb-3c94c6571797;Portal de la Marina;43;11.78;3.58;11.41;33.26;24.7;15.27
4173c481-8f24-413a-a53d-1432d966dddc;San Sebastián de los Reyes The Style Outlets;48;6.5;4.1;13.69;42.07;21.1;12.54
1ae5e620-424c-4dbe-8ec3-6dbd72584b9b;Valle Real;51;12.39;2.51;10.9;33.83;26.12;14.25
c42f0753-e80d-4354-abe3-9e7fe5dd7600;Zubiarte;54;12.42;2.1;11.83;23.05;31.97;18.63
d04597e6-51fd-457d-a302-12e381a71361;Ànecblau;7;11.54;3.64;12.59;41.15;17.25;13.83
c52d5f56-1f93-40dd-a167-d60d9a103807;Área Sur;55;13.02;3.48;11.68;32.59;24.26;14.97
