uuid;name;id;low;medium_low;medium;medium_high;high
091b8fd0-a5b1-4c59-acb2-40759e131801;Albacenter;3;0.38;3.34;41.83;52.58;1.87
69dda3aa-efa6-4149-9481-3e1260141dc2;Alegra - Parque Comercial y de Ocio;5;0.04;1.88;64.85;14.85;18.38
91e8cf7c-ece3-4e27-9eed-4a146790bbb7;Almazara Plaza;6;2.28;51.41;41.72;3.24;1.36
4916aafd-1c0b-4e27-b2b0-61f7755fb4f3;Arena Multiespacio;9;29.99;1.09;45.02;19.91;3.99
c61e2cc5-ff63-4fe8-aa4a-abf1b1d7be16;As Termas;10;0.01;0.25;82.47;3.04;14.23
f066cf28-e91c-4ce3-a0e9-e87370fd0445;Castellana 200;11;0.11;3.3;23.41;38.65;34.52
135cd769-31c8-4240-a5af-adf6a132aaec;Conquistadores;13;3.87;33.21;42.67;16.1;4.15
0c2639f4-bec1-428e-abad-c95a3a78de58;Coruña The Style Outlets;50;0.02;0.27;37.02;54.19;8.51
b3c672c8-277c-4dd2-8450-802c3daca800;El Arcángel;95;13.38;6.14;75.69;3.8;0.98
db21a149-6720-4f2d-8cd5-e40df385d04b;El Deleite;57;0.33;4.67;80.86;9.41;4.73
cbb1f955-6ce2-4dd7-8c26-4bb8d4085418;El Encinar;67;0.06;2.68;23.67;16.82;56.77
d6e10447-60ed-4a71-a658-ec05fbe6b017;El Parque de Ciudad Real;16;0.34;6.02;47.86;34.91;10.87
14d4d04b-c417-4149-8146-d791064f5a8f;El Paseo;17;0.73;61.19;26.03;4.28;7.76
c494f3fd-545f-43dd-90ac-f15444c92879;El Restón;44;0.09;2.36;89.84;4.88;2.83
7ff3cca7-ed09-4cf6-b3ab-66d27f30939c;El Rosal;18;0.04;0.54;56.85;40.46;2.11
51cdbe4b-9a08-41e3-9dff-4dce61719a8f;Espacio Coruña;19;0.03;0.36;37.54;49.34;12.74
1ae1ee31-2236-4b08-ac6d-da75d590ced2;Espacio León;20;0.03;0.23;80.25;15.65;3.83
44dfcbc9-7df0-4da0-9882-0b07e36ef9d4;FINESTRELLES SHOPPING CENTRE;58;0.06;0.53;46.93;30.98;21.51
6723e314-b093-4de2-bafa-1775196d1234;Getafe The Style Outlets;45;0.3;5.92;70.22;15.8;7.75
a9652ebd-80a7-4e3c-9c82-da5a33132fa2;Gran Plaza 2;25;0.07;2.71;28.86;20.78;47.58
4f86178d-a155-40d0-977b-657954882fed;Gran Vía 2;26;0.09;0.54;27.09;44.24;28.04
d44960b0-d717-4fa8-a81c-4d6285b8f6b4;Gran Vía de Vigo;27;0.01;0.38;60.05;28.36;11.19
b345570b-20c8-4b90-b0ed-9ddaabdec93e;GranCasa;24;0.04;0.36;76.22;15.65;7.73
bf207f85-1735-4979-85d2-289f183bf178;L'Illa Diagonal;2;0.04;0.5;21.99;31.85;45.63
b2fd26f7-6048-4f10-8eba-5f90879f470e;La Farga;29;0.07;0.53;38.35;52.21;8.84
96ebc324-97d7-4c0c-9122-c873141fc16a;La Villa 2;61;0.05;17.52;73.51;8.04;0.87
b33e9212-926d-45da-9f83-683b27a904b6;Las Rozas The Style Outlets;46;0.12;2.98;34.5;22.04;40.35
27630773-db74-4220-a055-00237a25da71;Los Alcores;4;1.5;12.6;80.11;4.19;1.6
67c19fe9-6b90-440c-954c-d6f652cd122a;Luz de Castilla;31;0.13;1.43;66.02;22.43;10.0
9a893048-055e-43ae-b7ef-1c1165f64320;Madrid Sur;32;0.04;60.79;25.49;7.68;6.0
ae7e12dd-92d3-4d52-b6c2-fe9184bd8c34;Manoteras;33;0.08;2.75;18.75;32.28;46.15
39f7933c-5cbc-4d42-908e-6bd88c55c50c;Max Center;34;0.03;0.32;31.49;60.07;8.09
d00339ba-c6d2-4830-acd1-b9cbe9b6be22;Nassica - Parque Comercial y de Ocio;60;0.33;5.7;71.87;15.07;7.04
e2aef294-794c-4674-9509-6c15225543af;Parque Corredor;101;0.13;3.55;74.33;13.27;8.71
2560337e-ad93-46bc-a944-73428173bc69;Plaza Loranca 2;63;0.04;4.16;68.07;23.86;3.88
fe152407-9e68-4ccb-8dcc-0032f6d68c1a;Plaza Mayor;40;0.79;12.61;74.13;4.39;8.08
a8d2120d-8649-4d03-97dc-e384b935406c;Plaza Moraleja;96;0.08;3.02;31.55;24.94;40.41
907fe0e5-f500-493f-92bd-3dfc70929688;Plaza Norte 2;41;0.1;2.06;43.05;18.67;36.12
a292aa57-8504-407d-96f2-783b80fdc527;Plaza Río 2;42;0.12;5.07;55.62;29.38;9.8
d96a47c5-f5e7-4a23-8d55-f9ff344613f6;Plaza de Aluche;38;0.03;3.62;80.3;7.94;8.1
ae2b6114-0ded-4bef-b0cb-3c94c6571797;Portal de la Marina;43;1.2;5.57;78.48;9.62;5.13
4173c481-8f24-413a-a53d-1432d966dddc;San Sebastián de los Reyes The Style Outlets;48;0.06;2.25;59.82;18.24;19.62
1ae5e620-424c-4dbe-8ec3-6dbd72584b9b;Valle Real;51;0.05;0.57;75.07;18.86;5.44
c42f0753-e80d-4354-abe3-9e7fe5dd7600;Zubiarte;54;0.06;0.46;19.58;58.83;21.07
d04597e6-51fd-457d-a302-12e381a71361;Ànecblau;7;0.07;0.39;50.41;18.22;30.91
c52d5f56-1f93-40dd-a167-d60d9a103807;Área Sur;55;2.28;42.27;44.96;3.95;6.55
