uuid;id;name;day;start_hour;end_hour;visits
091b8fd0-a5b1-4c59-acb2-40759e131801;3;Albacenter;2023-07-18;10:00:00;11:00:00;882
091b8fd0-a5b1-4c59-acb2-40759e131801;3;Albacenter;2023-07-18;11:00:00;12:00:00;993
091b8fd0-a5b1-4c59-acb2-40759e131801;3;Albacenter;2023-07-18;12:00:00;13:00:00;1087
091b8fd0-a5b1-4c59-acb2-40759e131801;3;Albacenter;2023-07-18;13:00:00;14:00:00;1058
091b8fd0-a5b1-4c59-acb2-40759e131801;3;Albacenter;2023-07-18;14:00:00;15:00:00;1004
091b8fd0-a5b1-4c59-acb2-40759e131801;3;Albacenter;2023-07-18;15:00:00;16:00:00;1059
091b8fd0-a5b1-4c59-acb2-40759e131801;3;Albacenter;2023-07-18;16:00:00;17:00:00;1054
091b8fd0-a5b1-4c59-acb2-40759e131801;3;Albacenter;2023-07-18;17:00:00;18:00:00;1034
091b8fd0-a5b1-4c59-acb2-40759e131801;3;Albacenter;2023-07-18;18:00:00;19:00:00;1191
091b8fd0-a5b1-4c59-acb2-40759e131801;3;Albacenter;2023-07-18;19:00:00;20:00:00;1292
091b8fd0-a5b1-4c59-acb2-40759e131801;3;Albacenter;2023-07-18;20:00:00;21:00:00;1448
091b8fd0-a5b1-4c59-acb2-40759e131801;3;Albacenter;2023-07-18;21:00:00;22:00:00;1195
091b8fd0-a5b1-4c59-acb2-40759e131801;3;Albacenter;2023-07-19;10:00:00;11:00:00;954
091b8fd0-a5b1-4c59-acb2-40759e131801;3;Albacenter;2023-07-19;11:00:00;12:00:00;1053
091b8fd0-a5b1-4c59-acb2-40759e131801;3;Albacenter;2023-07-19;12:00:00;13:00:00;1238
091b8fd0-a5b1-4c59-acb2-40759e131801;3;Albacenter;2023-07-19;13:00:00;14:00:00;1268
091b8fd0-a5b1-4c59-acb2-40759e131801;3;Albacenter;2023-07-19;14:00:00;15:00:00;1205
091b8fd0-a5b1-4c59-acb2-40759e131801;3;Albacenter;2023-07-19;15:00:00;16:00:00;1064
091b8fd0-a5b1-4c59-acb2-40759e131801;3;Albacenter;2023-07-19;16:00:00;17:00:00;1064
091b8fd0-a5b1-4c59-acb2-40759e131801;3;Albacenter;2023-07-19;17:00:00;18:00:00;963
091b8fd0-a5b1-4c59-acb2-40759e131801;3;Albacenter;2023-07-19;18:00:00;19:00:00;1068
091b8fd0-a5b1-4c59-acb2-40759e131801;3;Albacenter;2023-07-19;19:00:00;20:00:00;1207
091b8fd0-a5b1-4c59-acb2-40759e131801;3;Albacenter;2023-07-19;20:00:00;21:00:00;1190
091b8fd0-a5b1-4c59-acb2-40759e131801;3;Albacenter;2023-07-19;21:00:00;22:00:00;1090
091b8fd0-a5b1-4c59-acb2-40759e131801;3;Albacenter;2023-07-20;10:00:00;11:00:00;865
091b8fd0-a5b1-4c59-acb2-40759e131801;3;Albacenter;2023-07-20;11:00:00;12:00:00;1022
091b8fd0-a5b1-4c59-acb2-40759e131801;3;Albacenter;2023-07-20;12:00:00;13:00:00;1198
091b8fd0-a5b1-4c59-acb2-40759e131801;3;Albacenter;2023-07-20;13:00:00;14:00:00;1155
091b8fd0-a5b1-4c59-acb2-40759e131801;3;Albacenter;2023-07-20;14:00:00;15:00:00;1066
091b8fd0-a5b1-4c59-acb2-40759e131801;3;Albacenter;2023-07-20;15:00:00;16:00:00;1057
091b8fd0-a5b1-4c59-acb2-40759e131801;3;Albacenter;2023-07-20;16:00:00;17:00:00;988
091b8fd0-a5b1-4c59-acb2-40759e131801;3;Albacenter;2023-07-20;17:00:00;18:00:00;1048
091b8fd0-a5b1-4c59-acb2-40759e131801;3;Albacenter;2023-07-20;18:00:00;19:00:00;1190
091b8fd0-a5b1-4c59-acb2-40759e131801;3;Albacenter;2023-07-20;19:00:00;20:00:00;1133
091b8fd0-a5b1-4c59-acb2-40759e131801;3;Albacenter;2023-07-20;20:00:00;21:00:00;1182
091b8fd0-a5b1-4c59-acb2-40759e131801;3;Albacenter;2023-07-20;21:00:00;22:00:00;1068
091b8fd0-a5b1-4c59-acb2-40759e131801;3;Albacenter;2023-07-21;10:00:00;11:00:00;899
091b8fd0-a5b1-4c59-acb2-40759e131801;3;Albacenter;2023-07-21;11:00:00;12:00:00;1020
091b8fd0-a5b1-4c59-acb2-40759e131801;3;Albacenter;2023-07-21;12:00:00;13:00:00;1214
091b8fd0-a5b1-4c59-acb2-40759e131801;3;Albacenter;2023-07-21;13:00:00;14:00:00;1215
091b8fd0-a5b1-4c59-acb2-40759e131801;3;Albacenter;2023-07-21;14:00:00;15:00:00;1117
091b8fd0-a5b1-4c59-acb2-40759e131801;3;Albacenter;2023-07-21;15:00:00;16:00:00;1121
091b8fd0-a5b1-4c59-acb2-40759e131801;3;Albacenter;2023-07-21;16:00:00;17:00:00;995
091b8fd0-a5b1-4c59-acb2-40759e131801;3;Albacenter;2023-07-21;17:00:00;18:00:00;1039
091b8fd0-a5b1-4c59-acb2-40759e131801;3;Albacenter;2023-07-21;18:00:00;19:00:00;1095
091b8fd0-a5b1-4c59-acb2-40759e131801;3;Albacenter;2023-07-21;19:00:00;20:00:00;1222
091b8fd0-a5b1-4c59-acb2-40759e131801;3;Albacenter;2023-07-21;20:00:00;21:00:00;1257
091b8fd0-a5b1-4c59-acb2-40759e131801;3;Albacenter;2023-07-21;21:00:00;22:00:00;1059
091b8fd0-a5b1-4c59-acb2-40759e131801;3;Albacenter;2023-07-22;10:00:00;11:00:00;857
091b8fd0-a5b1-4c59-acb2-40759e131801;3;Albacenter;2023-07-22;11:00:00;12:00:00;1034
091b8fd0-a5b1-4c59-acb2-40759e131801;3;Albacenter;2023-07-22;12:00:00;13:00:00;1274
091b8fd0-a5b1-4c59-acb2-40759e131801;3;Albacenter;2023-07-22;13:00:00;14:00:00;1217
091b8fd0-a5b1-4c59-acb2-40759e131801;3;Albacenter;2023-07-22;14:00:00;15:00:00;1068
091b8fd0-a5b1-4c59-acb2-40759e131801;3;Albacenter;2023-07-22;15:00:00;16:00:00;997
091b8fd0-a5b1-4c59-acb2-40759e131801;3;Albacenter;2023-07-22;16:00:00;17:00:00;1021
091b8fd0-a5b1-4c59-acb2-40759e131801;3;Albacenter;2023-07-22;17:00:00;18:00:00;1096
091b8fd0-a5b1-4c59-acb2-40759e131801;3;Albacenter;2023-07-22;18:00:00;19:00:00;1216
091b8fd0-a5b1-4c59-acb2-40759e131801;3;Albacenter;2023-07-22;19:00:00;20:00:00;1249
091b8fd0-a5b1-4c59-acb2-40759e131801;3;Albacenter;2023-07-22;20:00:00;21:00:00;1239
091b8fd0-a5b1-4c59-acb2-40759e131801;3;Albacenter;2023-07-22;21:00:00;22:00:00;1075
