uuid;name;id;low;medium_low;medium;medium_high;high
091b8fd0-a5b1-4c59-acb2-40759e131801;Albacenter;3;0.47;3.58;42.38;51.66;1.92
69dda3aa-efa6-4149-9481-3e1260141dc2;Alegra - Parque Comercial y de Ocio;5;0.12;2.66;65.62;14.69;16.92
91e8cf7c-ece3-4e27-9eed-4a146790bbb7;Almazara Plaza;6;2.4;51.06;41.54;3.36;1.65
4916aafd-1c0b-4e27-b2b0-61f7755fb4f3;Arena Multiespacio;9;31.98;1.28;43.39;19.31;4.03
c61e2cc5-ff63-4fe8-aa4a-abf1b1d7be16;As Termas;10;0.04;0.42;82.05;4.19;13.3
f066cf28-e91c-4ce3-a0e9-e87370fd0445;Castellana 200;11;0.11;3.56;24.89;39.15;32.29
135cd769-31c8-4240-a5af-adf6a132aaec;Conquistadores;13;3.75;34.43;42.83;15.3;3.7
0c2639f4-bec1-428e-abad-c95a3a78de58;Coruña The Style Outlets;50;0.04;0.4;38.32;51.88;9.35
b3c672c8-277c-4dd2-8450-802c3daca800;El Arcángel;95;12.35;6.89;74.19;5.09;1.48
db21a149-6720-4f2d-8cd5-e40df385d04b;El Deleite;57;0.29;4.84;81.26;8.98;4.62
cbb1f955-6ce2-4dd7-8c26-4bb8d4085418;El Encinar;67;0.13;3.02;29.18;18.25;49.42
d6e10447-60ed-4a71-a658-ec05fbe6b017;El Parque de Ciudad Real;16;0.31;6.16;46.54;36.4;10.6
14d4d04b-c417-4149-8146-d791064f5a8f;El Paseo;17;0.95;56.37;28.79;5.19;8.69
c494f3fd-545f-43dd-90ac-f15444c92879;El Restón;44;0.11;3.2;88.3;5.31;3.07
7ff3cca7-ed09-4cf6-b3ab-66d27f30939c;El Rosal;18;0.08;0.88;55.84;40.21;3.0
51cdbe4b-9a08-41e3-9dff-4dce61719a8f;Espacio Coruña;19;0.06;0.37;38.46;49.55;11.56
1ae1ee31-2236-4b08-ac6d-da75d590ced2;Espacio León;20;0.03;0.51;79.48;15.67;4.3
44dfcbc9-7df0-4da0-9882-0b07e36ef9d4;FINESTRELLES SHOPPING CENTRE;58;0.08;0.74;49.23;30.45;19.51
6723e314-b093-4de2-bafa-1775196d1234;Getafe The Style Outlets;45;0.25;6.28;70.19;15.62;7.66
a9652ebd-80a7-4e3c-9c82-da5a33132fa2;Gran Plaza 2;25;0.16;3.0;32.31;19.85;44.68
4f86178d-a155-40d0-977b-657954882fed;Gran Vía 2;26;0.06;0.61;28.27;44.81;26.25
d44960b0-d717-4fa8-a81c-4d6285b8f6b4;Gran Vía de Vigo;27;0.03;0.5;61.45;26.5;11.52
b345570b-20c8-4b90-b0ed-9ddaabdec93e;GranCasa;24;0.07;0.43;77.21;15.2;7.07
bf207f85-1735-4979-85d2-289f183bf178;L'Illa Diagonal;2;0.09;0.64;24.45;30.95;43.88
b2fd26f7-6048-4f10-8eba-5f90879f470e;La Farga;29;0.02;0.69;38.92;52.57;7.79
96ebc324-97d7-4c0c-9122-c873141fc16a;La Villa 2;61;0.15;17.09;74.35;7.35;1.06
b33e9212-926d-45da-9f83-683b27a904b6;Las Rozas The Style Outlets;46;0.21;3.41;39.01;21.59;35.79
27630773-db74-4220-a055-00237a25da71;Los Alcores;4;1.57;13.83;78.37;4.56;1.68
67c19fe9-6b90-440c-954c-d6f652cd122a;Luz de Castilla;31;0.11;1.58;66.65;22.48;9.17
9a893048-055e-43ae-b7ef-1c1165f64320;Madrid Sur;32;0.07;60.56;25.87;7.68;5.82
ae7e12dd-92d3-4d52-b6c2-fe9184bd8c34;Manoteras;33;0.07;2.99;21.64;31.76;43.54
39f7933c-5cbc-4d42-908e-6bd88c55c50c;Max Center;34;0.1;0.69;32.75;58.19;8.27
d00339ba-c6d2-4830-acd1-b9cbe9b6be22;Nassica - Parque Comercial y de Ocio;60;0.22;5.85;71.91;15.28;6.74
e2aef294-794c-4674-9509-6c15225543af;Parque Corredor;101;0.16;3.59;75.33;12.63;8.29
2560337e-ad93-46bc-a944-73428173bc69;Plaza Loranca 2;63;0.05;4.3;68.83;23.25;3.57
fe152407-9e68-4ccb-8dcc-0032f6d68c1a;Plaza Mayor;40;0.95;12.49;72.15;5.34;9.07
a8d2120d-8649-4d03-97dc-e384b935406c;Plaza Moraleja;96;0.06;3.72;34.37;24.3;37.55
907fe0e5-f500-493f-92bd-3dfc70929688;Plaza Norte 2;41;0.1;2.58;45.13;18.57;33.62
a292aa57-8504-407d-96f2-783b80fdc527;Plaza Río 2;42;0.12;5.34;56.78;28.41;9.35
d96a47c5-f5e7-4a23-8d55-f9ff344613f6;Plaza de Aluche;38;0.06;4.09;79.67;8.23;7.95
ae2b6114-0ded-4bef-b0cb-3c94c6571797;Portal de la Marina;43;1.31;5.92;74.85;11.56;6.36
4173c481-8f24-413a-a53d-1432d966dddc;San Sebastián de los Reyes The Style Outlets;48;0.14;3.07;60.66;18.03;18.09
1ae5e620-424c-4dbe-8ec3-6dbd72584b9b;Valle Real;51;0.12;0.79;74.5;18.47;6.13
c42f0753-e80d-4354-abe3-9e7fe5dd7600;Zubiarte;54;0.2;0.96;23.74;54.38;20.73
d04597e6-51fd-457d-a302-12e381a71361;Ànecblau;7;0.06;0.64;52.06;16.8;30.43
c52d5f56-1f93-40dd-a167-d60d9a103807;Área Sur;55;3.2;44.19;41.38;4.58;6.64
