uuid;id;name;day;start_hour;end_hour;visits
091b8fd0-a5b1-4c59-acb2-40759e131801;3;Albacenter;2023-08-29;10:00:00;11:00:00;965
091b8fd0-a5b1-4c59-acb2-40759e131801;3;Albacenter;2023-08-29;11:00:00;12:00:00;1142
091b8fd0-a5b1-4c59-acb2-40759e131801;3;Albacenter;2023-08-29;12:00:00;13:00:00;1327
091b8fd0-a5b1-4c59-acb2-40759e131801;3;Albacenter;2023-08-29;13:00:00;14:00:00;1268
091b8fd0-a5b1-4c59-acb2-40759e131801;3;Albacenter;2023-08-29;14:00:00;15:00:00;1290
091b8fd0-a5b1-4c59-acb2-40759e131801;3;Albacenter;2023-08-29;15:00:00;16:00:00;1358
091b8fd0-a5b1-4c59-acb2-40759e131801;3;Albacenter;2023-08-29;16:00:00;17:00:00;1326
091b8fd0-a5b1-4c59-acb2-40759e131801;3;Albacenter;2023-08-29;17:00:00;18:00:00;1401
091b8fd0-a5b1-4c59-acb2-40759e131801;3;Albacenter;2023-08-29;18:00:00;19:00:00;1412
091b8fd0-a5b1-4c59-acb2-40759e131801;3;Albacenter;2023-08-29;19:00:00;20:00:00;1544
091b8fd0-a5b1-4c59-acb2-40759e131801;3;Albacenter;2023-08-29;20:00:00;21:00:00;1463
091b8fd0-a5b1-4c59-acb2-40759e131801;3;Albacenter;2023-08-29;21:00:00;22:00:00;1423
091b8fd0-a5b1-4c59-acb2-40759e131801;3;Albacenter;2023-08-30;10:00:00;11:00:00;852
091b8fd0-a5b1-4c59-acb2-40759e131801;3;Albacenter;2023-08-30;11:00:00;12:00:00;1042
091b8fd0-a5b1-4c59-acb2-40759e131801;3;Albacenter;2023-08-30;12:00:00;13:00:00;1299
091b8fd0-a5b1-4c59-acb2-40759e131801;3;Albacenter;2023-08-30;13:00:00;14:00:00;1377
091b8fd0-a5b1-4c59-acb2-40759e131801;3;Albacenter;2023-08-30;14:00:00;15:00:00;1391
091b8fd0-a5b1-4c59-acb2-40759e131801;3;Albacenter;2023-08-30;15:00:00;16:00:00;1350
091b8fd0-a5b1-4c59-acb2-40759e131801;3;Albacenter;2023-08-30;16:00:00;17:00:00;1247
091b8fd0-a5b1-4c59-acb2-40759e131801;3;Albacenter;2023-08-30;17:00:00;18:00:00;1322
091b8fd0-a5b1-4c59-acb2-40759e131801;3;Albacenter;2023-08-30;18:00:00;19:00:00;1517
091b8fd0-a5b1-4c59-acb2-40759e131801;3;Albacenter;2023-08-30;19:00:00;20:00:00;1565
091b8fd0-a5b1-4c59-acb2-40759e131801;3;Albacenter;2023-08-30;20:00:00;21:00:00;1465
091b8fd0-a5b1-4c59-acb2-40759e131801;3;Albacenter;2023-08-30;21:00:00;22:00:00;1253
091b8fd0-a5b1-4c59-acb2-40759e131801;3;Albacenter;2023-08-31;10:00:00;11:00:00;941
091b8fd0-a5b1-4c59-acb2-40759e131801;3;Albacenter;2023-08-31;11:00:00;12:00:00;1144
091b8fd0-a5b1-4c59-acb2-40759e131801;3;Albacenter;2023-08-31;12:00:00;13:00:00;1212
091b8fd0-a5b1-4c59-acb2-40759e131801;3;Albacenter;2023-08-31;13:00:00;14:00:00;1235
091b8fd0-a5b1-4c59-acb2-40759e131801;3;Albacenter;2023-08-31;14:00:00;15:00:00;1155
091b8fd0-a5b1-4c59-acb2-40759e131801;3;Albacenter;2023-08-31;15:00:00;16:00:00;1135
091b8fd0-a5b1-4c59-acb2-40759e131801;3;Albacenter;2023-08-31;16:00:00;17:00:00;1075
091b8fd0-a5b1-4c59-acb2-40759e131801;3;Albacenter;2023-08-31;17:00:00;18:00:00;1151
091b8fd0-a5b1-4c59-acb2-40759e131801;3;Albacenter;2023-08-31;18:00:00;19:00:00;1246
091b8fd0-a5b1-4c59-acb2-40759e131801;3;Albacenter;2023-08-31;19:00:00;20:00:00;1284
091b8fd0-a5b1-4c59-acb2-40759e131801;3;Albacenter;2023-08-31;20:00:00;21:00:00;1321
091b8fd0-a5b1-4c59-acb2-40759e131801;3;Albacenter;2023-08-31;21:00:00;22:00:00;1051
091b8fd0-a5b1-4c59-acb2-40759e131801;3;Albacenter;2023-09-01;10:00:00;11:00:00;909
091b8fd0-a5b1-4c59-acb2-40759e131801;3;Albacenter;2023-09-01;11:00:00;12:00:00;1049
091b8fd0-a5b1-4c59-acb2-40759e131801;3;Albacenter;2023-09-01;12:00:00;13:00:00;1222
091b8fd0-a5b1-4c59-acb2-40759e131801;3;Albacenter;2023-09-01;13:00:00;14:00:00;1330
091b8fd0-a5b1-4c59-acb2-40759e131801;3;Albacenter;2023-09-01;14:00:00;15:00:00;1201
091b8fd0-a5b1-4c59-acb2-40759e131801;3;Albacenter;2023-09-01;15:00:00;16:00:00;1157
091b8fd0-a5b1-4c59-acb2-40759e131801;3;Albacenter;2023-09-01;16:00:00;17:00:00;1105
091b8fd0-a5b1-4c59-acb2-40759e131801;3;Albacenter;2023-09-01;17:00:00;18:00:00;1159
091b8fd0-a5b1-4c59-acb2-40759e131801;3;Albacenter;2023-09-01;18:00:00;19:00:00;1227
091b8fd0-a5b1-4c59-acb2-40759e131801;3;Albacenter;2023-09-01;19:00:00;20:00:00;1221
091b8fd0-a5b1-4c59-acb2-40759e131801;3;Albacenter;2023-09-01;20:00:00;21:00:00;1297
091b8fd0-a5b1-4c59-acb2-40759e131801;3;Albacenter;2023-09-01;21:00:00;22:00:00;1107
091b8fd0-a5b1-4c59-acb2-40759e131801;3;Albacenter;2023-09-02;10:00:00;11:00:00;1027
091b8fd0-a5b1-4c59-acb2-40759e131801;3;Albacenter;2023-09-02;11:00:00;12:00:00;1223
091b8fd0-a5b1-4c59-acb2-40759e131801;3;Albacenter;2023-09-02;12:00:00;13:00:00;1450
091b8fd0-a5b1-4c59-acb2-40759e131801;3;Albacenter;2023-09-02;13:00:00;14:00:00;1502
091b8fd0-a5b1-4c59-acb2-40759e131801;3;Albacenter;2023-09-02;14:00:00;15:00:00;1260
091b8fd0-a5b1-4c59-acb2-40759e131801;3;Albacenter;2023-09-02;15:00:00;16:00:00;1194
091b8fd0-a5b1-4c59-acb2-40759e131801;3;Albacenter;2023-09-02;16:00:00;17:00:00;1178
091b8fd0-a5b1-4c59-acb2-40759e131801;3;Albacenter;2023-09-02;17:00:00;18:00:00;1292
091b8fd0-a5b1-4c59-acb2-40759e131801;3;Albacenter;2023-09-02;18:00:00;19:00:00;1368
091b8fd0-a5b1-4c59-acb2-40759e131801;3;Albacenter;2023-09-02;19:00:00;20:00:00;1707
091b8fd0-a5b1-4c59-acb2-40759e131801;3;Albacenter;2023-09-02;20:00:00;21:00:00;1519
091b8fd0-a5b1-4c59-acb2-40759e131801;3;Albacenter;2023-09-02;21:00:00;22:00:00;1122
091b8fd0-a5b1-4c59-acb2-40759e131801;3;Albacenter;2023-09-03;10:00:00;11:00:00;950
091b8fd0-a5b1-4c59-acb2-40759e131801;3;Albacenter;2023-09-03;11:00:00;12:00:00;1042
091b8fd0-a5b1-4c59-acb2-40759e131801;3;Albacenter;2023-09-03;12:00:00;13:00:00;1070
091b8fd0-a5b1-4c59-acb2-40759e131801;3;Albacenter;2023-09-03;13:00:00;14:00:00;1112
091b8fd0-a5b1-4c59-acb2-40759e131801;3;Albacenter;2023-09-03;14:00:00;15:00:00;1109
091b8fd0-a5b1-4c59-acb2-40759e131801;3;Albacenter;2023-09-03;15:00:00;16:00:00;1159
091b8fd0-a5b1-4c59-acb2-40759e131801;3;Albacenter;2023-09-03;16:00:00;17:00:00;1158
091b8fd0-a5b1-4c59-acb2-40759e131801;3;Albacenter;2023-09-03;17:00:00;18:00:00;1189
091b8fd0-a5b1-4c59-acb2-40759e131801;3;Albacenter;2023-09-03;18:00:00;19:00:00;1034
091b8fd0-a5b1-4c59-acb2-40759e131801;3;Albacenter;2023-09-03;19:00:00;20:00:00;1151
091b8fd0-a5b1-4c59-acb2-40759e131801;3;Albacenter;2023-09-03;20:00:00;21:00:00;1047
091b8fd0-a5b1-4c59-acb2-40759e131801;3;Albacenter;2023-09-03;21:00:00;22:00:00;982
69dda3aa-efa6-4149-9481-3e1260141dc2;5;Alegra - Parque Comercial y de Ocio;2023-08-29;10:00:00;11:00:00;213
69dda3aa-efa6-4149-9481-3e1260141dc2;5;Alegra - Parque Comercial y de Ocio;2023-08-29;11:00:00;12:00:00;370
69dda3aa-efa6-4149-9481-3e1260141dc2;5;Alegra - Parque Comercial y de Ocio;2023-08-29;12:00:00;13:00:00;433
69dda3aa-efa6-4149-9481-3e1260141dc2;5;Alegra - Parque Comercial y de Ocio;2023-08-29;13:00:00;14:00:00;555
69dda3aa-efa6-4149-9481-3e1260141dc2;5;Alegra - Parque Comercial y de Ocio;2023-08-29;14:00:00;15:00:00;542
69dda3aa-efa6-4149-9481-3e1260141dc2;5;Alegra - Parque Comercial y de Ocio;2023-08-29;15:00:00;16:00:00;546
69dda3aa-efa6-4149-9481-3e1260141dc2;5;Alegra - Parque Comercial y de Ocio;2023-08-29;16:00:00;17:00:00;580
69dda3aa-efa6-4149-9481-3e1260141dc2;5;Alegra - Parque Comercial y de Ocio;2023-08-29;17:00:00;18:00:00;522
69dda3aa-efa6-4149-9481-3e1260141dc2;5;Alegra - Parque Comercial y de Ocio;2023-08-29;18:00:00;19:00:00;591
69dda3aa-efa6-4149-9481-3e1260141dc2;5;Alegra - Parque Comercial y de Ocio;2023-08-29;19:00:00;20:00:00;599
69dda3aa-efa6-4149-9481-3e1260141dc2;5;Alegra - Parque Comercial y de Ocio;2023-08-29;20:00:00;21:00:00;682
69dda3aa-efa6-4149-9481-3e1260141dc2;5;Alegra - Parque Comercial y de Ocio;2023-08-29;21:00:00;22:00:00;1001
69dda3aa-efa6-4149-9481-3e1260141dc2;5;Alegra - Parque Comercial y de Ocio;2023-08-30;10:00:00;11:00:00;269
69dda3aa-efa6-4149-9481-3e1260141dc2;5;Alegra - Parque Comercial y de Ocio;2023-08-30;11:00:00;12:00:00;463
69dda3aa-efa6-4149-9481-3e1260141dc2;5;Alegra - Parque Comercial y de Ocio;2023-08-30;12:00:00;13:00:00;483
69dda3aa-efa6-4149-9481-3e1260141dc2;5;Alegra - Parque Comercial y de Ocio;2023-08-30;13:00:00;14:00:00;617
