visits,country,start_date,end_date,period,mall_name,mall_id,hivestack_site_id
1219.0,SPAIN,2023-01-02 10:00:00,2023-01-02 11:00:00,HOUR,Albacenter,3,147095950
1400.0,SPAIN,2023-01-02 11:00:00,2023-01-02 12:00:00,HOUR,Albacenter,3,147095950
1693.0,SPAIN,2023-01-02 12:00:00,2023-01-02 13:00:00,HOUR,Albacenter,3,147095950
1638.0,SPAIN,2023-01-02 13:00:00,2023-01-02 14:00:00,HOUR,Albacenter,3,147095950
1558.0,SPAIN,2023-01-02 14:00:00,2023-01-02 15:00:00,HOUR,Albacenter,3,147095950
1506.0,SPAIN,2023-01-02 15:00:00,2023-01-02 16:00:00,HOUR,Albacenter,3,147095950
1553.0,SPAIN,2023-01-02 16:00:00,2023-01-02 17:00:00,HOUR,Albacenter,3,147095950
1805.0,SPAIN,2023-01-02 17:00:00,2023-01-02 18:00:00,HOUR,Albacenter,3,147095950
2073.0,SPAIN,2023-01-02 18:00:00,2023-01-02 19:00:00,HOUR,Albacenter,3,147095950
2010.0,SPAIN,2023-01-02 19:00:00,2023-01-02 20:00:00,HOUR,Albacenter,3,147095950
1982.0,SPAIN,2023-01-02 20:00:00,2023-01-02 21:00:00,HOUR,Albacenter,3,147095950
1600.0,SPAIN,2023-01-02 21:00:00,2023-01-02 22:00:00,HOUR,Albacenter,3,147095950
991.0,SPAIN,2023-01-03 10:00:00,2023-01-03 11:00:00,HOUR,Albacenter,3,147095950
1303.0,SPAIN,2023-01-03 11:00:00,2023-01-03 12:00:00,HOUR,Albacenter,3,147095950
1552.0,SPAIN,2023-01-03 12:00:00,2023-01-03 13:00:00,HOUR,Albacenter,3,147095950
1521.0,SPAIN,2023-01-03 13:00:00,2023-01-03 14:00:00,HOUR,Albacenter,3,147095950
1342.0,SPAIN,2023-01-03 14:00:00,2023-01-03 15:00:00,HOUR,Albacenter,3,147095950
1400.0,SPAIN,2023-01-03 15:00:00,2023-01-03 16:00:00,HOUR,Albacenter,3,147095950
1497.0,SPAIN,2023-01-03 16:00:00,2023-01-03 17:00:00,HOUR,Albacenter,3,147095950
1616.0,SPAIN,2023-01-03 17:00:00,2023-01-03 18:00:00,HOUR,Albacenter,3,147095950
1850.0,SPAIN,2023-01-03 18:00:00,2023-01-03 19:00:00,HOUR,Albacenter,3,147095950
1941.0,SPAIN,2023-01-03 19:00:00,2023-01-03 20:00:00,HOUR,Albacenter,3,147095950
1670.0,SPAIN,2023-01-03 20:00:00,2023-01-03 21:00:00,HOUR,Albacenter,3,147095950
1454.0,SPAIN,2023-01-03 21:00:00,2023-01-03 22:00:00,HOUR,Albacenter,3,147095950
1398.0,SPAIN,2023-01-04 10:00:00,2023-01-04 11:00:00,HOUR,Albacenter,3,147095950
1671.0,SPAIN,2023-01-04 11:00:00,2023-01-04 12:00:00,HOUR,Albacenter,3,147095950
1884.0,SPAIN,2023-01-04 12:00:00,2023-01-04 13:00:00,HOUR,Albacenter,3,147095950
1962.0,SPAIN,2023-01-04 13:00:00,2023-01-04 14:00:00,HOUR,Albacenter,3,147095950
1818.0,SPAIN,2023-01-04 14:00:00,2023-01-04 15:00:00,HOUR,Albacenter,3,147095950
1723.0,SPAIN,2023-01-04 15:00:00,2023-01-04 16:00:00,HOUR,Albacenter,3,147095950
1861.0,SPAIN,2023-01-04 16:00:00,2023-01-04 17:00:00,HOUR,Albacenter,3,147095950
2192.0,SPAIN,2023-01-04 17:00:00,2023-01-04 18:00:00,HOUR,Albacenter,3,147095950
2362.0,SPAIN,2023-01-04 18:00:00,2023-01-04 19:00:00,HOUR,Albacenter,3,147095950
2379.0,SPAIN,2023-01-04 19:00:00,2023-01-04 20:00:00,HOUR,Albacenter,3,147095950
2284.0,SPAIN,2023-01-04 20:00:00,2023-01-04 21:00:00,HOUR,Albacenter,3,147095950
1802.0,SPAIN,2023-01-04 21:00:00,2023-01-04 22:00:00,HOUR,Albacenter,3,147095950
1416.0,SPAIN,2023-01-05 10:00:00,2023-01-05 11:00:00,HOUR,Albacenter,3,147095950
1752.0,SPAIN,2023-01-05 11:00:00,2023-01-05 12:00:00,HOUR,Albacenter,3,147095950
2015.0,SPAIN,2023-01-05 12:00:00,2023-01-05 13:00:00,HOUR,Albacenter,3,147095950
2037.0,SPAIN,2023-01-05 13:00:00,2023-01-05 14:00:00,HOUR,Albacenter,3,147095950
1933.0,SPAIN,2023-01-05 14:00:00,2023-01-05 15:00:00,HOUR,Albacenter,3,147095950
1777.0,SPAIN,2023-01-05 15:00:00,2023-01-05 16:00:00,HOUR,Albacenter,3,147095950
1844.0,SPAIN,2023-01-05 16:00:00,2023-01-05 17:00:00,HOUR,Albacenter,3,147095950
1906.0,SPAIN,2023-01-05 17:00:00,2023-01-05 18:00:00,HOUR,Albacenter,3,147095950
2071.0,SPAIN,2023-01-05 18:00:00,2023-01-05 19:00:00,HOUR,Albacenter,3,147095950
1922.0,SPAIN,2023-01-05 19:00:00,2023-01-05 20:00:00,HOUR,Albacenter,3,147095950
1792.0,SPAIN,2023-01-05 20:00:00,2023-01-05 21:00:00,HOUR,Albacenter,3,147095950
1582.0,SPAIN,2023-01-05 21:00:00,2023-01-05 22:00:00,HOUR,Albacenter,3,147095950
1162.0,SPAIN,2023-01-06 10:00:00,2023-01-06 11:00:00,HOUR,Albacenter,3,147095950
1215.0,SPAIN,2023-01-06 11:00:00,2023-01-06 12:00:00,HOUR,Albacenter,3,147095950
1270.0,SPAIN,2023-01-06 12:00:00,2023-01-06 13:00:00,HOUR,Albacenter,3,147095950
1282.0,SPAIN,2023-01-06 13:00:00,2023-01-06 14:00:00,HOUR,Albacenter,3,147095950
1268.0,SPAIN,2023-01-06 14:00:00,2023-01-06 15:00:00,HOUR,Albacenter,3,147095950
1203.0,SPAIN,2023-01-06 15:00:00,2023-01-06 16:00:00,HOUR,Albacenter,3,147095950
1198.0,SPAIN,2023-01-06 16:00:00,2023-01-06 17:00:00,HOUR,Albacenter,3,147095950
1262.0,SPAIN,2023-01-06 17:00:00,2023-01-06 18:00:00,HOUR,Albacenter,3,147095950
1377.0,SPAIN,2023-01-06 18:00:00,2023-01-06 19:00:00,HOUR,Albacenter,3,147095950
1294.0,SPAIN,2023-01-06 19:00:00,2023-01-06 20:00:00,HOUR,Albacenter,3,147095950
1263.0,SPAIN,2023-01-06 20:00:00,2023-01-06 21:00:00,HOUR,Albacenter,3,147095950
1277.0,SPAIN,2023-01-06 21:00:00,2023-01-06 22:00:00,HOUR,Albacenter,3,147095950
1876.0,SPAIN,2023-01-07 10:00:00,2023-01-07 11:00:00,HOUR,Albacenter,3,147095950
2252.0,SPAIN,2023-01-07 11:00:00,2023-01-07 12:00:00,HOUR,Albacenter,3,147095950
2522.0,SPAIN,2023-01-07 12:00:00,2023-01-07 13:00:00,HOUR,Albacenter,3,147095950
2530.0,SPAIN,2023-01-07 13:00:00,2023-01-07 14:00:00,HOUR,Albacenter,3,147095950
2136.0,SPAIN,2023-01-07 14:00:00,2023-01-07 15:00:00,HOUR,Albacenter,3,147095950
1852.0,SPAIN,2023-01-07 15:00:00,2023-01-07 16:00:00,HOUR,Albacenter,3,147095950
