visits,country,start_date,end_date,period,mall_name,mall_id,hivestack_site_id
755.0,SPAIN,2022-12-12 10:00:00,2022-12-12 11:00:00,HOUR,Albacenter,3,147095950
851.0,SPAIN,2022-12-12 11:00:00,2022-12-12 12:00:00,HOUR,Albacenter,3,147095950
923.0,SPAIN,2022-12-12 12:00:00,2022-12-12 13:00:00,HOUR,Albacenter,3,147095950
852.0,SPAIN,2022-12-12 13:00:00,2022-12-12 14:00:00,HOUR,Albacenter,3,147095950
906.0,SPAIN,2022-12-12 14:00:00,2022-12-12 15:00:00,HOUR,Albacenter,3,147095950
779.0,SPAIN,2022-12-12 15:00:00,2022-12-12 16:00:00,HOUR,Albacenter,3,147095950
780.0,SPAIN,2022-12-12 16:00:00,2022-12-12 17:00:00,HOUR,Albacenter,3,147095950
900.0,SPAIN,2022-12-12 17:00:00,2022-12-12 18:00:00,HOUR,Albacenter,3,147095950
975.0,SPAIN,2022-12-12 18:00:00,2022-12-12 19:00:00,HOUR,Albacenter,3,147095950
917.0,SPAIN,2022-12-12 19:00:00,2022-12-12 20:00:00,HOUR,Albacenter,3,147095950
895.0,SPAIN,2022-12-12 20:00:00,2022-12-12 21:00:00,HOUR,Albacenter,3,147095950
750.0,SPAIN,2022-12-12 21:00:00,2022-12-12 22:00:00,HOUR,Albacenter,3,147095950
789.0,SPAIN,2022-12-13 10:00:00,2022-12-13 11:00:00,HOUR,Albacenter,3,147095950
879.0,SPAIN,2022-12-13 11:00:00,2022-12-13 12:00:00,HOUR,Albacenter,3,147095950
969.0,SPAIN,2022-12-13 12:00:00,2022-12-13 13:00:00,HOUR,Albacenter,3,147095950
915.0,SPAIN,2022-12-13 13:00:00,2022-12-13 14:00:00,HOUR,Albacenter,3,147095950
864.0,SPAIN,2022-12-13 14:00:00,2022-12-13 15:00:00,HOUR,Albacenter,3,147095950
768.0,SPAIN,2022-12-13 15:00:00,2022-12-13 16:00:00,HOUR,Albacenter,3,147095950
738.0,SPAIN,2022-12-13 16:00:00,2022-12-13 17:00:00,HOUR,Albacenter,3,147095950
841.0,SPAIN,2022-12-13 17:00:00,2022-12-13 18:00:00,HOUR,Albacenter,3,147095950
909.0,SPAIN,2022-12-13 18:00:00,2022-12-13 19:00:00,HOUR,Albacenter,3,147095950
887.0,SPAIN,2022-12-13 19:00:00,2022-12-13 20:00:00,HOUR,Albacenter,3,147095950
816.0,SPAIN,2022-12-13 20:00:00,2022-12-13 21:00:00,HOUR,Albacenter,3,147095950
732.0,SPAIN,2022-12-13 21:00:00,2022-12-13 22:00:00,HOUR,Albacenter,3,147095950
716.0,SPAIN,2022-12-14 10:00:00,2022-12-14 11:00:00,HOUR,Albacenter,3,147095950
838.0,SPAIN,2022-12-14 11:00:00,2022-12-14 12:00:00,HOUR,Albacenter,3,147095950
902.0,SPAIN,2022-12-14 12:00:00,2022-12-14 13:00:00,HOUR,Albacenter,3,147095950
870.0,SPAIN,2022-12-14 13:00:00,2022-12-14 14:00:00,HOUR,Albacenter,3,147095950
897.0,SPAIN,2022-12-14 14:00:00,2022-12-14 15:00:00,HOUR,Albacenter,3,147095950
794.0,SPAIN,2022-12-14 15:00:00,2022-12-14 16:00:00,HOUR,Albacenter,3,147095950
498.0,SPAIN,2022-12-14 16:00:00,2022-12-14 17:00:00,HOUR,Albacenter,3,147095950
984.0,SPAIN,2022-12-14 17:00:00,2022-12-14 18:00:00,HOUR,Albacenter,3,147095950
1014.0,SPAIN,2022-12-14 18:00:00,2022-12-14 19:00:00,HOUR,Albacenter,3,147095950
968.0,SPAIN,2022-12-14 19:00:00,2022-12-14 20:00:00,HOUR,Albacenter,3,147095950
909.0,SPAIN,2022-12-14 20:00:00,2022-12-14 21:00:00,HOUR,Albacenter,3,147095950
707.0,SPAIN,2022-12-14 21:00:00,2022-12-14 22:00:00,HOUR,Albacenter,3,147095950
743.0,SPAIN,2022-12-15 10:00:00,2022-12-15 11:00:00,HOUR,Albacenter,3,147095950
462.0,SPAIN,2022-12-15 11:00:00,2022-12-15 12:00:00,HOUR,Albacenter,3,147095950
539.0,SPAIN,2022-12-15 12:00:00,2022-12-15 13:00:00,HOUR,Albacenter,3,147095950
871.0,SPAIN,2022-12-15 13:00:00,2022-12-15 14:00:00,HOUR,Albacenter,3,147095950
873.0,SPAIN,2022-12-15 14:00:00,2022-12-15 15:00:00,HOUR,Albacenter,3,147095950
782.0,SPAIN,2022-12-15 15:00:00,2022-12-15 16:00:00,HOUR,Albacenter,3,147095950
790.0,SPAIN,2022-12-15 16:00:00,2022-12-15 17:00:00,HOUR,Albacenter,3,147095950
920.0,SPAIN,2022-12-15 17:00:00,2022-12-15 18:00:00,HOUR,Albacenter,3,147095950
982.0,SPAIN,2022-12-15 18:00:00,2022-12-15 19:00:00,HOUR,Albacenter,3,147095950
897.0,SPAIN,2022-12-15 19:00:00,2022-12-15 20:00:00,HOUR,Albacenter,3,147095950
877.0,SPAIN,2022-12-15 20:00:00,2022-12-15 21:00:00,HOUR,Albacenter,3,147095950
732.0,SPAIN,2022-12-15 21:00:00,2022-12-15 22:00:00,HOUR,Albacenter,3,147095950
698.0,SPAIN,2022-12-16 10:00:00,2022-12-16 11:00:00,HOUR,Albacenter,3,147095950
809.0,SPAIN,2022-12-16 11:00:00,2022-12-16 12:00:00,HOUR,Albacenter,3,147095950
854.0,SPAIN,2022-12-16 12:00:00,2022-12-16 13:00:00,HOUR,Albacenter,3,147095950
825.0,SPAIN,2022-12-16 13:00:00,2022-12-16 14:00:00,HOUR,Albacenter,3,147095950
825.0,SPAIN,2022-12-16 14:00:00,2022-12-16 15:00:00,HOUR,Albacenter,3,147095950
757.0,SPAIN,2022-12-16 15:00:00,2022-12-16 16:00:00,HOUR,Albacenter,3,147095950
818.0,SPAIN,2022-12-16 16:00:00,2022-12-16 17:00:00,HOUR,Albacenter,3,147095950
948.0,SPAIN,2022-12-16 17:00:00,2022-12-16 18:00:00,HOUR,Albacenter,3,147095950
1033.0,SPAIN,2022-12-16 18:00:00,2022-12-16 19:00:00,HOUR,Albacenter,3,147095950
962.0,SPAIN,2022-12-16 19:00:00,2022-12-16 20:00:00,HOUR,Albacenter,3,147095950
887.0,SPAIN,2022-12-16 20:00:00,2022-12-16 21:00:00,HOUR,Albacenter,3,147095950
726.0,SPAIN,2022-12-16 21:00:00,2022-12-16 22:00:00,HOUR,Albacenter,3,147095950
801.0,SPAIN,2022-12-17 10:00:00,2022-12-17 11:00:00,HOUR,Albacenter,3,147095950
986.0,SPAIN,2022-12-17 11:00:00,2022-12-17 12:00:00,HOUR,Albacenter,3,147095950
1156.0,SPAIN,2022-12-17 12:00:00,2022-12-17 13:00:00,HOUR,Albacenter,3,147095950
1198.0,SPAIN,2022-12-17 13:00:00,2022-12-17 14:00:00,HOUR,Albacenter,3,147095950
1029.0,SPAIN,2022-12-17 14:00:00,2022-12-17 15:00:00,HOUR,Albacenter,3,147095950
1018.0,SPAIN,2022-12-17 15:00:00,2022-12-17 16:00:00,HOUR,Albacenter,3,147095950
1088.0,SPAIN,2022-12-17 16:00:00,2022-12-17 17:00:00,HOUR,Albacenter,3,147095950
1183.0,SPAIN,2022-12-17 17:00:00,2022-12-17 18:00:00,HOUR,Albacenter,3,147095950
1264.0,SPAIN,2022-12-17 18:00:00,2022-12-17 19:00:00,HOUR,Albacenter,3,147095950
1259.0,SPAIN,2022-12-17 19:00:00,2022-12-17 20:00:00,HOUR,Albacenter,3,147095950
1153.0,SPAIN,2022-12-17 20:00:00,2022-12-17 21:00:00,HOUR,Albacenter,3,147095950
910.0,SPAIN,2022-12-17 21:00:00,2022-12-17 22:00:00,HOUR,Albacenter,3,147095950
0.0,SPAIN,2022-12-18 10:00:00,2022-12-18 11:00:00,HOUR,Albacenter,3,147095950
0.0,SPAIN,2022-12-18 11:00:00,2022-12-18 12:00:00,HOUR,Albacenter,3,147095950
0.0,SPAIN,2022-12-18 12:00:00,2022-12-18 13:00:00,HOUR,Albacenter,3,147095950
0.0,SPAIN,2022-12-18 13:00:00,2022-12-18 14:00:00,HOUR,Albacenter,3,147095950
0.0,SPAIN,2022-12-18 14:00:00,2022-12-18 15:00:00,HOUR,Albacenter,3,147095950
0.0,SPAIN,2022-12-18 15:00:00,2022-12-18 16:00:00,HOUR,Albacenter,3,147095950
0.0,SPAIN,2022-12-18 16:00:00,2022-12-18 17:00:00,HOUR,Albacenter,3,147095950
0.0,SPAIN,2022-12-18 17:00:00,2022-12-18 18:00:00,HOUR,Albacenter,3,147095950
0.0,SPAIN,2022-12-18 18:00:00,2022-12-18 19:00:00,HOUR,Albacenter,3,147095950
