device_id;player_id;num_frames;hostname;player_version;os_version;screen_resolution;chromium_version;disk_usage;public_ip;private_ip;poll_last_utc;last_checkin_time;last_checkin_min;started_time;started_min;player_active;player_name;player_screens;player_mac1;player_mac2;player_container_id;contents;num_contents;display_unit_id;campaign_names;number_of_campaigns;display_unit_name;screen_count;display_unit_active;geolocation;latitude;longitude;zipcode;address;container_name;du_container_id;container_active;programmatic_name
broadsign.com:843335675;843335675;1; DESKTOP-TC639J9; 15.5.3-1;Windows 10; 1080x1920; 87.0.4280.144;for partition containing C:\ProgramData\BroadSign\bsp\share\bsp\documents: 76.77 GB free out of 111.17 GB (30.9% full);212.170.102.81;10.30.185.162;2023-10-13T13:16:47;13 Oct, 2023;8;2023-09-17T17:07:28;37338;True;ESP_PC_0486-TEMP GP2 RESTAUR #NP#;4;80:ee:73:f8:ec:56;;62401014; * Reach SSP content * 2022_1080X1920_3SEG_IWALLMAS * 2022_1080X1920_IWALLMAS * FUZE TEA OCT LIMONCILLO ESP * FUZE TEA OCT MELOCOTON ESP * CRUZ ROJA SEPT * ALDELIS TORTITAS OCT * PULEVA CALCIO OCT * ZOO FAUNIA OCT gorila * ONCE CUPONAZO OCT * BIMBO QÉ OCT 1 * BIMBO QÉ OCT 2 * MONDELEZ ROYAL OCT * TACO BELL OCT ola3 BurritoSupreme ESP * ZOO FAUNIA OCT HALLOWEEN * BRICO OCT * LOS ASESINOS DE LA LUNA OCT * SUCHARD_BILLETES_OCT_Imagen * SUCHARD_BILLETES_OCT_Video * PULEVA PEQUES OCT23;20;844345232; * MONDELEZ ROYAL OCT $PIW2023368$ * HIVESTACK 2023 - SPAIN - adicional * FUZE TEA OCT ESP $$ * MONDELEZ SUCHARD BILLETES OCT23 * LOS ASESINOS DE LA LUNA OCT $PIW2023393$ * HIVESTACK 2023- SPAIN * PULEVA PEQUES OCT23 $PIW2023365 * GP2 Anual 2023 * ALDELIS SEPT ola2 $PIW2023352$ * ALDELIS OCT ola3 $PIW2023352$ * ALDELIS NOV ola4 $PIW2023352$ * REACH 2023 - SPAIN * ZOO FAUNIA OCT $PIW2023370$ * BRICODEPOT GP2 OCT $PIW2023347$ * TACO BELL SEPT ESP $$ * ONCE CUPONAZO OCT $PIW2023357$ * BIMBO QÉ OCT $PIW2023353$ * CRUZ ROJA SEPT ola1 $PIW2023344$ * PULEVA CALCIO OCT $PIW2023364$;19;GP2-Temp_NoPROGRAMATICA #NP#;6;True;(-3.900056,40.492245);-3.900056;40.492245;28222;Calle de los Químicos;GRAN PLAZA 2;49759419;True;SPAIN-GRAN PLAZA 2-4 screens
broadsign.com:181424828;181424828;1; PC; 14.4.0-7;Windows 7; 1080x1920; 80.0.3987.163;for partition containing C:\ProgramData\BroadSign\bsp\share\bsp\documents: 177.27 GB free out of 223.47 GB (20.7% full);77.26.202.92;172.18.2.224;2023-10-13T13:21:36;13 Oct, 2023;4;2023-10-13T08:32:25;413;True;ESP-PC_0341_UB1_TSO CORUÑA;1;00:01:80:85:43:15;;181220225; * Reach SSP content * 2022_1080X1920_3SEG_IWALLMAS * 2022_1080X1920_IWALLMAS * Hivestack-Nov2022 * CC TSO SSRR GET ROZ COR Gift Card 7mar-indef * CRUZ ROJA SEPT * CC TSO COR DescuentosLifestiler 26sept-20dic * PULEVA CALCIO OCT * ESTRELLA GALICIA AGUA MAGMA OCT * ONCE CUPONAZO OCT * CC TSO COR GET SSRR NAS Denim days 9-29oct * PULEVA PEQUES OCT23;12;181154442; * HIVESTACK 2023 - SPAIN - adicional * IWALL_PIXEL * HIVESTACK 2023- SPAIN * PLACE EXCHANGE SPAIN 2023  * PULEVA PEQUES OCT23 $PIW2023365 * CORUÑA TSO 2023 * REACH 2023 - SPAIN * ESTRELLA GALICIA AGUA OCT $PIW2023376$ * ONCE CUPONAZO OCT $PIW2023357$ * CRUZ ROJA SEPT ola1 $PIW2023344$ * PULEVA CALCIO OCT $PIW2023364$;11;COR-UBIC1;1;True;(-8.370797,43.290645);-8.370797;43.290645;15189;Av. Alvedro, 5;TSO CORUÑA;181154295;True;SPAIN-TSO CORUÑA-1 screens
broadsign.com:0;0;0; DESKTOP-URGUFOG; 14.2.0-1;Windows 10; 1024x768; 80.0.3987.163;for partition containing C:\ProgramData\BroadSign\bsp\share\bsp\documents: 90.89 GB free out of 118.64 GB (23.4% full);77.26.202.92;172.18.2.224;2023-10-13T13:21:36;20 Sep, 2023;33258;2023-09-20T13:02:15;33263;True;ESP-PC_0341_UB1_TSO CORUÑA;1;00:01:80:85:43:15;;181220225;;0;None;;;COR-UBIC1;;True;(-8.370797,43.290645);-8.370797;43.290645;15189;Av. Alvedro, 5;;0;;SPAIN--1 screens
broadsign.com:708321664;708321664;1; DESKTOP-GFC61RQ; 13.0.0-6; Windows 10; 2160x3840; 59.0.3071.109;: C:/ (C:/) : 86.63 GB free out of 111.15 GB (22.1% full);88.28.10.251;192.168.36.101;2022-11-16T09:38:16;16 Nov, 2022;476918;2022-11-16T10:15:56;476950;True;ESP-PC_0436 #TEMP# obras #NP#;0;80:ee:73:ef:5e:7f;ba:2a:6f:58:84:36;194348022; * Reach SSP content * 2022_1080X1920_3SEG_IWALLMAS * 2022_1080X1920_IWALLMAS * CC MADRID SUR AhorroEnergético V2 * Hivestack-Nov2022 * FUZE TEA OCT LIMONCILLO ESP * FUZE TEA OCT MELOCOTON ESP * CC MSUR Otoño-invierno 20sept-20mar * CC MSUR actividades Octubre 1-28oct * CRUZ ROJA SEPT * ALDELIS TORTITAS OCT * PULEVA CALCIO OCT * UNOENTRECIENMIL OCT * ZOO FAUNIA OCT gorila * ONCE CUPONAZO OCT * BIMBO QÉ OCT 1 * BIMBO QÉ OCT 2 * MONDELEZ ROYAL OCT * ZOO FAUNIA OCT HALLOWEEN * SUCHARD_BILLETES_OCT_Imagen * SUCHARD_BILLETES_OCT_Video * PULEVA PEQUES OCT23;22;194350303; * MONDELEZ ROYAL OCT $PIW2023368$ * HIVESTACK 2023 - SPAIN - adicional * IWALL_PIXEL * FUZE TEA OCT ESP $$ * MONDELEZ SUCHARD BILLETES OCT23 * HIVESTACK 2023- SPAIN * PLACE EXCHANGE SPAIN 2023  * PULEVA PEQUES OCT23 $PIW2023365 * MADRID SUR anual 2023 * ALDELIS SEPT ola2 $PIW2023352$ * ALDELIS OCT ola3 $PIW2023352$ * ALDELIS NOV ola4 $PIW2023352$ * REACH 2023 - SPAIN * UNOENTRECIENMIL OCT $PIW2023354$ * ZOO FAUNIA OCT $PIW2023370$ * ONCE CUPONAZO OCT $PIW2023357$ * BIMBO QÉ OCT $PIW2023353$ * CRUZ ROJA SEPT ola1 $PIW2023344$ * PULEVA CALCIO OCT $PIW2023364$;19;MSU-RITI-10;10;True;(-3.662275,40.381043);-3.662275;40.381043;28018;Av. Pablo Neruda;MADRID SUR;194348065;True;SPAIN-MADRID SUR-0 screens
broadsign.com:343745641;343745641;1; DESKTOP-AH8TQMI; 15.5.2-1;Windows 10; 1152x1280; 87.0.4280.144;for partition containing C:\ProgramData\BroadSign\bsp\share\bsp\documents: 337.46 GB free out of 465.05 GB (27.4% full);188.87.199.242;10.90.195.16;2023-10-13T13:13:28;13 Oct, 2023;12;2023-10-13T08:35:26;410;True;ESP_PC_0428 LED DECATHLON GV2 #RES_2304X1280#;1;80:ee:73:e5:1e:6a;80:ee:73:e5:1e:69;62401018; * Reach SSP content * 2022_1920X1080_IWALLMAS * LedAR_trex_2023 * CC_GV2_El_Lloc_Importa_27mar-indef_LED_20seg_MUTE;4;340848828; * REACH 2023 - SPAIN * _LED GV2 FILLER * _LED PCO FILLER * _LED CORP GV2 ANUAL 2023;4;LED GV2 - Gran Formato 1920x1080;1;True;(2.12971,41.359079);2.12971;41.359079;08980;Avinguda de la Granvia de l’Hospitalet, 75;LEDS GRANVIA2;355618367;True;SPAIN-LEDS GRANVIA2-1 screens
broadsign.com:838863464;838863464;1; DESKTOP-AB66G1Q; 15.0.0-2;Windows 10; 1080x1920; 80.0.3987.163;for partition containing C:\ProgramData\BroadSign\bsp\share\bsp\documents: 79.96 GB free out of 111.17 GB (28.1% full);81.0.60.125;fe80::1cc4:bc84:1269:8f0a%ethernet_32769;2023-10-13T13:16:20;13 Oct, 2023;9;2023-10-13T08:36:52;409;True;ESP_DEL-PC_0477 #TEMP# #NP#;0;80:ee:73:f7:dc:7b;80:ee:73:f7:dc:7c;232653591; * Reach SSP content * 2022_1080X1920_3SEG_IWALLMAS * 2022_1080X1920_IWALLMAS * Hivestack-Nov2022 * CC EL DELEITE TempInvierno 2oct-indef * CRUZ ROJA SEPT * PULEVA CALCIO OCT * UNOENTRECIENMIL OCT * ZOO FAUNIA OCT gorila * CC DELEITE TeatroOctubre 6-22oct * ONCE CUPONAZO OCT * BIMBO QÉ OCT 1 * BIMBO QÉ OCT 2 * MONDELEZ ROYAL OCT * ZOO FAUNIA OCT HALLOWEEN * SUCHARD_BILLETES_OCT_Imagen * SUCHARD_BILLETES_OCT_Video * PULEVA PEQUES OCT23;18;233824354; * MONDELEZ ROYAL OCT $PIW2023368$ * HIVESTACK 2023 - SPAIN - adicional * IWALL_PIXEL * MONDELEZ SUCHARD BILLETES OCT23 * HIVESTACK 2023- SPAIN * PLACE EXCHANGE SPAIN 2023  * PULEVA PEQUES OCT23 $PIW2023365 * REACH 2023 - SPAIN * UNOENTRECIENMIL OCT $PIW2023354$ * ZOO FAUNIA OCT $PIW2023370$ * ONCE CUPONAZO OCT $PIW2023357$ * BIMBO QÉ OCT $PIW2023353$ * DELEITE ANUAL 2023 * CRUZ ROJA SEPT ola1 $PIW2023344$ * PULEVA CALCIO OCT $PIW2023364$;15;DEL-RIT;12;True;(-3.617466,40.023907);-3.617466;40.023907;28300;P.º del Deleite, 13, 28300 Aranjuez, Madrid;EL DELEITE;232652271;True;SPAIN-EL DELEITE-0 screens
broadsign.com:782131443;782131443;1; DESKTOP-KKD1JSI; 15.0.0-2;Windows 10; 768x1024; 80.0.3987.163;for partition containing C:\ProgramData\BroadSign\bsp\share\bsp\documents: 84.88 GB free out of 111.18 GB (23.7% full);90.166.54.158;fe80::4f92:8307:2b96:4627%ethernet_32774;2023-06-21T07:22:40;21 Jun, 2023;164523;2023-06-21T08:58:13;164548;True;ESP_PC_0478 #TEMP#  MODA #NP#;0;80:ee:73:f6:5b:2d;80:ee:73:f6:5b:2e;62401026; * Reach SSP content * 2022_1080X1920_3SEG_IWALLMAS * 2022_1080X1920_IWALLMAS * FUZE TEA OCT LIMONCILLO ESP * FUZE TEA OCT MELOCOTON ESP * VUELING SEPT BIO LONDRES * VUELING SEPT BIO PARIS * ALDELIS TORTITAS OCT * PULEVA CALCIO OCT * UNOENTRECIENMIL OCT * ONCE CUPONAZO OCT * MONDELEZ ROYAL OCT * TACO BELL OCT ola3 BurritoSupreme ESP * SUCHARD_BILLETES_OCT_Imagen * SUCHARD_BILLETES_OCT_Video * PULEVA PEQUES OCT23;16;845766505; * MONDELEZ ROYAL OCT $PIW2023368$ * HIVESTACK 2023 - SPAIN - adicional * FUZE TEA OCT ESP $$ * CC MAX CENTER anual 2023 * MONDELEZ SUCHARD BILLETES OCT23 * HIVESTACK 2023- SPAIN * PULEVA PEQUES OCT23 $PIW2023365 * ALDELIS SEPT ola2 $PIW2023352$ * ALDELIS OCT ola3 $PIW2023352$ * ALDELIS NOV ola4 $PIW2023352$ * REACH 2023 - SPAIN * UNOENTRECIENMIL OCT $PIW2023354$ * TACO BELL SEPT ESP $$ * ONCE CUPONAZO OCT $PIW2023357$ * VUELING SEPT BIO $$ * PULEVA CALCIO OCT $PIW2023364$;16;MXC-Moda-1-TEMP;0;True;(-3.007982,43.28759);-3.007982;43.28759;48903;Barrio Kareaga;MAX CENTER/MAX OCIO;49759780;True;SPAIN-MAX CENTER/MAX OCIO-0 screens
broadsign.com:896071511;896071511;1; DESKTOP-225N21H; 15.5.2-1;Windows 10; 1024x768; 87.0.4280.144;for partition containing C:\ProgramData\BroadSign\bsp\share\bsp\documents: 65.61 GB free out of 111.18 GB (41.0% full);31.4.212.43;192.168.1.184;2023-10-13T13:15:49;13 Oct, 2023;10;2023-10-13T08:33:42;352;True;LED VILLA -LED PLAYER + LED;1;00:ff:16:2f:b6:89;2c:0d:a7:27:9c:5f;805686088; * Reach SSP content * 2022_1920X1080_IWALLMAS * BINGO CIUDAD LAGUNA GENERICO LED VILLA * MAR ABIERTO peñón rock 8aho-8oct * SALA NYX AGO-ENE LED VILLA GF * EXPRESS YOURSELF SEPT 1 * EXPRESS YOURSELF SEPT 4 * EXPRESS YOURSELF SEPT 3 * EXPRESS YOURSELF SEPT 2 * MAR ABIERTO QUEVEDO 21sept-15oct LED VILLA * CLINICA ICA OCT Act * CLINICA ICA OCT Capilar * KINGMARK OCT GENERICO LED VILLA * KINGMARK OCT HALLOWEEN LED VILLA 9-29oct;14;553166147; * CLINICA ICA 2023 LED VILLA $PIW2023276$ * CC LA VILLA ANUAL 2023 LED * SALA BAILE NYX AGO-ENE LED VILLA $PIW2023283$ * KINGSMARK LED VILLA OCT-DIC $$ * REACH 2023 - SPAIN * MAR ABIERTO JUL-OCT LED VILLA $PIW2023244$ * BINGO CIUDAD LAGUNA LED VILLA $$ * EXPRESS YOURSELF SEPT-ABR (LA VILLA GF) $PIW2023334$;8;LED VILLA - Gran Formato 720x432;1;True;(-16.5474,28.3957);-16.5474;28.3957;;LA VILLA CENTRO COMERCIAL;LEDS LA VILLA;553164546;True;SPAIN-LEDS LA VILLA-1 screens
broadsign.com:421213330;421213330;1; DESKTOP-9115ICQ; 13.1.18-6; Windows 10; 1080x1920; 59.0.3071.109;: C:/ (C:/) : 151.36 GB free out of 231.71 GB (34.7% full);195.235.97.150;10.50.192.24;2023-10-13T13:14:52;13 Oct, 2023;11;2023-10-13T08:34:57;411;True;ESP-PC_0392 PN2 #TEMP# #NP#;0;d4:5d:df:13:7a:5a;d4:5d:df:13:7a:59;62401031; * Reach SSP content * 2022_1080X1920_3SEG_IWALLMAS * 2022_1080X1920_IWALLMAS * Hivestack-Nov2022 * FUZE TEA OCT LIMONCILLO ESP * FUZE TEA OCT MELOCOTON ESP * CRUZ ROJA SEPT * PULEVA CALCIO OCT * ESTRELLA GALICIA AGUA MAGMA OCT * ZOO FAUNIA OCT gorila * ONCE CUPONAZO OCT * BIMBO QÉ OCT 1 * BIMBO QÉ OCT 2 * MONDELEZ ROYAL OCT * TACO BELL OCT ola3 BurritoSupreme ESP * ZOO FAUNIA OCT HALLOWEEN * MERCEDES VANS OCT * LOS ASESINOS DE LA LUNA OCT * SUCHARD_BILLETES_OCT_Imagen * SUCHARD_BILLETES_OCT_Video * PULEVA PEQUES OCT23;21;49769862; * MONDELEZ ROYAL OCT $PIW2023368$ * HIVESTACK 2023 - SPAIN - adicional * IWALL_PIXEL * FUZE TEA OCT ESP $$ * MONDELEZ SUCHARD BILLETES OCT23 * LOS ASESINOS DE LA LUNA OCT $PIW2023393$ * HIVESTACK 2023- SPAIN * PLACE EXCHANGE SPAIN 2023  * PULEVA PEQUES OCT23 $PIW2023365 * REACH 2023 - SPAIN * ZOO FAUNIA OCT $PIW2023370$ * ESTRELLA GALICIA AGUA OCT $PIW2023376$ * TACO BELL SEPT ESP $$ * ONCE CUPONAZO OCT $PIW2023357$ * BIMBO QÉ OCT $PIW2023353$ * MERCEDES VAN OCT INFINIA $$ * CRUZ ROJA SEPT ola1 $PIW2023344$ * PULEVA CALCIO OCT $PIW2023364$;18;PN2-11-27;22;True;(-3.615327,40.540638);-3.615327;40.540638;28703;Plaza del Comercio;PLAZA NORTE 2;49770108;True;SPAIN-PLAZA NORTE 2-0 screens
broadsign.com:687050719;687050719;1; DESKTOP-CJ7248J; 15.0.0-2;Windows 10; 1080x1920; 80.0.3987.163;for partition containing C:\ProgramData\BroadSign\bsp\share\bsp\documents: 65.50 GB free out of 111.18 GB (41.1% full);2.139.98.57;fe80::86e1:6de7:e577:2dce%ethernet_32769;2023-10-13T13:19:54;13 Oct, 2023;6;2023-10-13T08:37:11;409;True;ESP-PC_0399 GP2 RACK 8 pantallas;9;80:ee:73:ea:57:c2;d0:c5:d3:2d:e7:97;62401014; * Reach SSP content * 2022_1080X1920_3SEG_IWALLMAS * 2022_1080X1920_IWALLMAS * Hivestack-Nov2022 * IWALL_PIXEL_v1 * FUZE TEA OCT LIMONCILLO ESP * FUZE TEA OCT MELOCOTON ESP * CRUZ ROJA SEPT * ALDELIS TORTITAS OCT * PULEVA CALCIO OCT * ZOO FAUNIA OCT gorila * ONCE CUPONAZO OCT * BIMBO QÉ OCT 1 * BIMBO QÉ OCT 2 * MONDELEZ ROYAL OCT * TACO BELL OCT ola3 BurritoSupreme ESP * ZOO FAUNIA OCT HALLOWEEN * BRICO OCT * LOS ASESINOS DE LA LUNA OCT * SUCHARD_BILLETES_OCT_Imagen * SUCHARD_BILLETES_OCT_Video * PULEVA PEQUES OCT23;22;49759477; * MONDELEZ ROYAL OCT $PIW2023368$ * HIVESTACK 2023 - SPAIN - adicional * IWALL_PIXEL * FUZE TEA OCT ESP $$ * MONDELEZ SUCHARD BILLETES OCT23 * LOS ASESINOS DE LA LUNA OCT $PIW2023393$ * HIVESTACK 2023- SPAIN * PLACE EXCHANGE SPAIN 2023  * PULEVA PEQUES OCT23 $PIW2023365 * GP2 Anual 2023 * ALDELIS SEPT ola2 $PIW2023352$ * ALDELIS OCT ola3 $PIW2023352$ * ALDELIS NOV ola4 $PIW2023352$ * REACH 2023 - SPAIN * ZOO FAUNIA OCT $PIW2023370$ * BRICODEPOT GP2 OCT $PIW2023347$ * TACO BELL SEPT ESP $$ * ONCE CUPONAZO OCT $PIW2023357$ * BIMBO QÉ OCT $PIW2023353$ * CRUZ ROJA SEPT ola1 $PIW2023344$ * PULEVA CALCIO OCT $PIW2023364$;21;GP2-RK1-8;9;True;(-3.900056,40.492245);-3.900056;40.492245;28222;Calle de los Químicos;GRAN PLAZA 2;49759419;True;SPAIN-GRAN PLAZA 2-9 screens
