device_id,screen_id,reach_screen_id,player_id,player_version,os_version,screen_resolution,poll_last_utc,player_active,player_name,player_screens,display_unit_id,display_unit_name,display_unit_screen_count,geolocation,longitude,latitude,zipcode,address,display_unit_type_id,display_type_res_width,display_type_res_height,display_type_name,ad_resolution,container_name,site_id,programmatic_name,reach_publisher_id,allowed_ad_types:id,audience_data_sources:id,floor_cpm_eur,min_ad_duration_sec,max_ad_duration_sec,country
IWALLINSHOP:325269647,325269647,broadsign.com:325269647,325269647,15.5.0-1,Windows 10,1080x1920,2023-07-04T14:52:50,True,PER0086 - MINKA RDS-BRAEDT,1,343439092,SUPERMERCADO - MINKA,5,"(-77.111056,-12.04894)",-77.111056,-12.04894,," Av. Argentina 3093, Callao",39463706,1080,1920,iwall PERU 2013 - 1080x1920 (escritorio de windows rotado),1080x1920,SUPERMERCADO-Minka,849296121,PERU-SUPERMERCADO-Minka-1 screens,37,"html, video, images",PORTAL-Inspide-telco data-cam data-admobilize,10.0,10.0,30.0,PERU
IWALLINSHOP:332450704,332450704,broadsign.com:332450704,332450704,15.5.0-1,Windows 8.1,1920x1080,2023-07-04T14:56:03,True,LA RAMBLA - Breña (VideoWalls) - 1610,2,332431465,LA RAMBLA - Breña (VideoWalls) - 1610,2,"(-77.046669,-12.066287)",-77.046669,-12.066287,,"Av. Brazil 702, Breña",217031254,1920,1080,VIDEOWALL 1080x1920,1920x1080,La Rambla - Breña (RBB VideoWall),332373185,PERU-La Rambla - Breña (RBB VideoWall)-2 screens,37,"html, video, images",PORTAL-Inspide-telco data-cam data-admobilize,10.0,10.0,30.0,PERU
IWALLINSHOP:843304266,843304266,broadsign.com:843304266,843304266,15.5.2-1,Windows 10,1080x1920,2023-07-04T14:50:31,True,PER0096 MOL SARCLETI,1,58726588,MOLINA PLAZA,1,"(-76.950504,-12.09143)",-76.950504,-12.09143, ," Av. Raúl Ferrero 1205, La Molina",39463706,1080,1920,iwall PERU 2013 - 1080x1920 (escritorio de windows rotado),1080x1920,Molina PLaza (MOL),192066959,PERU-Molina PLaza (MOL)-1 screens,37,"html, video, images",PORTAL-Inspide-telco data-cam data-admobilize,10.0,10.0,30.0,PERU
IWALLINSHOP:319636798,319636798,broadsign.com:319636798,319636798,15.5.0-1,Windows 8.1,1920x1080,2023-07-04T14:50:44,True,PER0048 - RBS (VIDEOWALL) - SAN BORJA 2,2,217031421,LA RAMBLA - San Borja (VIDEOWALL),2,"(-77.004642,-12.088502)",-77.004642,-12.088502,15036,Av. Javier Prado Este 2010,217031254,1920,1080,VIDEOWALL 1080x1920,1920x1080,La Rambla - San Borja (RBS VideoWall),255195224,PERU-La Rambla - San Borja (RBS VideoWall)-2 screens,37,"html, video, images",PORTAL-Inspide-telco data-cam data-admobilize,10.0,10.0,30.0,PERU
IWALLINSHOP:843341907,843341907,broadsign.com:843341907,843341907,15.5.2-1,Windows 10,1080x1920,2023-07-04T15:19:36,True,PER0098 - UPN BREÑA 2,1,849221600,Red Joven UPN - BREÑA,2,"(-77.058777,-12.058182)",-77.058777,-12.058182,15083,"Av. Tingo María 1122, Lima",39463706,1080,1920,iwall PERU 2013 - 1080x1920 (escritorio de windows rotado),1080x1920,Univ. Privada del Norte (UPN),849220067,PERU-Univ. Privada del Norte (UPN)-1 screens,37,"html, video, images",PORTAL-Inspide-telco data-cam data-admobilize,10.0,10.0,30.0,PERU
IWALLINSHOP:843353752,843353752,broadsign.com:843353752,843353752,15.5.2-1,Windows 10,1080x1920,2023-07-04T14:50:18,True,PER0099 - UPN LOS OLIVOS 2,1,849221806,Red Joven UPN - LOS OLIVOS,2,"(-77.067656,-11.959862)",-77.067656,-11.959862,15306,"Av. Alfredo Mendiola 6062, Los Olivos",39463706,1080,1920,iwall PERU 2013 - 1080x1920 (escritorio de windows rotado),1080x1920,Univ. Privada del Norte (UPN),849220067,PERU-Univ. Privada del Norte (UPN)-1 screens,37,"html, video, images",PORTAL-Inspide-telco data-cam data-admobilize,10.0,10.0,30.0,PERU
IWALLINSHOP:843351564,843351564,broadsign.com:843351564,843351564,15.5.2-1,Windows 10,1080x1920,2023-07-04T14:51:46,True,PER0100 - UPN LOS OLIVOS 1,1,849221806,Red Joven UPN - LOS OLIVOS,2,"(-77.067656,-11.959862)",-77.067656,-11.959862,15306,"Av. Alfredo Mendiola 6062, Los Olivos",39463706,1080,1920,iwall PERU 2013 - 1080x1920 (escritorio de windows rotado),1080x1920,Univ. Privada del Norte (UPN),849220067,PERU-Univ. Privada del Norte (UPN)-1 screens,37,"html, video, images",PORTAL-Inspide-telco data-cam data-admobilize,10.0,10.0,30.0,PERU
IWALLINSHOP:791929639,791929639,broadsign.com:791929639,791929639,15.5.0-1,Windows 10,1080x1920,2023-07-04T14:54:29,True,PER_#38 - ALIMENTOS UPN CHORILLOS (UPPOWER #38) ,1,849221748,Red Joven UPN - CHORRILLOS,2,"(-77.004176,-12.179858)",-77.004176,-12.179858,15054,"Av. Guardia Peruana 890, Chorrillos",39463706,1080,1920,iwall PERU 2013 - 1080x1920 (escritorio de windows rotado),1080x1920,Univ. Privada del Norte (UPN),849220067,PERU-Univ. Privada del Norte (UPN)-1 screens,37,"html, video, images",PORTAL-Inspide-telco data-cam data-admobilize,10.0,10.0,30.0,PERU
IWALLINSHOP:791927664,791927664,broadsign.com:791927664,791927664,15.5.0-1,Windows 10,1080x1920,2023-07-04T14:46:58,True,PER_#11 - UPN CHORRILLO ENTRADA (UPPOWER #11),1,849221748,Red Joven UPN - CHORRILLOS,2,"(-77.004176,-12.179858)",-77.004176,-12.179858,15054,"Av. Guardia Peruana 890, Chorrillos",39463706,1080,1920,iwall PERU 2013 - 1080x1920 (escritorio de windows rotado),1080x1920,Univ. Privada del Norte (UPN),849220067,PERU-Univ. Privada del Norte (UPN)-1 screens,37,"html, video, images",PORTAL-Inspide-telco data-cam data-admobilize,10.0,10.0,30.0,PERU
IWALLINSHOP:795218957,795218957,broadsign.com:795218957,795218957,15.5.0-1,Windows 10,1080x1920,2023-07-04T14:51:15,True,PER_#21 - UPN COMAS (UPPOWER #21),1,849221691,Red Joven UPN - COMAS,2,"(-77.058671,-11.933918)",-77.058671,-11.933918,15314,"Av Retablo 570, Comas",39463706,1080,1920,iwall PERU 2013 - 1080x1920 (escritorio de windows rotado),1080x1920,Univ. Privada del Norte (UPN),849220067,PERU-Univ. Privada del Norte (UPN)-1 screens,37,"html, video, images",PORTAL-Inspide-telco data-cam data-admobilize,10.0,10.0,30.0,PERU
