screen name,screen ID,unit ID,ad request API UUID,OpenRTB UUID,internal notes,active,site ID,site name,ad requested in the last hour,last ad request - UTC,floor CPM,Multiplier vendor,Multiplier vendor screen ID,has impression data,width,height,latitude,longitude,venue type,network,country,region,city,tags,created on - UTC,last modified on - UTC,available for ad server,available for deals,available for open exchange,allow HTML,allow images,allow videos,allow zip,allow audio-only files,facing direction,languages,physical screen width,physical screen height,time zone,default ad duration,blocked advertisers,blocked categories,strict categories blocking,category frequency cap,strict frequency capping,advertiser frequency cap,last played on - UTC
MALL ANEC BLAU - 16 screens,136035969,18791803,b6f615f7-b9a4-47d1-9c95-4392b61a149f,7e4758fa-9c6b-d67f-84cb-a6e67144d3d0,ANEC BLAU,true,136033623,ANEC BLAU,true,2023-09-22T11:14:37.000Z,10,,,true,1080,1920,41.283119,1.987472,Mall,iwallinshop,Spain,,Castelldefels,–,2022-01-20T12:15:52.000Z,2023-03-02T16:25:41.000Z,true,true,true,true,true,true,false,false,–,All / Universal,,,Europe/Madrid,"12 secs (min: 5 secs, max: 30 secs)",–,–,true,0 seconds,No,0 seconds,2023-09-22T11:14:37.000Z
MALL ALBACENTER-12 screens,145445900,18791799,c5db9f2f-69e5-4b2c-8816-54a81c951df9,ff35838b-5a7c-834e-ef38-4ba4a1077890,ALBACENTER,true,147095950,ALBACENTER,true,2023-09-22T11:15:20.000Z,10,,,true,1080,1920,38.99072,-1.84774,Mall,iwallinshop,Spain,Albacete,Albacete,–,2022-01-20T12:15:46.000Z,2023-03-02T16:25:40.000Z,true,true,true,true,true,true,false,false,–,All / Universal,0,0,Europe/Madrid,"12 secs (min: 5 secs, max: 30 secs)",–,–,true,0 seconds,No,0 seconds,2023-09-22T11:15:20.000Z
MALL MANOTERAS - 6 screens,255546465,18791827,7b4debff-e8dc-4fcb-9f91-6612e46f3d81,b0c61922-5912-158c-bf8e-62e048a87a17,MANOTERAS,true,171310502,MANOTERAS,true,2023-09-22T11:15:33.000Z,10,,,true,1080,1920,40.486309,-3.666313,Mall,iwallinshop,Spain,,Madrid,–,2022-01-20T12:16:31.000Z,2023-03-02T16:26:13.000Z,true,true,true,true,true,true,false,false,–,All / Universal,,,Europe/Madrid,"12 secs (min: 5 secs, max: 30 secs)",–,–,true,0 seconds,No,0 seconds,2023-09-22T11:15:33.000Z
MALL PORTAL MARINA - 12 screens,175193371,18791838,aa32cb42-feae-44ea-99fd-c32e22deee65,59241dc9-c24e-6e8e-0e23-921d08e2305c,PORTAL DE LA MARINA,true,175188935,PORTAL DE LA MARINA,true,2023-09-22T11:14:54.000Z,10,,,true,1080,1920,38.818158,0.023113,Mall,iwallinshop,Spain,,Ondara,–,2022-01-20T12:16:49.000Z,2023-03-02T16:26:14.000Z,true,true,true,true,true,true,false,false,–,All / Universal,,,Europe/Madrid,"12 secs (min: 5 secs, max: 30 secs)",–,–,true,0 seconds,No,0 seconds,2023-09-22T11:14:54.000Z
MALL ALCORES- 12 screens,175741736,18791800,a708251b-d0eb-4536-ae39-35771b4a3999,b12a0d53-0f6b-dbf0-64fa-e2d88ee284e0,LOS ALCORES,true,175188937,LOS ALCORES,true,2023-09-22T11:15:31.000Z,10,,,true,1080,1920,37.350946,-5.8583,Mall,iwallinshop,Spain,,Alcalá de Guadaira,–,2022-01-20T12:15:48.000Z,2023-03-02T16:25:40.000Z,true,true,true,true,true,true,false,false,–,All / Universal,,,Europe/Madrid,"12 secs (min: 5 secs, max: 30 secs)",–,–,true,0 seconds,No,0 seconds,2023-09-22T11:15:31.000Z
MALL EL RESTON - 9 screens,205043388,18791813,dd08be44-8c66-4881-b1cf-f43e76fdc87a,2d8a9ece-f4b2-7f81-5bdb-6874bc33ab3c,EL RESTON,true,179001706,EL RESTON,true,2023-09-22T11:14:36.000Z,10,,,true,1080,1920,40.18429,-3.67878,Mall,iwallinshop,Spain,,Valdemoro,–,2022-01-20T12:16:07.000Z,2023-03-02T16:26:13.000Z,true,true,true,true,true,true,false,false,–,All / Universal,,,Europe/Madrid,"12 secs (min: 5 secs, max: 30 secs)",–,–,true,0 seconds,No,0 seconds,2023-09-22T11:14:36.000Z
MALL TSO CORUÑA - 2 screens,181425149,18791864,372801d5-fb43-4e11-8240-47be68099170,8cd0b38d-5675-33fb-348f-e7796bfc6d95,CORUNA OUTLET,true,181154295,CORUNA OUTLET,true,2023-09-22T11:14:47.000Z,10,,,true,1080,1920,43.290462,-8.37073,Mall,iwallinshop,Spain,A Coruña  [La Coruña],,–,2022-01-20T13:33:15.000Z,2023-03-02T16:26:14.000Z,true,true,true,true,true,true,false,false,–,All / Universal,0,0,Europe/Madrid,"12 secs (min: 5 secs, max: 30 secs)",–,–,true,0 seconds,No,0 seconds,2023-09-22T11:14:47.000Z
MALL TSO CORUÑA - 2 screens,181424828,18791865,97956f1e-9190-4f59-8a87-4472e8292533,1744903a-cf13-dde3-5e1b-7c5cc4002d6e,CORUNA OUTLET,true,181154295,CORUNA OUTLET,true,2023-09-22T11:14:48.000Z,10,,,true,1080,1920,43.290462,-8.37073,Mall,iwallinshop,Spain,A Coruña  [La Coruña],,–,2022-01-20T13:33:17.000Z,2023-03-02T16:26:14.000Z,true,true,true,true,true,true,false,false,–,All / Universal,0,0,Europe/Madrid,"12 secs (min: 5 secs, max: 30 secs)",–,–,true,0 seconds,No,0 seconds,2023-09-22T11:14:48.000Z
MALL TSO CORUÑA - 2 screens,181234314,18791866,739b2154-357b-4d87-b85f-f9aeeec6d9dc,6b4c751f-bfb8-bd5a-c11d-c1e76bf5be65,CORUNA OUTLET,true,181154295,CORUNA OUTLET,true,2023-09-22T11:15:29.000Z,10,,,true,1080,1920,43.290462,-8.37073,Mall,iwallinshop,Spain,A Coruña  [La Coruña],,–,2022-01-20T13:33:18.000Z,2023-03-02T16:26:14.000Z,true,true,true,true,true,true,false,false,–,All / Universal,0,0,Europe/Madrid,"12 secs (min: 5 secs, max: 30 secs)",–,–,true,0 seconds,No,0 seconds,2023-09-22T11:15:29.000Z
MALL PLAZA RIO 2 - 40 screens,421351920,18791837,268319ba-9f84-41cc-af40-0da7d3b195bb,0167c2fe-9e46-5e65-4aa6-1f14998b0be1,PLAZA RIO,true,185090545,PLAZA RIO,true,2023-09-22T11:15:18.000Z,10,,,true,1080,1920,40.390847,-3.70188,Mall,iwallinshop,Spain,,Madrid,–,2022-01-20T12:16:47.000Z,2023-03-02T16:26:14.000Z,true,true,true,true,true,true,false,false,–,All / Universal,,,Europe/Madrid,"12 secs (min: 5 secs, max: 30 secs)",–,–,true,0 seconds,No,0 seconds,2023-09-22T11:15:18.000Z
