,display_unit_id,display_unit_name,screen_count,display_unit_active,container_name,container_active,Screen ID,screen_width,screen_height
0,134801225,NUESTRO BOGOTA,13,True,NUESTRO BOGOTA,True,,,
1,58445628,LA RAMBLA -  San Borja,16,True,LA RAMBLA - San Borja,True,357707419,1080,1920
2,147097045,ALB-12,12,True,ALBACENTER,True,145445900,1080,1920
3,52829963,reunion-publiespain,1,True,EVENTOS,True,52882065,1080,1920
4,233824354,DEL-RIT,12,True,EL DELEITE,True,498962714,1080,1920
5,50054407,MSH-RITI,10,True,MODA SHOPPING,True,262483174,1080,1920
6,343461109,SUPERMERCADO - RBS (PLAZA VEA),2,True,RED DE SUPERMERCADOS,True,343665817,1080,1920
7,64926183,ALU-RIT-12,12,True,PLAZA ALUCHE,True,166689802,720,1280
8,357215086,CERTUS,0,True,CERTUS,True,192454805,1080,1920
9,185093713,PR2-RITI-[40],40,True,PLAZA RIO 2,True,421351920,1080,1920
10,250817432,SONAE-DIRECTORIO AREA SUR,4,True,DIRECTORIOS,True,224534464,1024,768
11,194350303,MSU-RITI-10,11,True,MADRID SUR,True,391691307,2160,3840
12,None,MSU-RITI-10,,True,,,20951332,720,1280
13,49758286,FSR-7/8-2,1,True,TSO SSRR,True,307851164,1080,1920
14,259790337,TELECINCO-LINUX,1,True,CORPORATIVAS,True,259788178,1920,1080
15,197797937,GP2-QUIVIDI,1,True,GRAN PLAZA 2,True,166958750,1080,1920
16,215576431,SONAE-DIRECTORIO-VALLEREAL,4,True,DIRECTORIOS,True,456983248,1080,1920
17,55467163,TAG-RITI-24,24,True,TRES AGUAS,True,55467212,1080,1920
18,49705785,FGE-2-1-A,1,True,TSO GETAFE,True,126882160,1080,1920
19,91211795,JOCKEY PLAZA * General,19,True,JOCKEY PLAZA - iWALL,True,503420426,2160,3840
20,363728830,SONAE_DIRECTORIO_AREA SUR HORIZONTAL,2,True,DIRECTORIOS,True,363727700,1920,1080
21,49566183,CAS-RITI,7,True,CASTELLANA 200,True,160062257,1080,1920
22,37079012,MEDIASET-RECEPCION Y PUBLIESP,2,True,CORPORATIVAS,True,254314804,1080,1920
23,343461011,SUPERMERCADO - MS (TOTTUS),3,True,RED DE SUPERMERCADOS,True,343557667,1080,1920
24,417950931,NAS-SAS TRAVELATOR,2,True,NASSICA,True,60849720,1080,1920
25,134801225,NUESTRO BOGOTA,13,True,NUESTRO BOGOTA,True,,,
26,343461070,SUPERMERCADO - MOL (PLAZA VEA),3,True,RED DE SUPERMERCADOS,True,193791309,900,1600
27,55127464,MAP SANTA ANITA,20,True,MALL STA.ANITA,True,422508648,1080,1920
28,261689650,SONAE-DIRECTORIO-LUZDELTAJO,5,True,DIRECTORIOS,True,261909944,2160,3840
29,343461011,SUPERMERCADO - MS (TOTTUS),3,True,RED DE SUPERMERCADOS,True,519198962,1080,1920
30,58445628,LA RAMBLA -  San Borja,16,True,LA RAMBLA - San Borja,True,312970684,1080,1920
31,324850483,MINKA,5,True,MINKA,True,325272540,1080,1920
32,172985367,SANTAFE CENTRO,13,True,SANTA FE CENTRO,True,,,
33,49759805,MXC-24-1,1,True,MAX CENTER/MAX OCIO,True,313501321,1080,1920
34,49769955,PN2-7-1,1,True,PLAZA NORTE 2,True,227053926,2160,3840
35,391373685,SUPERMERCADO - JP ( Plz Vea),3,True,RED DE SUPERMERCADOS,True,422508539,1360,768
36,197798620,MSU-QUIVIDI,3,True,MADRID SUR,True,240474181,1080,1920
37,423698817,SUPERMERCADO - AQP (TOTTUS),1,True,RED DE SUPERMERCADOS,True,343458431,1080,1920
38,194897920,MEGAPLAZA - IWALL (1080X1920),12,True,MEGAPLAZA,True,367273786,720,1280
39,460306573,PLAZA CENTRAL,14,True,PLAZA CENTRAL,True,,,
40,49478655,PMY-RESTAUR-2,2,True,PLAZA MAYOR,True,167053691,720,1280
41,194897920,MEGAPLAZA - IWALL (1080X1920),12,True,MEGAPLAZA,True,197073495,1080,1920
42,319849431,DU Reunion Jordi 290819 mupi Jordi,1,True,EVENTOS,True,304158398,1080,1920
43,217325592,AST-12,12,True,AS TERMAS,True,220116423,1080,1920
44,49473070,ARE-RIT-14,14,True,ARENA MULTIESPACIO,True,68498042,1080,1920
45,250817432,SONAE-DIRECTORIO AREA SUR,4,True,DIRECTORIOS,True,224535484,2160,3840
46,197798842,GCA-QUIVIDI,1,True,GRAN CASA,True,166325016,1080,1920
47,386841686,ARE-DIRECTORIOS,1,True,ARENA MULTIESPACIO,True,349117620,1080,1920
48,49769990,PN2-9-1,2,True,PLAZA NORTE 2,True,56362905,720,1280
49,280282672,FGE-11,1,True,TSO GETAFE,True,280289788,1080,1920
50,49758164,FRO-RIT-6,6,True,TSO LAS ROZAS,True,97151917,1080,1920
51,58445628,LA RAMBLA -  San Borja,16,True,LA RAMBLA - San Borja,True,337053226,1080,1920
52,349644297,VITALDENT_MARINA,2,True,CORPORATIVAS,True,349645373,1080,1920
53,296349499,ZUBIARTE DIRECTORIO,3,True,DIRECTORIOS,True,277663591,1920,1440
54,69819170,MAP AREQUIPA,15,True,MALL AREQUIPA,True,318379937,1080,1920
55,353404743,VITALDENt_ALCALA,2,True,CORPORATIVAS,True,401472521,1920,1080
56,156023710,TITAN PLAZA ,9,True,TITAN PLAZA,True,,,
57,261689650,SONAE-DIRECTORIO-LUZDELTAJO,5,True,DIRECTORIOS,True,261910880,2160,3840
58,259381034,GETAFE-LINUX,1,True,TSO GETAFE,True,259784641,3840,2160
59,358867595,PRUEBA PSM,19,True,LABORATORIO,True,359199378,1080,1920
60,474099264,FGE-13-1,1,True,TSO GETAFE,True,474113755,2160,3840
