id;site;anual_affluence;daily_impressions;male;female;kid;young;adult;senior;A;B;C;D
57;GRAN ESTACION;38400000;9000;0,45;0,55;0,00;0,40;0,40;0,20;0,10;0,40;0,40;0,10
63;FONTANAR;36000000;9000;0,45;0,55;0,00;0,40;0,40;0,20;0,10;0,40;0,40;0,10
59;SAN RAFAEL;20000000;90000;0,45;0,55;0,00;0,40;0,40;0,20;0,10;0,40;0,40;0,10
61;SANTA FE MEDELLIN;30000000;90000;0,45;0,55;0,00;0,40;0,40;0,20;0,10;0,40;0,40;0,10
62;TITAN PLAZA;30000000;8000;0,45;0,55;0,00;0,40;0,40;0,20;0,10;0,40;0,40;0,10
66;JOCKEY PLAZA;40000000;15000;0,45;0,55;0,00;0,40;0,40;0,20;0,40;0,40;0,20;0,10
76;MEGA PLAZA - iCURVE;40000000;15000;0,45;0,55;0,00;0,40;0,40;0,20;0,00;0,50;0,50;0,00
77;MEGAPLAZA;40000000;15000;0,38;0,63;0,00;0,40;0,40;0,20;0,00;0,50;0,50;0,00
58;PLAZA IMPERIAL;24000000;8000;0,45;0,55;0,00;0,40;0,40;0,20;0,10;0,40;0,40;0,10
73;AREQUIPA;15000000;8000;0,38;0,63;0,00;0,40;0,40;0,20;0,50;0,50;0,00;0,00
75;BELLAVISTA;15000000;10000;0,38;0,63;0,00;0,40;0,40;0,20;0,00;0,50;0,50;0,00
26;GRAN VIA 2;15000000;12000;0,45;0,55;0,00;0,40;0,40;0,20;0,10;0,40;0,40;0,10
2;LA ILLA;15000000;5000;0,45;0,55;0,00;0,40;0,40;0,20;0,10;0,40;0,40;0,10
74;SANTA ANITA;15000000;8000;0,38;0,63;0,00;0,40;0,40;0,20;0,00;0,5;0,5;0,00
56;CENTRO MAYOR;12000000;8000;0,45;0,55;0,00;0,40;0,40;0,20;0,10;0,40;0,40;0,10
24;GRAN CASA;12000000;8000;0,45;0,55;0,00;0,47;0,41;0,13;0,07;0,56;0,36;0,00
85;LED GRAN PLAZA;12000000;15000;0,45;0,55;0,00;0,40;0,40;0,20;0,10;0,40;0,40;0,10
86;LED GRAN VIA 2;12000000;12000;0,45;0,55;0,00;0,40;0,40;0,20;0,10;0,40;0,40;0,10
41;PLAZA NORTE;10000000;10000;0,43;0,56;0,00;0,52;0,41;0,06;0,20;0,31;0,50;0,00
42;PLAZA RIO;10000000;10000;0,45;0,55;0,00;0,40;0,40;0,20;0,10;0,40;0,40;0,10
72;RAMBLA BREÑA;10000000;8000;0,38;0,63;0,00;0,40;0,40;0,20;0,10;0,50;0,40;0,00
67;RAMBLA SAN BORJA;10000000;8000;0,38;0,63;0,00;0,40;0,40;0,20;0,40;0,40;0,20;0,10
